id,SLN202306240
version,2
info,visteam,CHN
info,hometeam,SLN
info,site,LON01
info,date,2023/06/24
info,number,0
info,gametype,regular
info,starttime,6:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hamaa901
info,ump1b,carav901
info,ump2b,mahrn901
info,ump3b,laynj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/01 09:06:38
info,howscored,unknown
info,pitches,pitches
info,oscorer,webbj701
info,temp,81
info,winddir,unknown
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,160
info,attendance,54662
info,wp,steej002
info,lp,waina001
info,save,
start,taucm001,"Mike Tauchman",0,1,8
start,hoern001,"Nico Hoerner",0,2,4
start,suzus001,"Seiya Suzuki",0,3,9
start,happi001,"Ian Happ",0,4,7
start,swand001,"Dansby Swanson",0,5,6
start,bellc002,"Cody Bellinger",0,6,3
start,morec001,"Christopher Morel",0,7,10
start,gomey001,"Yan Gomes",0,8,2
play,3,0,mastm001,21,CBBX,S4/G4S.3-H;1-2
play,3,0,taucm001,01,FX,46(1)/FO/G4.B-1
play,3,1,carld002,11,FBX,S8/G6M
play,3,1,mottt001,22,BBFFX,43/G34.1-2
play,3,1,donob001,22,BTSFB*S,K
play,3,1,goldp001,32,CF*BBFBFB,W
play,3,1,arenn001,21,BBCX,54(1)/FO/G56.B-1
play,4,0,hoern001,10,BX,D7/L7L
play,4,0,happi001,00,X,8/F78D
play,4,0,bellc002,10,BX,S8/L8.2-3
play,4,0,suzus001,11,FBX,64(1)/FO/G6.3-H;B-1
play,4,0,swand001,32,BFFBB.>S,K
play,4,1,kniza001,00,X,HR/F7D
play,4,1,oneit001,11,BCX,S7/G56+
play,4,1,walkj003,02,SFX,9/F89XD
play,4,1,gormn001,30,BBBB,W.1-2
play,4,1,carld002,00,X,8/F89D
play,4,1,mottt001,01,CX,5(2)/FO/G56S.B-1
play,5,0,morec001,32,SBBF.BX,53/G5
play,5,0,gomey001,22,BSFFB*S,K
play,5,0,mastm001,10,BX,3/G3
play,5,1,donob001,22,FFBBFX,13/G2
play,5,1,goldp001,12,FCBX,53/G56
play,5,1,arenn001,12,BFSX,D7/G5
play,5,1,kniza001,02,FFFX,7/F7
play,6,0,taucm001,00,,NP
sub,suara002,"Andrew Suarez",1,0,1
play,6,0,taucm001,22,.FBSBX,HR/F89XD
play,6,0,hoern001,01,CX,8/F89
play,6,0,happi001,01,FX,3/G34
play,6,0,bellc002,12,CFBFX,8/F89D
play,6,1,oneit001,32,BSBSBB,W
play,6,1,walkj003,00,X,7/F7D
play,6,1,gormn001,02,FCX,36(1)3/GDP/G34
play,7,0,suzus001,31,CBBBX,9/F9LS
play,7,0,swand001,32,SCBFBF.BF*B,W
play,7,0,morec001,10,BB,PB.1-2
play,7,0,morec001,31,BB.BCB,W
play,7,0,gomey001,02,FFFX,D7/G5.2-H;1-H
play,7,0,mastm001,10,BX,43/G34.2-3
play,7,0,taucm001,32,B*BSCBX,6/L6MD+
play,7,1,carld002,00,,NP
