id,MIN202304070
version,2
info,visteam,HOU
info,hometeam,MIN
info,site,MIN04
info,date,2023/04/07
info,number,0
info,gametype,regular
info,starttime,3:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gibsh902
info,ump1b,millb903
info,ump2b,carlm901
info,ump3b,bakej902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/28 12:23:55
info,howscored,unknown
info,pitches,pitches
info,oscorer,thors701
info,temp,47
info,winddir,rtol
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,167
info,attendance,38465
info,wp,lopej004
info,lp,stanr002
info,save,
start,penaj004,"Jeremy Pena",0,1,6
start,brega001,"Alex Bregman",0,2,5
start,alvay001,"Yordan Alvarez",0,3,7
start,abrej003,"Jose Abreu",0,4,10
start,tuckk001,"Kyle Tucker",0,5,9
start,hensd002,"David Hensley",0,6,3
start,mccoc001,"Chas McCormick",0,7,8
start,dubom001,"Mauricio Dubon",0,8,4
play,1,1,buxtb001,32,FBBFFFBC,K
play,1,1,miraj002,11,BFX,S9/F9LS
play,1,1,gordn001,02,CS*S,K
play,2,0,albeh001,12,LBS*S,K
play,2,0,sosal001,00,X,43/G4D
play,2,0,zavas001,11,BFX,8/F8D
play,2,1,jeffr002,22,BBCF.S,K
play,2,1,larnt001,32,BCS.BBFC,K
play,2,1,farmk001,22,SBFBS,K
play,3,0,andre001,00,X,3/L3-
play,3,0,benia002,11,BSX,S9/G4
play,3,0,robel002,32,CB*BB1FX,4/P4
play,3,0,vauga001,32,BC1BFB>X,S9/G34.1-3
play,3,0,sheeg001,01,CX,7/F7D
play,3,1,julie001,10,BX,3/G34
play,3,1,taylm002,21,BC.BX,S9/L9S
play,3,1,solad001,01,FX,S7/L7S.1-2
play,3,1,buxtb001,10,BX,9/F9S
play,3,1,miraj002,32,CS.FFBBB>B,W.2-3;1-2
play,3,1,gordn001,10,BX,8/F89
play,4,0,grany001,12,CFBX,3/G3
play,4,0,albeh001,12,CCBS,K
play,4,0,sosal001,32,CBS.BBS,K
play,4,1,jeffr002,32,BBFBS.X,T9/F9D
play,4,1,larnt001,10,BX,5/P5SF/FL
play,4,1,farmk001,01,CH,HP
play,4,1,julie001,00,,NP
sub,castw003,"Willi Castro",1,7,12
play,4,1,julie001,31,.BBBS*B,W.1-2
play,4,1,taylm002,00,X,3/G3.3-H;2-3;1-2
play,4,1,solad001,20,BBX,8/L89
play,5,0,zavas001,00,,NP
sub,castw003,"Willi Castro",1,7,6
play,5,0,zavas001,31,.BBT.BB,W
play,5,0,andre001,22,CFB*BS,K
play,5,0,benia002,31,BBBCX,4/L34
play,5,0,robel002,12,BCSC,K
play,5,1,buxtb001,32,CBSBFBS,K
play,5,1,miraj002,12,CBS.FT,K
play,5,1,gordn001,02,CFFX,7/F7D
play,6,0,vauga001,00,,NP
sub,alcaj001,"Jorge Alcala",1,0,1
play,6,0,vauga001,32,.CBSBBFX,8/F8D
play,6,0,sheeg001,11,BCX,7/F78D
play,6,0,grany001,22,CBBCX,3/G3
play,6,1,jeffr002,22,BFCBX,8/F8XD
play,6,1,larnt001,32,BBFBFX,7/F78D
play,6,1,castw003,12,BCFX,S8/G4
play,6,1,julie001,11,*BCX,6(1)/FO/G4M.B-1
play,7,0,albeh001,00,,NP
sub,lopej004,"Jorge Lopez",1,0,1
play,7,0,albeh001,00,.X,43/G4M
play,7,0,sosal001,22,CFFBBX,8/F8
play,7,0,zavas001,10,BX,D7/L7L
play,7,0,andre001,01,CB,WP.2-3
play,7,0,andre001,11,CB.X,43/G34
play,7,1,taylm002,00,,NP
sub,middk001,"Keynan Middleton",0,0,1
play,7,1,taylm002,02,.FCFFS,K
play,7,1,solad001,22,SBCBX,S8/L8
play,7,1,buxtb001,12,BCSX,S8/L78D.1-2
play,7,1,miraj002,12,FTFFBS,K
play,7,1,gordn001,00,,NP
sub,diekj001,"Jake Diekman",0,0,1
play,7,1,gordn001,01,.SX,4(1)/FO/G4M/RINT.B-1
play,8,0,benia002,00,,NP
sub,gordn001,"Nick Gordon",1,4,4
play,8,0,benia002,00,.,NP
sub,larnt001,"Trevor Larnach",1,6,7
play,8,0,benia002,00,..,NP
sub,wallm001,"Matt Wallner",1,8,9
play,8,0,benia002,00,...,NP
sub,jax-g001,"Griffin Jax",1,0,1
play,8,0,benia002,02,....TCX,63/G4
play,8,0,robel002,01,CX,43/G4
play,8,0,vauga001,31,BSBBB,W
play,8,0,sheeg001,00,,NP
sub,gonzr003,"Romy Gonzalez",0,3,12
play,8,0,sheeg001,01,.C1X,43/G4
play,8,1,jeffr002,00,,NP
sub,gonzr003,"Romy Gonzalez",0,3,9
play,8,1,jeffr002,00,.,NP
sub,sheeg001,"Gavin Sheets",0,4,3
play,8,1,jeffr002,00,..,NP
sub,bumma001,"Aaron Bummer",0,0,1
play,8,1,jeffr002,22,...FBCBFX,S7/G56+
play,8,1,larnt001,12,CBFS,K
play,8,1,castw003,01,FX,D9/L89XD+.1-H
play,8,1,wallm001,02,FCX,9/F9L.2-3
play,8,1,taylm002,00,,NP
sub,santg001,"Gregory Santos",0,0,1
play,8,1,taylm002,01,.CX,S8/F89.3-H
play,8,1,solad001,02,S1FX,43/G4
play,9,0,grany001,00,,NP
sub,duraj002,"Jhoan Duran",1,0,1
play,9,0,grany001,02,.SSFX,S8/L8D
play,9,0,albeh001,12,FTFBFX,64(1)3/GDP/G6M
play,9,0,sosal001,21,BFBX,HR/F89XD
play,9,0,zavas001,00,X,3/G3
data,er,diekj001,0
data,er,santg001,0
data,er,bumma001,2
data,er,middk001,0
data,er,gioll001,1
data,er,duraj002,1
data,er,alcaj001,0
data,er,grays001,0
data,er,jax-g001,0
data,er,lopej004,0
id,MIN202304240
version,2
info,visteam,NYA
info,hometeam,MIN
info,site,MIN04
info,date,2023/04/24
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drakr901
info,ump1b,millb901
info,ump2b,whitc901
info,ump3b,ortir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/23 09:03:25
info,howscored,unknown
info,pitches,pitches
info,oscorer,thors701
info,temp,49
info,winddir,fromlf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,174
info,attendance,16242
info,wp,grays001
info,lp,britj003
info,save,
start,volpa001,"Anthony Volpe",0,1,6
start,judga001,"Aaron Judge",0,2,10
start,rizza001,"Anthony Rizzo",0,3,3
start,torrg001,"Gleyber Torres",0,4,4
start,lemad001,"DJ LeMahieu",0,5,5
start,cordf003,"Franchy Cordero",0,6,9
start,cabro002,"Oswaldo Cabrera",0,7,7
start,trevj001,"Jose Trevino",0,8,2
start,hicka001,"Aaron Hicks",0,9,8
start,britj003,"Jhony Brito",0,0,1
start,keplm001,"Max Kepler",1,1,9
start,corrc001,"Carlos Correa",1,2,6
start,polaj001,"Jorge Polanco",1,3,4
start,buxtb001,"Byron Buxton",1,4,10
start,larnt001,"Trevor Larnach",1,5,7
start,miraj002,"Jose Miranda",1,6,5
start,gallj002,"Joey Gallo",1,7,3
start,vazqc001,"Christian Vazquez",1,8,2
start,taylm002,"Michael A. Taylor",1,9,8
start,grays001,"Sonny Gray",1,0,1
play,1,0,volpa001,32,BBBCFC,K
play,1,0,judga001,01,FX,4/P34D
play,1,0,rizza001,02,CS*S,K
play,1,1,keplm001,12,FBCFX,7/F7
play,1,1,corrc001,22,CCBBF.X,53/G56+
play,1,1,polaj001,01,CX,43/G34
play,2,0,torrg001,12,SBCX,S4/G6M
play,2,0,lemad001,01,CX,16(1)3/GDP/G23
play,2,0,cordf003,32,BBCSBFS,K
play,2,1,buxtb001,22,BSSFFBFX,63/G6
