pitch_type,zone,stand,type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,years_since_2015
1,11.0,0,0,1,2,0,0,0,2,4,25,4,0,0,0.013689253935660506
1,4.0,0,2,2,2,0,0,0,2,4,25,5,0,0,0.013689253935660506
1,11.0,1,0,0,0,0,0,1,2,4,26,1,0,0,0.013689253935660506
1,5.0,1,1,1,0,0,0,1,2,4,26,2,0,0,0.013689253935660506
1,6.0,1,1,1,1,0,0,1,2,4,26,3,0,0,0.013689253935660506
3,7.0,1,2,1,2,0,0,1,2,4,26,4,0,0,0.013689253935660506
4,2.0,0,1,0,0,0,0,0,0,5,32,1,0,1,0.013689253935660506
3,13.0,0,1,0,1,0,0,0,0,5,32,2,0,1,0.013689253935660506
1,5.0,0,2,0,2,0,0,0,0,5,32,3,0,1,0.013689253935660506
4,8.0,0,2,0,0,0,0,0,1,5,33,1,0,1,0.013689253935660506
1,11.0,0,2,0,0,0,0,1,1,5,34,1,0,1,0.013689253935660506
1,5.0,1,2,0,0,0,1,1,1,5,35,1,0,1,0.013689253935660506
1,11.0,0,0,0,0,0,1,1,2,5,36,1,0,1,0.013689253935660506
1,11.0,0,0,1,0,0,1,1,2,5,36,2,0,1,0.013689253935660506
4,1.0,0,1,2,0,0,1,1,2,5,36,3,0,1,0.013689253935660506
3,11.0,0,0,2,1,0,1,1,2,5,36,4,0,1,0.013689253935660506
4,11.0,0,1,3,1,0,1,1,2,5,36,5,0,1,0.013689253935660506
4,1.0,0,2,3,2,0,1,1,2,5,36,6,0,1,0.013689253935660506
2,11.0,0,1,0,0,0,0,0,0,6,40,1,0,1,0.013689253935660506
1,12.0,0,1,0,1,0,0,0,0,6,40,2,0,1,0.013689253935660506
3,11.0,0,0,0,2,0,0,0,0,6,40,3,0,1,0.013689253935660506
3,13.0,0,1,1,2,0,0,0,0,6,40,4,0,1,0.013689253935660506
5,14.0,0,0,0,0,0,0,0,1,6,41,1,0,1,0.013689253935660506
1,11.0,0,1,1,0,0,0,0,1,6,41,2,0,1,0.013689253935660506
5,13.0,0,0,1,1,0,0,0,1,6,41,3,0,1,0.013689253935660506
3,13.0,0,0,2,1,0,0,0,1,6,41,4,0,1,0.013689253935660506
4,13.0,0,0,3,1,0,0,0,1,6,41,5,0,1,0.013689253935660506
1,11.0,0,0,0,0,0,0,1,1,6,42,1,0,1,0.013689253935660506
1,13.0,0,2,1,0,0,0,1,1,6,42,2,0,1,0.013689253935660506
1,1.0,1,1,0,0,0,0,1,2,6,43,1,0,1,0.013689253935660506
1,11.0,1,2,0,1,0,0,1,2,6,43,2,0,1,0.013689253935660506
3,11.0,0,1,0,0,0,0,0,0,7,48,1,0,1,0.013689253935660506
1,13.0,0,1,0,1,0,0,0,0,7,48,2,0,1,0.013689253935660506
2,9.0,0,1,0,2,0,0,0,0,7,48,3,0,1,0.013689253935660506
1,11.0,0,0,0,2,0,0,0,0,7,48,4,0,1,0.013689253935660506
1,7.0,0,1,1,2,0,0,0,0,7,48,5,0,1,0.013689253935660506
3,14.0,0,0,1,2,0,0,0,0,7,48,6,0,1,0.013689253935660506
4,13.0,0,1,2,2,0,0,0,0,7,48,7,0,1,0.013689253935660506
4,13.0,0,1,2,2,0,0,0,0,7,48,8,0,1,0.013689253935660506
2,5.0,0,2,2,2,0,0,0,0,7,48,9,0,1,0.013689253935660506
5,13.0,0,1,0,0,0,0,0,1,7,49,1,0,1,0.013689253935660506
3,4.0,0,2,0,1,0,0,0,1,7,49,2,0,1,0.013689253935660506
5,13.0,0,2,0,0,0,0,1,1,7,50,1,0,1,0.013689253935660506
4,5.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0.02737850787132101
4,2.0,0,2,0,1,0,0,0,0,1,1,2,0,0,0.02737850787132101
4,13.0,0,1,0,0,0,0,1,0,1,2,1,0,0,0.02737850787132101
4,13.0,0,0,0,1,0,0,1,0,1,2,2,0,0,0.02737850787132101
4,13.0,0,0,1,1,0,0,1,0,1,2,3,0,0,0.02737850787132101
1,13.0,0,0,2,1,0,0,1,0,1,2,4,0,0,0.02737850787132101
