,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
34,19251,Pete Alonso,27,1322,0.267,0.096,0.193,0.5,0.348,0.518,3.2,55.9,1.25,1.06,-2.12,1.43,1.2,4.77,,0.355,0.728,0.496,0.66,0.871,0.777,0.377,0.5710000000000001,0.111
5,19709,Fernando Tatis Jr.,22,546,0.282,0.114,0.28,0.41,0.364,0.611,5.3,39.9,2.43,1.51,3.59,0.41,1.5,1.19,,0.33299999999999996,0.8059999999999999,0.513,0.478,0.802,0.672,0.381,0.597,0.168
110,15362,Jeff McNeil,30,1015,0.295,0.068,0.11699999999999999,0.58,0.356,0.415,3.7,21.0,0.75,0.4,-2.19,2.85,0.56,4.94,,0.337,0.815,0.545,0.764,0.902,0.8540000000000001,0.434,0.599,0.08
369,19339,Nicky Lopez,27,1045,0.266,0.075,0.131,0.57,0.326,0.329,6.6,-15.9,-0.04,0.21,-1.5,-0.1,-1.44,-0.73,-79.97,0.306,0.659,0.462,0.765,0.91,0.856,0.442,0.619,0.066
66,13301,Max Muncy,31,1157,0.224,0.15,0.226,0.66,0.349,0.458,3.3,35.1,1.1,0.52,1.47,-0.94,1.82,-1.09,4.74,0.20199999999999999,0.619,0.38,0.589,0.8420000000000001,0.765,0.42700000000000005,0.57,0.08900000000000001
202,19287,Adolis Garcia,29,1279,0.246,0.055999999999999994,0.295,0.19,0.293,0.455,6.0,7.5,0.15,0.14,0.88,-0.76,-0.35,-0.81,,0.4,0.755,0.5379999999999999,0.574,0.7759999999999999,0.684,0.389,0.622,0.17
61,15711,Tyler O'Neill,27,920,0.262,0.083,0.295,0.28,0.334,0.491,5.9,30.1,0.91,0.8,1.63,0.19,0.26,0.18,,0.31,0.7290000000000001,0.483,0.534,0.794,0.696,0.41100000000000003,0.603,0.147
107,19950,Andres Gimenez,23,767,0.275,0.059000000000000004,0.21600000000000003,0.27,0.346,0.434,6.0,17.6,-0.37,2.43,-0.92,0.27,3.54,0.33,,0.418,0.715,0.5379999999999999,0.634,0.835,0.741,0.402,0.632,0.139
181,19918,Daulton Varsho,25,907,0.239,0.084,0.23399999999999999,0.36,0.308,0.44,5.6,8.1,-0.21,0.32,3.35,-0.53,1.18,-0.73,,0.349,0.696,0.502,0.6759999999999999,0.828,0.77,0.442,0.609,0.11599999999999999
36,12856,George Springer,32,925,0.266,0.098,0.19399999999999998,0.51,0.346,0.502,5.7,38.5,2.0,0.58,-1.09,2.82,-0.91,0.99,,0.29,0.762,0.489,0.58,0.8270000000000001,0.742,0.42200000000000004,0.614,0.126
42,13066,Teoscar Hernandez,29,1130,0.282,0.062,0.265,0.23,0.332,0.508,4.0,43.0,1.12,0.17,3.01,0.36,1.82,2.07,,0.34,0.745,0.505,0.518,0.809,0.693,0.40700000000000003,0.615,0.155
62,5235,Justin Turner,37,1144,0.278,0.09699999999999999,0.163,0.59,0.356,0.456,2.9,36.3,0.19,0.57,1.2,1.38,3.19,8.04,,0.29600000000000004,0.703,0.46299999999999997,0.737,0.883,0.828,0.41,0.565,0.079
118,15172,Tim Anderson,29,902,0.306,0.04,0.193,0.21,0.338,0.44,5.7,17.4,0.73,0.32,0.21,1.38,1.6,0.36,,0.419,0.8029999999999999,0.578,0.655,0.86,0.773,0.415,0.649,0.131
27,18401,Ronald Acuna Jr.,24,893,0.272,0.114,0.23600000000000002,0.48,0.368,0.484,5.3,39.9,0.9,2.0,2.91,0.93,1.39,-0.7,,0.267,0.736,0.45799999999999996,0.649,0.825,0.764,0.408,0.574,0.10800000000000001
99,19290,Randy Arozarena,27,1249,0.268,0.08199999999999999,0.261,0.31,0.341,0.452,5.9,30.8,1.29,0.01,-1.17,1.33,-0.19,-1.79,,0.311,0.665,0.45,0.615,0.7859999999999999,0.7140000000000001,0.392,0.591,0.129
45,15676,Jose Abreu,35,1338,0.284,0.092,0.18899999999999997,0.49,0.365,0.463,2.3,49.4,0.01,1.08,1.26,0.57,3.93,3.78,,0.34700000000000003,0.665,0.478,0.635,0.872,0.7709999999999999,0.41200000000000003,0.598,0.11
97,13152,Jorge Polanco,28,1089,0.255,0.1,0.196,0.51,0.332,0.465,3.8,26.6,1.32,-0.71,0.47,1.67,0.43,-0.74,,0.311,0.6809999999999999,0.462,0.67,0.882,0.7979999999999999,0.41,0.5660000000000001,0.09300000000000001
