id,ANA202205210
version,2
info,visteam,OAK
info,hometeam,ANA
info,site,ANA01
info,date,2022/05/21
info,number,0
info,starttime,6:07PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,rackd901
info,ump1b,barbs901
info,ump2b,ortir901
info,ump3b,vanol901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:52
info,howscored,unknown
info,pitches,pitches
info,oscorer,munse701
info,temp,66
info,winddir,tocf
info,windspeed,12
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,192
info,attendance,39045
info,wp,lorem002
info,lp,kolaa001
info,save,igler001
start,kempt001,"Tony Kemp",0,1,4
start,neuss001,"Sheldon Neuse",0,2,5
start,lowrj001,"Jed Lowrie",0,3,10
start,brows003,"Seth Brown",0,4,3
start,laurr001,"Ramon Laureano",0,5,9
start,murps001,"Sean Murphy",0,6,2
start,barrl001,"Luis Barrera",0,7,7
start,pachc001,"Cristian Pache",0,8,8
play,5,1,fletd002,01,FX,8/L8D
play,5,1,troum001,10,BX,S8/F8
play,5,1,ohtas001,12,S*BFX,HR/F89XD.1-H
play,5,1,rengl001,10,BX,63/G4
play,6,0,stanm004,22,SFBBC,K
play,6,0,torrg001,02,CFX,63/G6
play,6,0,rizza001,32,SSBFBBX,43/G4D+
play,6,1,wardt002,22,FTBBX,63/G6
play,6,1,fordm002,12,CBFS,K
play,6,1,adelj001,22,BBFFFT,K
play,7,0,trevj001,00,,NP
sub,teper001,"Ryan Tepera",1,0,1
play,7,0,trevj001,00,.,NP
sub,sierm002,"Magneuris Sierra",1,7,7
play,7,0,trevj001,21,..BFBX,2/P2F/FL
play,7,0,kinei001,32,BCBBFFS,K
play,7,0,cabro002,32,CFBBBS,K
play,7,1,thaim001,11,SBX,S8/L8
play,7,1,velaa001,00,.,NP
sub,holmc001,"Clay Holmes",0,0,1
play,7,1,velaa001,12,..BCLM,K
play,7,1,fletd002,01,1CX,643/G6.1-2
com,"$Angels challenged (force play), call on the field was overturned."
play,7,1,troum001,00,X,63/G56D
play,8,0,lemad001,11,BCX,63/G6
play,8,0,judga001,11,BFX,HR/F8XD
play,8,0,benia002,00,.,NP
sub,quijj001,"Jose Quijada",1,0,1
play,8,0,benia002,12,..FTBFX,S8/G4M+
play,8,0,stanm004,11,BSX,3/P34
play,8,0,torrg001,00,X,8/F8XD
play,8,1,ohtas001,00,,NP
sub,luetl001,"Lucas Luetge",0,0,1
play,8,1,ohtas001,11,.SBX,S3/G3
play,8,1,rengl001,22,SBSBX,7/F7D
play,8,1,wardt002,12,CS*BS,K
play,8,1,fordm002,00,,NP
sub,duffm002,"Matt Duffy",1,6,11
play,8,1,duffm002,00,..1X,53/G5
play,9,0,rizza001,00,,NP
sub,duffm002,"Matt Duffy",1,6,3
play,9,0,rizza001,11,.CBX,5/P5SF/FL
play,9,0,trevj001,00,.,NP
sub,hergj001,"Jimmy Herget",1,0,1
play,9,0,trevj001,02,..SSS,K
