id,HOU202306200
version,2
info,visteam,NYN
info,hometeam,HOU
info,site,HOU03
info,date,2023/06/20
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cejan901
info,ump1b,onorb901
info,ump2b,hobep901
info,ump3b,metzj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/26 10:07:28
info,howscored,unknown
info,pitches,pitches
info,oscorer,fanud701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,131
info,attendance,34606
info,wp,valdf001
info,lp,verlj001
info,save,presr001
start,nimmb001,"Brandon Nimmo",0,1,8
start,marts002,"Starling Marte",0,2,9
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,phamt001,"Tommy Pham",0,5,7
start,alvaf001,"Francisco Alvarez",0,6,2
start,mcnej002,"Jeff McNeil",0,7,4
start,canhm001,"Mark Canha",0,8,10
play,3,0,drurb001,12,CCBS,K
play,3,1,diazy004,00,X,63/G6
play,3,1,dubom001,32,CBBBCB,W
play,3,1,singj001,10,*BX,HR/F9LD.1-H
play,3,1,penaj004,00,,NP
sub,rosek001,"Kenny Rosenberg",0,0,1
play,3,1,penaj004,02,.FT.*S,K
play,3,1,maldm001,11,BCX,S7/G56
play,3,1,altuj001,00,H,HP.1-2
play,3,1,brega001,30,BBBB,W.2-3;1-2
play,3,1,alvay001,00,X,5/P5F/FL
play,4,0,mousm001,02,.CFX,31/G34
play,4,0,cronc002,02,CF*S,K
play,4,0,monim001,02,FST,K
play,4,1,tuckk001,21,CBBX,43/G34
play,4,1,diazy004,02,CFFX,D7/L78XD+
play,4,1,dubom001,11,SBX,63/G6.2-3
play,4,1,singj001,32,BFBBCFB,W
play,4,1,penaj004,00,X,D7/F7LD.3-H;1-3
play,4,1,maldm001,02,CC.X,S7/G6.3-H;2-H
play,4,1,altuj001,30,.*BBBB,W.1-2
play,4,1,brega001,01,CX,54(1)/FO/G56.B-1
play,5,0,renfh001,02,CF.*S,K
play,5,0,gricr001,10,BX,63/G6
play,5,0,wallc001,32,CBS.BBX,7/F78S
play,5,1,alvay001,00,X,4/L4D+
play,5,1,tuckk001,12,BCCX,63/G4
play,5,1,diazy004,22,FBBFS,K
play,6,0,rengl001,22,CBF.FBX,S9/G34
play,6,0,ohtas001,10,BX,S8/L8.1-2
play,6,0,drurb001,01,FX,S7/G56.2-H;1-2
play,6,0,mousm001,11,BCX,8/F8XD.2-3
play,6,0,cronc002,02,FFS,K
play,6,0,monim001,21,BFBX,6/P6MS
play,6,1,dubom001,02,CFFFX,8/L8D
play,6,1,singj001,20,BBX,13/G1
play,6,1,penaj004,10,BX,S8/L8
play,6,1,maldm001,22,FFB*BS,K
play,7,0,renfh001,00,,NP
sub,gravk001,"Kendall Graveman",1,0,1
play,7,0,renfh001,32,.CBBSB.B,W
play,7,0,gricr001,22,CFBFBS,K
play,7,0,wallc001,22,FBS.BS,K
play,7,0,rengl001,01,FX,3/G34
play,7,1,altuj001,00,,NP
sub,adamj003,"Jordyn Adams",0,7,9
play,7,1,altuj001,01,.FX,7/L7D+
play,7,1,brega001,00,,NP
sub,kessg001,"Grae Kessinger",1,2,11
play,7,1,kessg001,12,.BSC.C,K
play,7,1,alvay001,00,,NP
sub,mccoc001,"Chas McCormick",1,3,11
play,7,1,mccoc001,11,.BFX,S8/L8
play,7,1,tuckk001,00,,NP
sub,meyej002,"Jake Meyers",1,4,11
play,7,1,meyej002,00,.X,4/F4MD
play,8,0,ohtas001,00,,NP
sub,kessg001,"Grae Kessinger",1,2,5
play,8,0,ohtas001,00,.,NP
sub,mccoc001,"Chas McCormick",1,3,9
play,8,0,ohtas001,00,..,NP
sub,meyej002,"Jake Meyers",1,4,8
play,8,0,ohtas001,00,...,NP
sub,dubom001,"Mauricio Dubon",1,6,7
play,8,0,ohtas001,00,....,NP
sub,montr004,"Rafael Montero",1,0,1
play,8,0,ohtas001,32,.....TBCBBC,K
play,8,0,drurb001,32,SFBFBBFX,3/P3D
play,8,0,mousm001,12,BFSFX,63/G6
play,8,1,diazy004,00,,NP
sub,escoe001,"Eduardo Escobar",0,5,5
play,8,1,diazy004,00,.,NP
sub,velaa001,"Andrew Velazquez",0,4,6
play,8,1,diazy004,00,..,NP
sub,drurb001,"Brandon Drury",0,3,3
play,8,1,diazy004,00,...,NP
sub,rengl001,"Luis Rengifo",0,1,4
play,8,1,diazy004,00,....X,9/F9LS
play,8,1,dubom001,32,BFSBBB,W
play,8,1,singj001,10,BX,S9/G3.1-2
play,8,1,penaj004,31,BF*BBB,W.2-3;1-2
play,8,1,maldm001,00,,NP
sub,barrj003,"Jaime Barria",0,0,1
play,8,1,maldm001,00,.X,3/P3SF/FL
play,8,1,altuj001,00,X,S7/G56.3-H;2-3;1-2
play,8,1,kessg001,02,FSC,K
play,9,0,escoe001,00,,NP
sub,matop002,"Phil Maton",1,0,1
play,9,0,escoe001,22,.SBCBX,S1/L1
play,9,0,monim001,00,,NP
sub,stanr002,"Ryne Stanek",1,0,1
play,9,0,monim001,00,.X,46(1)3/GDP/G4
play,9,0,adamj003,12,FBSS,K
data,er,barrj003,0
data,er,detmr001,7
data,er,rosek001,4
data,er,montr004,0
data,er,gravk001,0
data,er,stanr002,0
data,er,matop002,0
data,er,verlj001,3
id,HOU202308220
version,2
info,visteam,BOS
info,hometeam,HOU
info,site,HOU03
info,date,2023/08/22
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hobep901
info,ump1b,hanat901
info,ump2b,cejan901
info,ump3b,onorb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/31 09:04:15
info,howscored,unknown
info,pitches,pitches
info,oscorer,fanud701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,173
info,attendance,33042
info,wp,verlj001
info,lp,houct001
info,save,
start,verda001,"Alex Verdugo",0,1,9
start,dever001,"Rafael Devers",0,2,5
start,turnj001,"Justin Turner",0,3,10
start,yoshm002,"Masataka Yoshida",0,4,7
start,duvaa001,"Adam Duvall",0,5,8
start,casat001,"Triston Casas",0,6,3
start,stort001,"Trevor Story",0,7,6
start,urial001,"Luis Urias",0,8,4
start,wongc001,"Connor Wong",0,9,2
start,houct001,"Tanner Houck",0,0,1
start,altuj001,"Jose Altuve",1,1,4
start,brega001,"Alex Bregman",1,2,5
start,tuckk001,"Kyle Tucker",1,3,9
start,diazy004,"Yainer Diaz",1,4,3
start,mccoc001,"Chas McCormick",1,5,7
start,dubom001,"Mauricio Dubon",1,6,8
start,singj001,"Jon Singleton",1,7,10
start,penaj004,"Jeremy Pena",1,8,6
start,maldm001,"Martin Maldonado",1,9,2
start,verlj001,"Justin Verlander",1,0,1
play,1,0,verda001,11,BFX,8/F78
play,1,0,dever001,12,SBSS,K
play,1,0,turnj001,22,CSFBBX,S8/L8D
play,1,0,yoshm002,12,CBFFX,8/F8S
play,1,1,altuj001,22,CSBFFBC,K
play,1,1,brega001,00,X,S5/G56S-
play,1,1,tuckk001,31,SBBBX,HR/F9LD.1-H
play,1,1,diazy004,11,CBX,63/G56
play,1,1,mccoc001,01,MX,E5/TH/G56S.B-1
play,1,1,dubom001,31,BBBCB,W.1-2
play,1,1,singj001,32,BBSFB>B,W.2-3;1-2
play,1,1,penaj004,01,FX,54(1)/FO/G56S.B-1
play,2,0,duvaa001,02,CF.FS,K
play,2,0,casat001,22,BS.SBC,K
play,2,0,stort001,02,FC.X,S7/G56
play,2,0,urial001,30,BBBB,W.1-2
play,2,0,wongc001,00,X,63/G56
play,2,1,maldm001,21,BCBX,S7/L7+
play,2,1,altuj001,00,X,6(1)3/GDP/G6M
play,2,1,brega001,02,CS.X,43/G6M
play,3,0,verda001,12,C.BFT,K
play,3,0,dever001,22,BCFBS,K
play,3,0,turnj001,32,CCFBBBFFC,K
play,3,1,tuckk001,21,BBFX,43/G34
play,3,1,diazy004,10,BX,63/G6D
play,3,1,mccoc001,32,BBCBFFX,53/G56S
play,4,0,yoshm002,01,FX,S9/L9S
com,"ej,verda002,P,hobep901,Balls and strikes"
com,"$Red Sox right fielder Alex Verdugo ejected by HP umpire Pat Hoberg"
com,"for arguing balls and strikes"
play,4,0,duvaa001,02,CC..S,K+WP.1-2
play,4,0,casat001,32,BF.*BBCS,K
play,4,0,stort001,11,FBX,3/P3F/FL
play,4,1,dubom001,00,,NP
sub,abrew002,"Wilyer Abreu",0,1,9
play,4,1,dubom001,10,.BX,S8/G6
play,4,1,singj001,01,FX,8/F78XD
play,4,1,penaj004,30,BBBB,W.1-2
play,4,1,maldm001,00,X,23/SH/BG2.2-H;1-3
play,4,1,altuj001,00,X,63/G6
play,5,0,urial001,02,FS.FX,3/P3S
play,5,0,wongc001,00,X,D9/L89D+
play,5,0,abrew002,22,SBS.BS,K
play,5,0,dever001,02,SFX,31/G3
play,5,1,brega001,00,X,63/G6
play,5,1,tuckk001,00,X,13/G4S-
play,5,1,diazy004,22,CBSBS,K
play,6,0,turnj001,01,CX,63/G6
play,6,0,yoshm002,12,CFBX,31/G3
play,6,0,duvaa001,10,BX,D56/G5
play,6,0,casat001,01,FH,HP
play,6,0,stort001,31,B*BBCX,FC6/G56.2-3;1X2(6E4);B-1
play,6,0,urial001,00,X,6/F8S
play,6,1,mccoc001,00,,NP
sub,wincj001,"Josh Winckowski",0,0,1
play,6,1,mccoc001,12,.BCFFFT,K
play,6,1,dubom001,12,FSBC,K
play,6,1,singj001,12,BSFX,DGR/F78XD+
play,6,1,penaj004,31,*BBSB*B,W
play,6,1,maldm001,01,2CX,53/G56S
play,7,0,wongc001,00,,NP
sub,gravk001,"Kendall Graveman",1,0,1
play,7,0,wongc001,02,.CF.S,K
play,7,0,abrew002,21,CBBX,D9/L89D+
play,7,0,dever001,31,BBFBB,W
play,7,0,turnj001,32,FBBFBC,K
play,7,0,yoshm002,21,*BSBX,7/F7
play,7,1,altuj001,00,,NP
sub,llovm001,"Mauricio Llovera",0,0,1
play,7,1,altuj001,21,.BBCX,53/G5
play,7,1,brega001,32,CCBBBB,W
com,"ej,coraa001,M,hobep901,Balls and strikes"
com,"$Red Sox manager Alex Cora ejected by HP umpire Pat Hoberg"
com,"for arguing balls and strikes"
play,7,1,tuckk001,32,.CBBBFX,FC1/G1S.1-2(E1/TH);B-1
play,7,1,diazy004,11,BFX,S9/G34.2-H(UR);1-3(E9/TH);B-2
play,7,1,mccoc001,12,*BCCX,FC4/G4.3-H(UR);2-3;B-1
play,7,1,dubom001,02,CS>B,SB2
play,7,1,dubom001,12,CS>B.X,9/F34D
play,7,1,singj001,32,CBCBBX,D9/L9L.3-H(UR);2-H(UR)
play,7,1,penaj004,32,BCFBBC,K
play,8,0,duvaa001,00,,NP
sub,meyej002,"Jake Meyers",1,1,8
play,8,0,duvaa001,00,.,NP
sub,dubom001,"Mauricio Dubon",1,6,4
play,8,0,duvaa001,00,..,NP
sub,stanr002,"Ryne Stanek",1,0,1
play,8,0,duvaa001,22,...FBFBFX,HR/F7D
play,8,0,casat001,10,BX,7/F7L
play,8,0,stort001,00,X,9/L89D+
play,8,0,urial001,32,CFBBBX,7/F7
play,8,1,maldm001,00,,NP
sub,bernb001,"Brennan Bernardino",0,0,1
play,8,1,maldm001,02,.CCS,K
play,8,1,meyej002,32,BCBFFBX,D8/L78D
play,8,1,brega001,32,BCBFB.FFX,53/G5
play,8,1,tuckk001,02,F.CX,63/G4MS
play,9,0,wongc001,00,,NP
sub,montr004,"Rafael Montero",1,0,1
play,9,0,wongc001,22,.FFBBFFS,K
play,9,0,abrew002,01,CX,S9/G34
play,9,0,dever001,12,SFFBX,D8/F78D+.1-3
play,9,0,turnj001,11,BTX,S8/G4M.3-H;2-H
play,9,0,yoshm002,22,BBFFX,46(1)3/GDP/G4
data,er,wincj001,0
data,er,bernb001,0
data,er,llovm001,0
data,er,houct001,3
data,er,montr004,2
data,er,gravk001,0
data,er,stanr002,1
data,er,verlj001,0
id,HOU202309010
version,2
info,visteam,NYA
info,hometeam,HOU
info,site,HOU03
info,date,2023/09/01
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,lentn901
info,ump1b,clemp901
info,ump2b,rehaj901
info,ump3b,fairc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/12 09:02:54
info,howscored,unknown
info,pitches,pitches
info,oscorer,wilkt701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,151
info,attendance,41066
info,wp,rodoc001
info,lp,verlj001
info,save,
start,lemad001,"DJ LeMahieu",0,1,3
start,judga001,"Aaron Judge",0,2,9
start,volpa001,"Anthony Volpe",0,3,6
start,stanm004,"Giancarlo Stanton",0,4,10
start,domij003,"Jasson Dominguez",0,5,8
start,kinei001,"Isiah Kiner-Falefa",0,6,5
start,wella002,"Austin Wells",0,7,2
start,peree005,"Everson Pereira",0,8,7
start,perao002,"Oswald Peraza",0,9,4
start,rodoc001,"Carlos Rodon",0,0,1
start,altuj001,"Jose Altuve",1,1,4
start,brega001,"Alex Bregman",1,2,5
start,alvay001,"Yordan Alvarez",1,3,7
start,tuckk001,"Kyle Tucker",1,4,9
start,abrej003,"Jose Abreu",1,5,3
start,diazy004,"Yainer Diaz",1,6,10
start,penaj004,"Jeremy Pena",1,7,6
start,meyej002,"Jake Meyers",1,8,8
start,maldm001,"Martin Maldonado",1,9,2
start,verlj001,"Justin Verlander",1,0,1
play,1,0,lemad001,01,CX,HR/F9LD
play,1,0,judga001,02,FCX,53/G56
play,1,0,volpa001,11,BSX,53/G5
play,1,0,stanm004,32,FBBFFFBB,W
play,1,0,domij003,01,CX,HR/F7D.1-H
play,1,0,kinei001,00,X,8/F8
play,1,1,altuj001,12,.FFBFFFX,43/G4
play,1,1,brega001,20,BBX,3/P1S
play,1,1,alvay001,11,T.BH,HP
play,1,1,tuckk001,32,BBBCF>F>S,K
play,2,0,wella002,00,,NP
sub,dubom001,"Mauricio Dubon",1,1,4
play,2,0,wella002,32,.BSCBBFX,S9/L89
play,2,0,peree005,22,CBBSFX,54(1)/FO/G56S.B-1
play,2,0,perao002,00,X,53/G5.1-2
play,2,0,lemad001,01,CX,9/F9L
play,2,1,abrej003,32,BSBS.FBFX,HR/F7D
play,2,1,diazy004,22,BFFFFBFS,K
play,2,1,penaj004,11,FBX,D7/L7L
play,2,1,meyej002,12,CFBX,8/F89D.2-3
play,2,1,maldm001,32,SBSBBX,3/P34S
play,3,0,judga001,01,SX,S7/L7+
play,3,0,volpa001,32,SC*BBFFBX,9/F89
play,3,0,stanm004,01,FX,HR/F7LD.1-H
play,3,0,domij003,00,X,7/L7+
play,3,0,kinei001,12,BFFS,K
play,3,1,dubom001,00,X,9/F9LS
play,3,1,brega001,32,CBFBBB,W
play,3,1,alvay001,02,FFFS,K
play,3,1,tuckk001,11,CBX,D7/F78XD+.1-H
play,3,1,abrej003,12,CSFFBF>FFX,7/F7S
play,4,0,wella002,12,CCBX,6/P4M
play,4,0,peree005,12,CBSX,D7/F78XD+
play,4,0,perao002,01,SX,63/G56
play,4,0,lemad001,22,CFB*BC,K
play,4,1,diazy004,12,FSBS,K
play,4,1,penaj004,10,BX,7/F7LF/FL
play,4,1,meyej002,32,BSFBBFF.X,8/F8S
play,5,0,judga001,00,X,HR/F78XD
play,5,0,volpa001,01,CX,3/P3
play,5,0,stanm004,12,BFTFS,K
play,5,0,domij003,00,X,63/G6
play,5,1,maldm001,10,BX,8/F8XD
play,5,1,dubom001,00,X,3/P3F/FL
play,5,1,brega001,11,.CBX,9/F89S
play,6,0,kinei001,12,CCBX,S9/G3
play,6,0,wella002,12,1CBSX,6(1)3/GDP/G6M+
play,6,0,peree005,21,CBBX,6/P6D
play,6,1,alvay001,00,,NP
sub,vasqr001,"Randy Vasquez",0,0,1
play,6,1,alvay001,00,.H,HP
