id,NYA202307250
version,2
info,visteam,NYN
info,hometeam,NYA
info,site,NYC21
info,date,2023/07/25
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,marqa901
info,ump1b,eddid901
info,ump2b,dejer901
info,ump3b,barrl901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/29 12:23:06
info,howscored,unknown
info,pitches,pitches
info,oscorer,karph701
info,temp,70
info,winddir,tocf
info,windspeed,2
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,191
info,attendance,46540
info,wp,verlj001
info,lp,germd001
info,save,
start,nimmb001,"Brandon Nimmo",0,1,8
start,lindf001,"Francisco Lindor",0,2,6
start,mcnej002,"Jeff McNeil",0,3,4
start,alonp001,"Pete Alonso",0,4,3
start,voged001,"Daniel Vogelbach",0,5,10
start,alvaf001,"Francisco Alvarez",0,6,2
start,batyb001,"Brett Baty",0,7,5
start,canhm001,"Mark Canha",0,8,7
play,7,1,bauej001,11,BCX,S8/L8D
play,7,1,judga001,01,FX,4/P3
play,8,0,dubom001,00,,NP
sub,kingm002,"Michael King",1,0,1
play,8,0,dubom001,12,.CFBX,7/L78D
play,8,0,kessg001,00,,NP
sub,diazy004,"Yainer Diaz",0,8,11
play,8,0,diazy004,11,.CBX,S9/L34D
play,8,0,maldm001,02,FCS,K
play,8,0,altuj001,32,BCSBB>C,K
play,8,1,torrg001,00,,NP
sub,diazy004,"Yainer Diaz",0,8,3
play,8,1,torrg001,00,.,NP
sub,gravk001,"Kendall Graveman",0,0,1
play,8,1,torrg001,32,..BCFBBX,HR/F89XD
play,8,1,stanm004,22,BSBSX,S7/L7
play,8,1,lemad001,00,,NP
sub,alleg002,"Greg Allen",1,4,12
play,8,1,lemad001,31,.1BBBC>S,SB2
play,8,1,lemad001,32,.1BBBC>S.B,W
play,8,1,kinei001,22,CBLBX,9/F9S
play,8,1,badeh001,10,BX,64(1)3/GDP/G6S
play,9,0,penaj004,00,.,NP
sub,holmc001,"Clay Holmes",1,0,1
play,9,0,penaj004,22,..BCSBS,K
play,9,0,tuckk001,32,BBCBFFX,8/F78XD
play,9,0,brega001,22,CFBBX,63/G6MS
data,er,gravk001,1
data,er,verlj001,2
data,er,cortn001,1
data,er,kingm002,0
data,er,hamii001,0
data,er,kahnt001,0
data,er,holmc001,0
