id,SDN202307070
version,2
info,visteam,NYN
info,hometeam,SDN
info,site,SAN02
info,date,2023/07/07
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hoyej901
info,ump1b,reybd901
info,ump2b,vondc901
info,ump3b,libkj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/10 07:14:29
info,howscored,unknown
info,pitches,pitches
info,oscorer,maffj701
info,temp,67
info,winddir,unknown
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,207
info,attendance,42712
info,wp,smitd009
info,lp,cosgt001
info,save,
start,nimmb001,"Brandon Nimmo",0,1,8
start,phamt001,"Tommy Pham",0,2,7
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,voged001,"Daniel Vogelbach",0,5,10
start,marts002,"Starling Marte",0,6,9
start,mcnej002,"Jeff McNeil",0,7,4
start,alvaf001,"Francisco Alvarez",0,8,2
play,9,1,sotoj001,01,C1X,6(1)/FO/G6M.B-1
play,10,0,mcnej002,00,,NP
sub,cosgt001,"Tom Cosgrove",1,0,1
radj,marts002,2
com,"Starling Marte starts inning at 2nd base."
play,10,0,mcnej002,00,..X,D9/G3.2-H(UR)
play,10,0,alvaf001,10,BX,S39/G3.2-H
play,10,0,canhm001,22,FBB*SX,23/G2-.1-2
play,10,0,nimmb001,21,CBBX,9/F9L
play,10,0,phamt001,00,,NP
sub,honeb001,"Brent Honeywell",1,0,1
play,10,0,phamt001,22,.C*BBFH,HP
play,10,0,lindf001,00,B,WP.2-3;1-2
play,10,0,lindf001,21,B.BSX,S7/G6.3-H;2-H
play,10,0,alonp001,12,CBF1B,WP.1-2
play,10,0,alonp001,22,CBF1B.FS,K
play,10,1,tatif002,00,,NP
sub,batyb001,"Brett Baty",0,9,5
play,10,1,tatif002,00,.,NP
sub,robed002,"David Robertson",0,0,1
radj,sotoj001,2
com,"Juan Soto starts inning at 2nd base."
play,10,1,tatif002,10,...BX,9/F89
play,10,1,machm001,01,CX,HR/L7D.2-H(UR)
play,10,1,bogax001,32,BBCFFBC,K
play,10,1,cronj001,11,FBX,9/F9D+
data,er,ottaa001,0
data,er,smitd009,0
data,er,raleb001,0
data,er,verlj001,2
data,er,robed002,1
data,er,martn002,0
data,er,darvy001,3
data,er,hillt002,0
data,er,morea001,0
data,er,honeb001,1
data,er,cosgt001,2
data,er,garcl005,0
