id,NYN202205290
version,2
info,visteam,PHI
info,hometeam,NYN
info,site,NYC20
info,date,2022/05/29
info,number,0
info,starttime,7:08PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,willr901
info,ump1b,ticht901
info,ump2b,rehaj901
info,ump3b,porta901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,sprej701
info,temp,70
info,winddir,tolf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,231
info,attendance,36513
info,wp,diaze006
info,lp,knebc001
info,save,
start,schwk001,"Kyle Schwarber",0,1,7
start,bohma001,"Alec Bohm",0,2,5
start,harpb003,"Bryce Harper",0,3,10
start,castn001,"Nick Castellanos",0,4,9
start,seguj002,"Jean Segura",0,5,4
start,hoskr001,"Rhys Hoskins",0,6,3
start,realj001,"J.T. Realmuto",0,7,2
start,herro001,"Odubel Herrera",0,8,8
play,1,1,voged001,32,1BBCBS>X,5/F5F/FL
play,2,0,realj001,12,BCSX,53/G5S
play,2,0,castn001,11,FBX,S8/L8
play,2,0,halld003,22,BFFBX,65(1)3/GDP/G4
play,2,1,canhm001,11,CBX,63/G6
play,2,1,guill001,11,CBX,63/G6
play,2,1,mcnej002,12,CFBX,8/F78D
play,3,0,seguj002,12,CFFBX,63/G6MS
play,3,0,marsb002,31,BBBCB,W
play,3,0,vierm001,12,CC*BS+1,K
play,3,0,stotb001,11,BC11X,43/G34
play,3,1,mccaj001,32,CBFBFFFBX,8/F8XD+
play,3,1,nimmb001,31,BFBBX,3/G3
play,3,1,marts002,22,SBBFX,63/G6S
play,4,0,hoskr001,32,CCBBFFBX,S8/G4
play,4,0,bohma001,01,CX,S9/L89.1-2
play,4,0,realj001,02,FSS,K
play,4,0,castn001,32,BBBFFX,9/F9L
play,4,0,halld003,31,BCBBX,13/G1S
play,4,1,lindf001,11,CBX,7/L7L
play,4,1,alonp001,00,X,D7/G5+
play,4,1,voged001,32,CBBBSF*S,K
play,4,1,canhm001,02,CSFX,S9/L9S.2-H;B-2
play,4,1,guill001,00,X,S7/G56.2-H
play,4,1,mcnej002,31,FBBBB,W.1-2
play,4,1,mccaj001,00,X,S8/F89S.2-H;1-H(NR);B-2
play,4,1,nimmb001,22,BFBSX,8/F8D
play,5,0,seguj002,00,,NP
sub,escoe001,"Eduardo Escobar",1,7,5
play,5,0,seguj002,12,.CBSX,E3/G34.B-1
play,5,0,marsb002,12,C1SBX,D7/F7LD.1-3
play,5,0,vierm001,22,SBBFFFT,K
play,5,0,stotb001,12,FBFS,K
play,5,0,hoskr001,32,BBCBCB,W
play,5,0,bohma001,12,*SBSX,4/L4D
play,5,1,marts002,01,CX,S7/G6+
play,5,1,lindf001,32,*BBBCF>S,K+CS2(26)/DP
play,5,1,alonp001,02,SSS,K
play,6,0,realj001,00,,NP
sub,willt002,"Trevor Williams",1,0,1
play,6,0,realj001,01,.FX,13/G1
play,6,0,castn001,22,BSBFX,43/G4
play,6,0,halld003,00,X,S7/L78S
play,6,0,seguj002,22,BFBCFFX,8/F89D
play,6,1,voged001,00,X,HR/F9D
play,6,1,canhm001,01,CX,S8/L8
play,6,1,escoe001,02,FC1S,K
