id,NYN202307290
version,2
info,visteam,WAS
info,hometeam,NYN
info,site,NYC20
info,date,2023/07/29
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,mahrn901
info,ump1b,carav901
info,ump2b,jimee901
info,ump3b,hamaa901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/24 10:02:37
info,howscored,unknown
info,pitches,pitches
info,oscorer,sprej701
info,temp,79
info,winddir,torf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,184
info,attendance,30858
info,wp,corbp001
info,lp,carrc003
info,save,
start,abrac001,"CJ Abrams",0,1,6
start,thoml002,"Lane Thomas",0,2,9
start,candj002,"Jeimer Candelario",0,3,5
start,menej001,"Joey Meneses",0,4,10
start,garcl006,"Luis Garcia",0,5,4
start,smitd008,"Dominic Smith",0,6,3
start,garrs003,"Stone Garrett",0,7,7
start,adamr004,"Riley Adams",0,8,2
play,9,0,garrs003,00,X,E5/G56.3-H(NR)(UR);B-1
play,9,0,adamr004,00,X,D8/L78XD+.1-H(UR)
play,9,0,calla002,12,BFC*S,K
play,9,1,alvaf001,00,,NP
sub,macha003,"Andres Machado",0,0,1
play,9,1,alvaf001,01,.SX,HR/F8XD
play,9,1,vienm001,01,SX,HR/F89XD
play,9,1,batyb001,11,CBX,D7/F7LD
play,9,1,nimmb001,00,X,43/G4.2-3
play,9,1,lindf001,12,BFC.S,K
play,9,1,alonp001,11,FBX,8/F89D
data,er,thomm005,0
data,er,weemj001,0
data,er,finnk001,0
data,er,macha003,2
data,er,corbp001,4
data,er,carrc003,6
data,er,hartg002,1
data,er,smitd009,0
data,er,garrr001,0
data,er,gottt001,0
data,er,leond003,0
