id,MIL202306210
version,2
info,visteam,ARI
info,hometeam,MIL
info,site,MIL06
info,date,2023/06/21
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,thomd901
info,ump1b,moorm901
info,ump2b,drecb901
info,ump3b,sches901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/04 09:04:43
info,howscored,unknown
info,pitches,pitches
info,oscorer,odrit701
info,temp,78
info,winddir,ltor
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,165
info,attendance,31397
info,wp,gallz001
info,lp,pegue001
info,save,mcgos001
start,perdg001,"Geraldo Perdomo",0,1,6
start,martk001,"Ketel Marte",0,2,4
start,carrc005,"Corbin Carroll",0,3,7
start,walkc002,"Christian Walker",0,4,3
start,smitp002,"Pavin Smith",0,5,10
start,rivee001,"Emmanuel Rivera",0,6,5
start,thoma004,"Alek Thomas",0,7,8
start,moreg001,"Gabriel Moreno",0,8,2
play,8,0,carrc005,12,BCSFFS,K
play,8,1,tapir001,00,,NP
sub,mcgos001,"Scott McGough",0,0,1
play,8,1,tapir001,02,.CFC,K
play,8,1,urial001,02,S.FS,K
play,8,1,wiemj001,22,BSBS.S,K
play,9,0,walkc002,01,CX,3/P3SF/FL
play,9,0,smitp002,30,BBBB,W
play,9,0,rivee001,00,>C,SB2
play,9,0,rivee001,02,>C.FX,S9/L89S.2-H
play,9,0,thoma004,22,V*BCCFX,S8/L8.1-2
play,9,0,moreg001,00,,NP
sub,wilsb003,"Bryse Wilson",1,0,1
play,9,0,moreg001,12,.BFFFX,8/L89
play,9,0,mccaj003,01,FB,WP.2-3;1-2
play,9,0,mccaj003,22,FB.C*B.X,7/F7D
play,9,1,yelic001,12,CTFBS,K
play,9,1,contw002,10,BX,63/G6
play,9,1,adamw002,12,CBFX,9/L9L
data,er,mcgos001,0
data,er,gallz001,1
data,er,milnh001,0
data,er,tehej001,0
data,er,pegue001,1
data,er,strzp001,0
data,er,wilsb003,0
data,er,megit001,3
