id,OAK202204180
version,2
info,visteam,BAL
info,hometeam,OAK
info,site,OAK01
info,date,2022/04/18
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drakr901
info,ump1b,littw901
info,ump2b,gibsg901
info,ump3b,mahrn901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:16
info,howscored,unknown
info,pitches,pitches
info,oscorer,thomc701
info,temp,60
info,winddir,unknown
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,179
info,attendance,17503
info,wp,montf001
info,lp,krehj001
info,save,
start,mullc002,"Cedric Mullins",0,1,8
start,mounr001,"Ryan Mountcastle",0,2,3
start,santa003,"Anthony Santander",0,3,7
start,manct001,"Trey Mancini",0,4,10
start,odorr001,"Rougned Odor",0,5,4
start,uriar001,"Ramon Urias",0,6,5
start,haysa001,"Austin Hays",0,7,9
start,bemba001,"Anthony Bemboom",0,8,2
play,6,1,smitk003,11,CB+1X,E4/G.3-H(NR)(UR);1-2;B-1
play,6,1,pachc001,11,*BCX,S9/L89.2-H(UR);1-3
play,6,1,kempt001,12,BC1C1X,3/G34S
play,7,0,manct001,00,,NP
sub,acevd001,"Domingo Acevedo",1,0,1
play,7,0,manct001,10,.BX,S7/L7S
play,7,0,odorr001,12,CSB*S,K
play,7,0,uriar001,22,SSBBX,S7/L7.1-3
play,7,0,haysa001,12,C*BSFX,9/F9L/DP.3XH(92)
play,7,1,andre001,00,,NP
sub,akink001,"Keegan Akin",0,0,1
play,7,1,andre001,02,.LFX,4/P34D
play,7,1,murps001,02,FCFFFS,K
play,7,1,mckib001,22,SSBFFFBX,63/G4
play,8,0,bemba001,00,,NP
sub,grimj002,"Justin Grimm",1,0,1
play,8,0,bemba001,22,.FBBCFX,53/G4+
play,8,0,matej003,32,SBSBBC,K
play,8,0,mullc002,11,BFX,T8/F89XD
play,8,0,mounr001,22,CF*BBS,K
play,8,1,bethc001,12,SSBX,4/P34D
play,8,1,brows003,10,BX,7/L78
play,8,1,neuss001,01,CX,8/F8
play,9,0,santa003,00,,NP
sub,jimed002,"Dany Jimenez",1,0,1
play,9,0,santa003,30,.BBBB,W
play,9,0,manct001,12,BCFC,K
play,9,0,odorr001,31,CBBBX,8/F8D
play,9,0,uriar001,12,FSBX,S8/G4M+.1-2
play,9,0,haysa001,01,FX,S9/G3.2-3;1-2
play,9,0,bemba001,00,,NP
sub,mcker001,"Ryan McKenna",0,8,11
play,9,0,mcker001,22,.CBS*BS,K
data,er,akink001,0
data,er,diplm001,0
data,er,watks003,1
data,er,krehj001,0
data,er,jimed002,0
data,er,grimj002,0
data,er,montf001,1
data,er,acevd001,0
id,OAK202204230
version,2
info,visteam,TEX
info,hometeam,OAK
info,site,OAK01
info,date,2022/04/23
info,number,0
info,starttime,1:07PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,knigb901
info,ump1b,ortir901
info,ump2b,valej901
info,ump3b,eddid901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:21
info,howscored,unknown
info,pitches,pitches
info,oscorer,thomc701
info,temp,67
info,winddir,torf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,161
info,attendance,9120
info,wp,burkb001
info,lp,montf001
info,save,bushm001
start,millb002,"Brad Miller",0,1,7
start,semim001,"Marcus Semien",0,2,4
start,seagc001,"Corey Seager",0,3,6
start,garvm001,"Mitch Garver",0,4,2
start,lowen001,"Nathaniel Lowe",0,5,3
start,calhk001,"Kole Calhoun",0,6,9
start,garca005,"Adolis Garcia",0,7,8
start,calhw001,"Willie Calhoun",0,8,10
start,ibana001,"Andy Ibanez",0,9,5
start,perem004,"Martin Perez",0,0,1
start,kempt001,"Tony Kemp",1,1,7
start,neuss001,"Sheldon Neuse",1,2,5
start,murps001,"Sean Murphy",1,3,2
start,bethc001,"Christian Bethancourt",1,4,3
start,piscs001,"Stephen Piscotty",1,5,9
start,andre001,"Elvis Andrus",1,6,10
start,lopec001,"Christian Lopes",1,7,4
start,pachc001,"Cristian Pache",1,8,8
start,allen002,"Nick Allen",1,9,6
start,montf001,"Frankie Montas",1,0,1
play,1,0,millb002,00,X,8/F89S
play,1,0,semim001,22,CBSBS,K
play,1,0,seagc001,32,BFFBBFFS,K
play,1,1,kempt001,21,BBCX,31/G34
play,1,1,neuss001,11,CBX,63/G6
play,1,1,murps001,22,BCCBX,53/G56
play,2,0,garvm001,01,CX,7/F78
play,2,0,lowen001,12,CFBFT,K
play,2,0,calhk001,12,SFBS,K
play,2,1,bethc001,32,CBBCBC,K
play,2,1,piscs001,00,X,8/F8XD
play,2,1,andre001,22,BCCFBC,K
play,3,0,garca005,01,CX,E6/TH/G6.B-1
play,3,0,calhw001,21,CB1BX,46(1)3/GDP/G34
play,3,0,ibana001,12,SSBFC,K
play,3,1,lopec001,32,CBBSBX,43/G4
play,3,1,pachc001,11,SBX,8/F8
play,3,1,allen002,02,FCX,D7/F7D
play,3,1,kempt001,32,BFSBBFS,K
play,4,0,millb002,22,CBSBX,8/F89S
play,4,0,semim001,32,FBCBBS,K
play,4,0,seagc001,32,BFTBBB,W
play,4,0,garvm001,12,FCBX,6/F7LS
play,4,1,neuss001,22,FFBBFX,63/G6
play,4,1,murps001,00,X,53/G5
play,4,1,bethc001,20,BBX,53/G56
play,5,0,lowen001,22,CBBFX,7/F7
play,5,0,calhk001,11,BSX,S7/L78
play,5,0,garca005,00,H,HP.1-2
play,5,0,calhw001,12,CFBX,46(1)/FO/G34/DP.2XH(635);B-1
com,"$Rangers challenged (tag play), call on the field was upheld."
play,5,1,piscs001,32,CBSBBX,3/G34
play,5,1,andre001,32,BSBBFS,K
play,5,1,lopec001,30,BBBB,W
play,5,1,pachc001,00,X,S8/G6M.1-2
play,5,1,allen002,01,CX,8/F89D
play,6,0,ibana001,22,BBSSS,K
play,6,0,millb002,00,X,9/F9D+
play,6,0,semim001,11,BFX,8/F8D
play,6,1,kempt001,12,BFCX,9/F89D
play,6,1,neuss001,12,SSBX,63/G56
play,6,1,murps001,32,BBBCCS,K
play,7,0,seagc001,00,X,43/G34
play,7,0,garvm001,22,CBBFT,K
play,7,0,lowen001,00,X,3/G3
play,7,1,bethc001,00,,NP
sub,burkb001,"Brock Burke",0,0,1
play,7,1,bethc001,02,.FFFFFFC,K
play,7,1,piscs001,01,FX,D8/L78
play,7,1,andre001,30,BBBB,W
play,7,1,lopec001,12,FFFBX,3/P34
play,7,1,pachc001,00,X,63/G6
play,8,0,calhk001,11,BCX,43/G34D
play,8,0,garca005,00,X,S9/G4
play,8,0,calhw001,32,11CBBF1B>X,S9/G34.1-3
play,8,0,ibana001,00,,NP
sub,heimj001,"Jonah Heim",0,9,11
play,8,0,heimj001,00,.,NP
sub,acevd001,"Domingo Acevedo",1,0,1
play,8,0,heimj001,00,..,NP
sub,white006,"Eli White",0,8,12
play,8,0,heimj001,00,...>X,3/G3.1-2
play,8,0,millb002,11,BSX,S7/L7LS.3-H;2-H;B-2
com,"$Umpire reviewed (home-plate collision), call on the field was overturned."
play,8,0,semim001,10,B>C,SB3
play,8,0,semim001,11,B>C.X,9/F89D
play,8,1,allen002,00,.,NP
sub,culbc001,"Charlie Culberson",0,9,5
play,8,1,allen002,00,..,NP
sub,martb002,"Brett Martin",0,0,1
com,"ej,kotsm001,M,knigb901,Call at HP (reversed)"
com,"$Athletics manager Mark Kotsay ejected by HP umpire Brian Knight"
com,"for arguing the overturning of the out call at HP due to catcher"
com,"Murphy deemed to have blocked the plate before he had possession"
com,"of the ball"
play,8,1,allen002,02,....CS*S,K.BX1(23)
play,8,1,kempt001,00,X,3/G3
play,8,1,neuss001,01,CX,13/G1S
play,9,0,seagc001,00,,NP
sub,sneak001,"Kirby Snead",1,0,1
play,9,0,seagc001,02,.SCX,7/L7S
play,9,0,garvm001,10,BX,S9/F9LS
play,9,0,lowen001,11,CB1,POCS2(136)
play,9,0,lowen001,12,CB1.CC,K
play,9,1,murps001,00,,NP
sub,bushm001,"Matt Bush",0,0,1
play,9,1,murps001,12,.SSBS,K
play,9,1,bethc001,00,,NP
sub,mckib001,"Billy McKinney",1,4,11
play,9,1,mckib001,12,.BCSFX,8/F78S
play,9,1,piscs001,12,CTFBFX,53/G56
data,er,martb002,0
data,er,bushm001,0
data,er,burkb001,0
data,er,perem004,0
data,er,sneak001,0
data,er,montf001,2
data,er,acevd001,0
id,OAK202204290
version,2
info,visteam,CLE
info,hometeam,OAK
info,site,OAK01
info,date,2022/04/29
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gibsg901
info,ump1b,mahrn901
info,ump2b,drakr901
info,ump3b,littw901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/10/03 09:01:03
info,howscored,unknown
info,pitches,pitches
info,oscorer,younj701
info,temp,66
info,winddir,torf
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,201
info,attendance,12910
info,wp,stept002
info,lp,acevd001
info,save,clase001
start,stram002,"Myles Straw",0,1,8
start,millo002,"Owen Miller",0,2,3
start,ramij003,"Jose Ramirez",0,3,5
start,naylj001,"Josh Naylor",0,4,9
start,reyef001,"Franmil Reyes",0,5,10
start,gimea001,"Andres Gimenez",0,6,6
start,cleme002,"Ernie Clement",0,7,4
start,palar002,"Richie Palacios",0,8,7
start,hedga001,"Austin Hedges",0,9,2
start,civaa001,"Aaron Civale",0,0,1
start,kempt001,"Tony Kemp",1,1,4
start,neuss001,"Sheldon Neuse",1,2,5
start,lowrj001,"Jed Lowrie",1,3,10
start,murps001,"Sean Murphy",1,4,2
start,brows003,"Seth Brown",1,5,3
start,pindc001,"Chad Pinder",1,6,7
start,mckib001,"Billy McKinney",1,7,9
start,andre001,"Elvis Andrus",1,8,6
start,pachc001,"Cristian Pache",1,9,8
start,montf001,"Frankie Montas",1,0,1
play,1,0,stram002,22,CCBBFC,K.BX1(23)
play,1,0,millo002,22,CBSBC,K
play,1,0,ramij003,11,CBX,HR/F9D
play,1,0,naylj001,00,X,S9/L9L
play,1,0,reyef001,01,CX,64(1)/FO/G6M.B-1
play,1,1,kempt001,11,BFX,D9/L9LD
play,1,1,neuss001,22,CB*BFS,K
play,1,1,lowrj001,32,FBFFFFFFBB*B,W
play,1,1,murps001,00,X,HR/F89XD.2-H;1-H
play,1,1,brows003,11,SBX,S9/L9
play,1,1,pindc001,01,CX,S8/L8XD+.1-3
play,1,1,mckib001,22,*BCBCX,8/SF/F8XD.3-H
play,1,1,andre001,01,CX,4/P34
play,2,0,gimea001,21,BLBX,D8/L89XD
play,2,0,cleme002,10,*B2X,63/G6
play,2,0,palar002,32,BBCFBFB,W
play,2,0,hedga001,01,TX,54(1)3/GDP/G5
play,2,1,pachc001,20,BBX,63/G6
play,2,1,kempt001,22,CBCFBFT,K
play,2,1,neuss001,01,CX,S8/L8
play,2,1,lowrj001,01,F1X,8/F8D
play,3,0,stram002,12,CCBFFFX,S9/L9S
play,3,0,millo002,32,1SF*B1B*B>B,W.1-2
play,3,0,ramij003,32,*BBFF*BFB,W.2-3;1-2
play,3,0,naylj001,00,X,7/F7LS
play,3,0,reyef001,12,BTFS,K
play,3,0,gimea001,32,BBSBC>F>X,HR/F9D.3-H;2-H;1-H
play,3,0,cleme002,12,BCCFC,K
play,3,1,murps001,11,CBX,3/P3F/FL
play,3,1,brows003,22,BSBSX,8/F8D
play,3,1,pindc001,32,CBBCFBS,K
play,4,0,palar002,12,BFFC,K
play,4,0,hedga001,32,CBFBBX,53/G5
play,4,0,stram002,02,CSX,9/L9
play,4,1,mckib001,32,CSBBBFFX,43/G34D
play,4,1,andre001,10,BH,HP
play,4,1,pachc001,10,B+1X,S8/G6M.1-3
play,4,1,kempt001,10,BX,7/SF/F7LF/FL.3-H;1-2
play,4,1,neuss001,01,FX,S7/G6M.2-H
