id,LAN202204180
version,2
info,visteam,ATL
info,hometeam,LAN
info,site,LOS03
info,date,2022/04/18
info,number,0
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,segac901
info,ump1b,fleta901
info,ump2b,ramoc901
info,ump3b,morag901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:16
info,howscored,unknown
info,pitches,pitches
info,oscorer,dagod701
info,temp,65
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,194
info,attendance,52052
info,wp,kersc001
info,lp,ynoah001
info,save,kimbc001
start,albio001,"Ozzie Albies",0,1,4
start,olsom001,"Matt Olson",0,2,3
start,rilea001,"Austin Riley",0,3,5
start,ozunm001,"Marcell Ozuna",0,4,10
start,duvaa001,"Adam Duvall",0,5,8
start,darnt001,"Travis d'Arnaud",0,6,2
start,arcio002,"Orlando Arcia",0,7,7
start,hereg002,"Guillermo Heredia",0,8,9
play,2,0,alfaj002,12,CB*SC,K
play,2,0,kim-h002,02,CS1S,K
play,2,0,grist001,11,F*BX,3/G34S-
play,2,1,barna001,10,BX,8/L8XD+
play,2,1,lux-g001,22,BFFBS,K
play,2,1,bettm001,32,BCSBFFBB,W
play,2,1,turnt001,11,SBX,S9/L89.1-2
play,2,1,freef001,10,BX,36(1)/FO/G34.B-1
play,3,0,azocj001,01,CX,DGR/F89XD+
play,3,0,profj001,11,LBX,43/G4.2-3
play,3,0,machm001,12,FBFX,FC/G6S.3XH(62);B-1
play,3,0,cronj001,12,F1S*BFFFX,8/L89D
play,3,1,smitw003,20,BBX,S3/P13
play,3,1,muncm001,02,CCS,K
play,3,1,turnj001,11,BFX,9/F89
play,3,1,thomt002,12,*SFF*BX,8/F8XD+
play,4,0,voitl001,12,CBS*S,K
play,4,0,hosme001,02,SFX,5/P4
play,4,0,alfaj002,12,CFB*S,K
play,4,1,barna001,11,BCX,8/F8
play,4,1,lux-g001,12,CFBX,53/G6
play,4,1,bettm001,30,BBBB,W
play,4,1,turnt001,12,1SBSH,HP.1-2
com,"$Padres challenged (hit by pitch), call on the field was upheld."
play,4,1,freef001,00,X,S7/L7.2XH(72);1-2
play,5,0,kim-h002,10,BX,5/L56
play,5,0,grist001,22,CBBSX,53/G4
play,5,0,azocj001,02,CSF*S,K
play,5,1,smitw003,01,CX,7/F78XD
play,5,1,muncm001,01,CX,4/L9S
play,5,1,turnj001,11,CBX,8/F8
play,6,0,profj001,12,CFBX,S8/G6M
play,6,0,machm001,01,FX,3/P3F/FL
play,6,0,cronj001,32,C1FBF*BB>S,K+CS2(24)/DP
play,6,1,thomt002,31,BSBBB,W
play,6,1,barna001,01,LX,9/F89XD
play,6,1,lux-g001,32,BBBCCF1X,46(1)/FO/G34.B-1
play,6,1,bettm001,00,,NP
sub,martn002,"Nick Martinez",0,0,1
play,6,1,bettm001,21,.*BFB1X,54(1)/FO/G56.B-1
play,7,0,voitl001,32,SBCBBFFC,K
play,7,0,hosme001,01,SX,9/F9D
play,7,0,alfaj002,00,X,S9/F9D+
play,7,0,kim-h002,22,BFCBX,7/F78
play,7,1,turnt001,22,BCBSX,8/F8S
play,7,1,freef001,02,CCX,63/G34
play,7,1,smitw003,00,H,HP
play,7,1,muncm001,22,F*SBBC,K
play,8,0,grist001,00,,NP
sub,phile001,"Evan Phillips",1,0,1
play,8,0,grist001,22,.CBBSS,K
play,8,0,azocj001,00,,NP
sub,mazan001,"Nomar Mazara",0,9,11
play,8,0,mazan001,00,.X,53/G6
play,8,0,profj001,01,SX,7/L78
play,8,1,turnj001,00,,NP
sub,mazan001,"Nomar Mazara",0,9,9
play,8,1,turnj001,22,.CBBFX,S4/G4M
play,8,1,thomt002,00,,NP
sub,bellc002,"Cody Bellinger",1,7,11
play,8,1,bellc002,22,.BLBSS,K
play,8,1,barna001,32,CBFF*BB1X,14(1)3/GDP/G13
play,9,0,machm001,00,,NP
sub,bellc002,"Cody Bellinger",1,7,8
play,9,0,machm001,00,.,NP
sub,kimbc001,"Craig Kimbrel",1,0,1
play,9,0,machm001,12,..FSFFBS,K
play,9,0,cronj001,11,FBX,S1/L1S+
play,9,0,voitl001,20,*B1BX,D7/F7LD+.1-H
com,"$Umpire reviewed (home run), call on the field was upheld."
play,9,0,hosme001,00,,NP
sub,abrac001,"C.J. Abrams",0,4,12
play,9,0,hosme001,22,.CBSFBFX,S9/L9L.2-H
play,9,0,alfaj002,00,,NP
sub,almoy001,"Yency Almonte",1,0,1
play,9,0,alfaj002,02,.SFS,K
play,9,0,kim-h002,10,BX,HR/F78XD.1-H
play,9,0,grist001,01,CX,43/G4-
play,9,1,lux-g001,00,.,NP
sub,roget001,"Taylor Rogers",0,0,1
play,9,1,lux-g001,02,..CSS,K
play,9,1,bettm001,01,CX,D9/F89XD
play,9,1,turnt001,01,CX,S7/L78.2-3
play,9,1,freef001,01,SX,9/SF/L89D+.3-H
play,9,1,smitw003,22,1C*SBBFX,43/G4+
data,er,martn002,0
data,er,gorem001,1
data,er,roget001,1
data,er,almoy001,1
data,er,phile001,0
