id,ATL202304100
version,2
info,visteam,CIN
info,hometeam,ATL
info,site,ATL03
info,date,2023/04/10
info,number,0
info,gametype,regular
info,starttime,7:20PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,tumpj901
info,ump1b,blakr901
info,ump2b,hudsm901
info,ump3b,wendh902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:38:56
info,howscored,unknown
info,pitches,pitches
info,oscorer,mustr701
info,temp,65
info,winddir,ltor
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,167
info,attendance,30237
info,wp,lee-d005
info,lp,law-d001
info,save,
start,indij001,"Jonathan India",0,1,4
start,friet001,"TJ Friedl",0,2,8
start,fralj001,"Jake Fraley",0,3,9
start,stept001,"Tyler Stephenson",0,4,2
start,myerw001,"Wil Myers",0,5,10
start,voslj001,"Jason Vosler",0,6,3
start,stees001,"Spencer Steer",0,7,5
start,bensw001,"Will Benson",0,8,7
play,7,0,hampg001,11,BFX,43/G4
play,7,0,chisj001,20,BBX,7/F7LS
play,7,0,coopg002,32,CFBFBFBB,W
play,7,0,solej001,00,X,53/G56
play,7,1,ozunm001,10,BX,4/P4
play,7,1,hills005,32,CSBBBX,3/G3
play,7,1,acunr001,32,FBBCFBX,63/G56
play,8,0,arral001,01,FX,7/F7S
play,8,0,garca003,01,FX,9/F89XD+
play,8,0,sancj003,02,CTFS,K
play,8,1,olsom001,00,,NP
sub,flord002,"Dylan Floro",0,0,1
play,8,1,olsom001,11,.BFX,HR/F9D
play,8,1,rilea001,00,X,3/G34
play,8,1,murps001,11,CBX,S5/G5
play,8,1,rosae001,00,,NP
sub,solan001,"Nick Solak",1,4,12
play,8,1,rosae001,32,.B1FFBB1>X,T9/G3.1-H
play,8,1,albio001,30,BBVV,IW
play,8,1,grisv001,00,>X,S9/G4.3-H;1-3
play,8,1,ozunm001,11,*BC>X,FC1/G1.3-H(E1/TH)(NR)(UR);1-3;B-2
play,8,1,hills005,00,,NP
sub,narda001,"Andrew Nardi",0,0,1
play,8,1,hills005,32,.BBBSSS,K
play,8,1,acunr001,30,VVVV,IW
play,8,1,olsom001,32,CSBFBFB>S,K
play,9,0,bertj001,00,,NP
sub,tromc001,"Chadwick Tromp",1,4,2
play,9,0,bertj001,00,.,NP
sub,minta001,"A.J. Minter",1,0,1
play,9,0,bertj001,22,..CBFBFFT,K
play,9,0,stalj001,00,,NP
sub,seguj002,"Jean Segura",0,8,11
play,9,0,seguj002,00,.X,9/F89S
play,9,0,hampg001,12,CC.BS,K
data,er,alcas001,2
data,er,brazh001,0
data,er,flord002,3
data,er,narda001,0
data,er,tonkm001,0
data,er,minta001,0
data,er,eldeb001,4
id,ATL202305070
version,2
info,visteam,BAL
info,hometeam,ATL
info,site,ATL03
info,date,2023/05/07
info,number,0
info,gametype,regular
info,starttime,11:35AM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,wegnm901
info,ump1b,drecb901
info,ump2b,sches901
info,ump3b,moorm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:26
info,howscored,unknown
info,pitches,pitches
info,oscorer,curtg701
info,temp,73
info,winddir,fromrf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,209
info,attendance,40800
info,wp,tonkm001
info,lp,perec004
info,save,
start,mullc002,"Cedric Mullins",0,1,8
start,santa003,"Anthony Santander",0,2,10
start,mounr001,"Ryan Mountcastle",0,3,3
start,hendg002,"Gunnar Henderson",0,4,6
start,haysa001,"Austin Hays",0,5,7
start,fraza001,"Adam Frazier",0,6,4
start,uriar001,"Ramon Urias",0,7,5
start,stowk001,"Kyle Stowers",0,8,9
start,mccaj001,"James McCann",0,9,2
start,wellt003,"Tyler Wells",0,0,1
start,acunr001,"Ronald Acuna Jr.",1,1,9
start,olsom001,"Matt Olson",1,2,3
start,rilea001,"Austin Riley",1,3,5
start,albio001,"Ozzie Albies",1,4,4
start,rosae001,"Eddie Rosario",1,5,7
start,ozunm001,"Marcell Ozuna",1,6,10
start,harrm004,"Michael Harris II",1,7,8
start,arcio002,"Orlando Arcia",1,8,6
start,tromc001,"Chadwick Tromp",1,9,2
start,eldeb001,"Bryce Elder",1,0,1
play,1,0,mullc002,30,BBBB,W
play,1,0,santa003,01,CX,8/F8
play,1,0,mounr001,00,1X,64(1)3/GDP/G6
play,1,1,acunr001,10,BX,63/G6MS
play,1,1,olsom001,31,BSBBX,HR/F78XD
play,1,1,rilea001,22,CBSFBS,K
play,1,1,albio001,20,BBX,8/F78
play,2,0,hendg002,22,BFBS.X,63/G6M
play,2,0,haysa001,02,CCS,K
play,2,0,fraza001,30,BBBB,W
play,2,0,uriar001,22,1BCSBFF1.X,13/G1S
play,2,1,rosae001,32,BCBBCFS,K
play,2,1,ozunm001,21,.BFBX,E5/TH/G5.B-1
play,2,1,harrm004,31,BBFBX,5/P6S
play,2,1,arcio002,12,FSBS,K
play,3,0,stowk001,32,BCBFBS,K
play,3,0,mccaj001,12,FCBFX,E5/TH/G5.B-1
play,3,0,mullc002,22,C*BF*BX,D9/L9L.1-3
play,3,0,santa003,22,SF*BBH,HP
play,3,0,mounr001,22,*BFT*BC,K
play,3,0,hendg002,12,C*BSS,K
play,3,1,tromc001,22,CBFBFX,7/F78D
play,3,1,acunr001,12,BSCFX,43/G4MD
play,3,1,olsom001,32,CBBFBFX,7/F78XD
play,4,0,haysa001,21,BSBX,S4/G4M
play,4,0,fraza001,11,BF1X,D9/L9LD.1-3
play,4,0,uriar001,00,X,63/G6.3-H
play,4,0,stowk001,11,BFX,5/P5F/FL
play,4,0,mccaj001,00,X,63/G6D
play,4,1,rilea001,21,BSBX,53/G6
play,4,1,albio001,10,BX,4/P9S
play,4,1,rosae001,22,BBFCX,S9/L34D+
play,4,1,ozunm001,32,CF1BB1*B>B,W.1-2
play,4,1,harrm004,00,X,8/F1S+
play,5,0,mullc002,00,X,8/L8D
play,5,0,santa003,00,X,S34/G3
play,5,0,mounr001,21,*BBFX,9/L89D
play,5,0,hendg002,21,*BBCX,13/G2-
play,5,1,arcio002,32,CFBBBX,D9/L89D+
play,5,1,tromc001,32,BBSFBFS,K
play,5,1,acunr001,21,BFBX,9/F9.2-3
play,5,1,olsom001,32,FBFBFBX,31/G3
play,6,0,haysa001,32,CF.BBBB,W
play,6,0,fraza001,10,BX,46(1)/FO/G4.B-1
play,6,0,uriar001,32,1BCB>FFB>F>F>F*B,W.1-2
play,6,0,stowk001,00,,NP
sub,mchuc001,"Collin McHugh",1,0,1
play,6,0,stowk001,02,.FS.S,K
play,6,0,mccaj001,00,,NP
sub,rutsa001,"Adley Rutschman",0,9,11
play,6,0,rutsa001,31,.BBC*BB,W.2-3;1-2
play,6,0,mullc002,32,FBBFB>S,K
play,6,1,rilea001,00,,NP
sub,rutsa001,"Adley Rutschman",0,9,2
play,6,1,rilea001,00,.,NP
sub,votha001,"Austin Voth",0,0,1
play,6,1,rilea001,32,..BCBFBX,9/F9S
play,6,1,albio001,22,BCBFS,K
play,6,1,rosae001,22,BCBSX,43/G34
play,7,0,santa003,12,CS.BX,3/P3F/FL
play,7,0,mounr001,11,FBX,63/G6
play,7,0,hendg002,22,BCBF*S,K
play,7,1,ozunm001,02,CCX,31/G34
play,7,1,harrm004,22,CBBCX,8/F78D
play,7,1,arcio002,22,CBSBS,K
play,8,0,haysa001,12,CFBX,13/G13
play,8,0,fraza001,00,,NP
sub,lee-d005,"Dylan Lee",1,0,1
play,8,0,fraza001,01,.CX,6/P56D
play,8,0,uriar001,02,CSX,53/G5
play,8,1,tromc001,00,,NP
sub,canoy001,"Yennier Cano",0,0,1
