id,SDN202206220
version,2
info,visteam,ARI
info,hometeam,SDN
info,site,SAN02
info,date,2022/06/22
info,number,0
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drakr901
info,ump1b,littw901
info,ump2b,johna901
info,ump3b,bacoj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:30
info,howscored,unknown
info,pitches,pitches
info,oscorer,womab701
info,temp,75
info,winddir,ltor
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,213
info,attendance,31024
info,wp,morea001
info,lp,bumgm001
info,save,martn002
start,varsd001,"Daulton Varsho",0,1,9
start,thoma004,"Alek Thomas",0,2,8
start,rojaj001,"Josh Rojas",0,3,5
start,walkc002,"Christian Walker",0,4,10
start,smitp002,"Pavin Smith",0,5,3
start,luplj001,"Jordan Luplow",0,6,7
start,perdg001,"Geraldo Perdomo",0,7,6
start,hagej001,"Jake Hager",0,8,4
play,4,1,machm001,21,FBBX,8/F78XD+.2-3
play,4,1,voitl001,01,FX,9/F9D
play,5,0,perdg001,01,CX,43/G34
play,5,0,rojaj001,22,CCBBFX,8/F8XD+
play,5,0,thoma004,21,BFBX,3/L3
play,5,1,kim-h002,22,CBFBX,63/G6D
play,5,1,hosme001,02,STX,4/L4MD
play,5,1,nolaa002,11,BFX,S8/L89S
play,5,1,mazan001,12,CBCFF>B,SB2
play,5,1,mazan001,22,CBCFF>B.FX,8/L8
play,6,0,martk001,00,X,9/F9LD
play,6,0,walkc002,22,CCBBT,K
play,6,0,perad001,00,X,S9/L9+
play,6,0,varsd001,32,FBS*B1B>*B,W.1-2
play,6,0,kellc002,12,BCTFX,8/F8XD
play,6,1,ruize001,00,,NP
sub,nelsk001,"Kyle Nelson",0,0,1
play,6,1,ruize001,32,.BFFBBFX,3/P4D-
play,6,1,profj001,31,CBBBX,7/L7D
play,6,1,cronj001,00,X,7/F7
play,7,0,alcas002,22,CBCBFX,31/G34
play,7,0,perdg001,31,BFBBX,43/G34D
play,7,0,rojaj001,02,FCS,K
play,7,1,machm001,00,,NP
sub,weavl001,"Luke Weaver",0,0,1
play,7,1,machm001,11,.SBX,8/L8XD+
play,7,1,voitl001,22,FFFBFFBX,9/L9D
play,7,1,kim-h002,22,CFBBFFX,63/G6
play,8,0,thoma004,00,,NP
sub,grist001,"Trent Grisham",1,8,8
play,8,0,thoma004,00,.,NP
sub,ruize001,"Esteury Ruiz",1,9,9
play,8,0,thoma004,00,..,NP
