id,ARI202204070
version,2
info,visteam,SDN
info,hometeam,ARI
info,site,PHO01
info,date,2022/04/07
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,vanol901
info,ump1b,belld901
info,ump2b,barbs901
info,ump3b,valej901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,black701
info,temp,93
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,198
info,attendance,35508
info,wp,mantj002
info,lp,suarr002
info,save,
start,nolaa002,"Austin Nola",0,1,2
start,machm001,"Manny Machado",0,2,5
start,cronj001,"Jake Cronenworth",0,3,4
start,voitl001,"Luke Voit",0,4,10
start,myerw001,"Wil Myers",0,5,9
start,hosme001,"Eric Hosmer",0,6,3
start,profj001,"Jurickson Profar",0,7,7
start,kim-h002,"Ha-Seong Kim",0,8,6
start,varsd001,"Daulton Varsho",1,1,8
start,martk001,"Ketel Marte",1,2,4
start,perad001,"David Peralta",1,3,7
start,walkc002,"Christian Walker",1,4,3
start,smitp002,"Pavin Smith",1,5,9
start,beers001,"Seth Beer",1,6,10
start,alcas002,"Sergio Alcantara",1,7,5
start,perdg001,"Geraldo Perdomo",1,8,6
start,herrj003,"Jose Herrera",1,9,2
start,bumgm001,"Madison Bumgarner",1,0,1
play,1,0,altuj001,01,FX,E5/G7L.B-2
play,1,0,branm003,21,BSBX,8/L8D+.2-3
play,1,0,brega001,31,BCBBB,W
play,1,0,gurry001,00,X,5/P5DF/FL
play,1,0,tuckk001,22,FSBBX,8/L8D+
play,1,1,varsd001,32,BBBCSFC,K
play,1,1,martk001,32,CBBFFFBB,W
play,1,1,perad001,21,FB1BX,2/P2F/FL
play,1,1,walkc002,31,1BBSBX,8/F78XD
play,2,0,diaza003,21,FBBX,3/P34S
play,2,0,penaj004,22,BCFBX,9/L9D
play,2,0,castj006,00,X,7/F78
play,2,1,smitp002,21,CBBX,9/L89D+
play,2,1,beers001,10,BX,8/F89D
play,2,1,alcas002,32,CBFBFFBX,43/G34
play,3,0,sirij001,32,BBBCSC,K
play,3,0,altuj001,11,BCX,2/BP2F-/FL
play,3,0,branm003,12,BCCX,8/F1S
play,3,1,perdg001,21,BCBX,7/F7L
play,3,1,herrj003,12,BCFX,63/G4
play,3,1,varsd001,10,BX,S9/L9+
play,3,1,martk001,11,BCX,8/F78XD+
play,4,0,brega001,01,CX,S7/L56D
play,4,0,gurry001,10,B1X,9/L9D
play,4,0,tuckk001,11,BFX,9/F89XD
play,4,0,diaza003,02,CFFX,S67/G56.1-2
play,4,0,penaj004,01,CX,64(1)/FO/G6D.B-1
play,4,1,perad001,02,CSX,D9/G3
play,4,1,walkc002,12,BFFX,9/L9
play,4,1,smitp002,10,BX,5/P5
play,4,1,beers001,32,BBSFF*B*B,W
play,4,1,alcas002,12,CBCX,7/F7LSF/FL
play,5,0,castj006,22,FTFBBX,7/L7
play,5,0,sirij001,10,BX,HR/F78XD
play,5,0,altuj001,00,X,7/F7
play,5,0,branm003,11,BCX,S8/L8
play,5,0,brega001,12,BSCFS,K
play,5,1,perdg001,00,,NP
sub,abreb002,"Bryan Abreu",0,0,1
play,5,1,perdg001,31,.BFBBX,6/P89S
play,5,1,herrj003,02,CCS,K
play,5,1,varsd001,31,BSBBB,W
play,5,1,martk001,01,CX,63/G4
play,6,0,gurry001,20,BBX,D8/L78XD
play,6,0,tuckk001,30,BBB*B,W
play,6,0,diaza003,00,,NP
sub,ramin002,"Noe Ramirez",1,0,1
play,6,0,diaza003,00,.X,2/BP2F-/FL
play,6,0,penaj004,10,BX,64(1)3/GDP/G6
play,6,1,perad001,10,BX,8/F78XD
play,6,1,walkc002,00,X,HR/F7LD
play,6,1,smitp002,00,,NP
sub,taylb004,"Blake Taylor",0,0,1
play,6,1,smitp002,31,.BCBBB,W
play,6,1,beers001,00,B,WP.1-2
play,6,1,beers001,20,B.BX,7/L7LD
play,6,1,alcas002,00,,NP
sub,hummc001,"Cooper Hummel",1,7,11
play,6,1,hummc001,10,.*BB,WP.2-3
play,6,1,hummc001,21,.*BB.CX,63/G6
play,7,0,castj006,00,,NP
sub,herny003,"Yonny Hernandez",1,7,5
play,7,0,castj006,00,.,NP
sub,wendj001,"J.B. Wendelken",1,0,1
play,7,0,castj006,32,..BCFBBB,W
play,7,0,sirij001,11,C1BX,64(1)/FO/G6.B-1
play,7,0,altuj001,12,1BC1CF>F>B,CS2(24)
play,7,0,altuj001,32,1BC1CF>F>B.BFB,W
play,7,0,branm003,00,,NP
sub,mantj002,"Joe Mantiply",1,0,1
play,7,0,branm003,01,.FX,S8/G4M.1-2
play,7,0,brega001,01,FX,64(1)/FO/G6.B-1
play,7,1,perdg001,00,,NP
sub,matop002,"Phil Maton",0,0,1
play,7,1,perdg001,32,.BCFFBBFS,K
play,7,1,herrj003,31,BCBBB,W
play,7,1,varsd001,22,BFSBFFT,K
play,7,1,martk001,12,*BFFX,43/G34
play,8,0,gurry001,00,,NP
sub,kenni001,"Ian Kennedy",1,0,1
play,8,0,gurry001,01,.CX,9/F9LS
play,8,0,tuckk001,21,BBCX,7/F7L
play,8,0,diaza003,21,CBBX,53/G5
play,8,1,perad001,00,,NP
sub,nerih001,"Hector Neris",0,0,1
play,8,1,perad001,02,.CSFS,K
play,8,1,walkc002,32,BSBCBC,K
play,8,1,smitp002,01,CX,7/F7LD
