id,TBA202304010
version,2
info,visteam,DET
info,hometeam,TBA
info,site,STP01
info,date,2023/04/01
info,number,0
info,gametype,regular
info,starttime,4:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carav901
info,ump1b,mahrn901
info,ump2b,hamaa901
info,ump3b,laynj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/23 20:30:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,dabrj701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,168
info,attendance,20204
info,wp,efliz001
info,lp,turns003
info,save,
start,maton001,"Nick Maton",0,1,5
start,greer003,"Riley Greene",0,2,8
start,baezj001,"Javier Baez",0,3,6
start,carpk001,"Kerry Carpenter",0,4,9
start,meada001,"Austin Meadows",0,5,7
start,torks001,"Spencer Torkelson",0,6,3
start,cabrm001,"Miguel Cabrera",0,7,10
start,mckiz001,"Zach McKinstry",0,8,4
info,wp,efliz001
info,lp,gioll001
info,save,fairp001
start,robel002,"Luis Robert Jr.",0,1,8
start,benia002,"Andrew Benintendi",0,2,7
start,vauga001,"Andrew Vaughn",0,3,3
start,jimee001,"Eloy Jimenez",0,4,10
start,sheeg001,"Gavin Sheets",0,5,9
start,burgj001,"Jake Burger",0,6,5
start,andre001,"Elvis Andrus",0,7,6
start,zavas001,"Seby Zavala",0,8,2
start,sosal001,"Lenyn Sosa",0,9,4
start,gioll001,"Lucas Giolito",0,0,1
start,diazy001,"Yandy Diaz",1,1,3
start,franw002,"Wander Franco",1,2,6
start,arozr001,"Randy Arozarena",1,3,7
start,loweb001,"Brandon Lowe",1,4,4
start,ramih004,"Harold Ramirez",1,5,10
start,parei001,"Isaac Paredes",1,6,5
start,ralel001,"Luke Raley",1,7,9
start,bethc001,"Christian Bethancourt",1,8,2
start,margm001,"Manuel Margot",1,9,8
start,efliz001,"Zach Eflin",1,0,1
play,1,0,robel002,02,FCX,S84/L8S
play,1,0,benia002,01,FX,9/F9LD
play,1,0,vauga001,00,>B,SB2.1-3(E2/TH)
play,1,0,vauga001,22,>B.CBCX,53/G56S
play,1,0,jimee001,22,BFFBS,K
play,1,1,diazy001,01,FX,8/F8D
play,1,1,franw002,12,BFSX,D9/L9D+
play,1,1,arozr001,32,S*BSBBB,W
play,1,1,loweb001,21,C*BBX,4/P4
play,1,1,ramih004,12,*BCSFFS,K
play,2,0,sheeg001,12,BFSFC,K
play,2,0,burgj001,12,BCCX,53/G5
play,2,0,andre001,22,CBSBX,63/G56
play,2,1,parei001,00,H,HP
play,2,1,ralel001,00,X,HR/F9D.1-H
play,2,1,bethc001,10,.BX,D7/L7LD+
play,2,1,margm001,31,BFB*BX,8/L89XD.2-3
play,2,1,diazy001,10,BX,53/G56.3-H
play,2,1,franw002,32,BBCBFFX,7/F7S
play,3,0,zavas001,11,CBX,63/G6
