id,CIN202306020
version,2
info,visteam,MIL
info,hometeam,CIN
info,site,CIN09
info,date,2023/06/02
info,number,0
info,gametype,regular
info,starttime,5:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,reybd901
info,ump1b,libkj901
info,ump2b,vondc901
info,ump3b,hoyej901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,sherb701
info,temp,92
info,winddir,fromlf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,211
info,attendance,44073
info,wp,pegue001
info,lp,cruzf002
info,save,wilsb003
start,ruf-d001,"Darin Ruf",0,1,3
start,millo002,"Owen Miller",0,2,4
start,contw002,"William Contreras",0,3,10
start,yelic001,"Christian Yelich",0,4,7
start,andeb006,"Brian Anderson",0,5,9
start,monaa001,"Andruw Monasterio",0,6,6
start,wiemj001,"Joey Wiemer",0,7,8
start,carav001,"Victor Caratini",0,8,2
play,1,1,delae003,01,FS,WP.1-2
play,1,1,delae003,02,FS.*S,K
play,2,0,carav001,31,FBBB.*B,W
play,2,0,monaa001,02,CSX,46(1)3/GDP/G4
play,2,0,turab002,01,CX,31/G3
play,2,1,indij001,12,BCCS,K
play,2,1,vottj001,32,SBSBBT,K
play,2,1,stees001,30,BBBB,W
play,2,1,stept001,10,BX,64(1)/FO/G6.B-1
play,3,0,taylt002,00,X,9/F9S
play,3,0,wiemj001,30,BBBB,W
play,3,0,yelic001,10,1BX,3/G3.1-2
play,3,0,contw002,31,*BBTB+2X,S7/G56.2XH(72)
play,3,1,bensw001,32,BSBCBFS,K
play,3,1,friet001,20,BBX,S8/F8S
play,3,1,mclam001,22,1F1S*BFBC,K
play,3,1,fralj001,12,FFBH,HP.1-2
play,3,1,delae003,12,BFC*S,K
play,4,0,adamw002,01,CX,4/P4M
play,4,0,millo002,10,BX,63/G6
play,4,0,carav001,21,.BSBX,6/L6MD
play,4,1,indij001,00,X,4/P4D
play,4,1,vottj001,22,CBSBFX,63/G6
play,4,1,stees001,12,BSFS,K
play,5,0,monaa001,12,BSFX,53/G56
play,5,0,turab002,22,BBCCFX,8/F8XD
play,5,0,taylt002,11,CBX,7/L7D
play,5,1,stept001,02,CS.C,K
play,5,1,bensw001,21,BCBX,S8/L8+
play,5,1,friet001,12,FBFC,K
play,5,1,mclam001,32,C>F*B*BB>X,6/P56D
play,6,0,wiemj001,02,CS.FX,S7/G56
play,6,0,yelic001,12,F1FBS,K
play,6,0,contw002,11,C*BX,46(1)3/GDP/G4
play,6,1,fralj001,12,STBS,K
play,6,1,delae003,22,BCBFFF*S,K.BX1(23)
play,6,1,indij001,12,CBCS,K
play,7,0,adamw002,02,FFX,D8/L8XD+
play,7,0,millo002,22,BBSFFX,S9/L9S.2-3
play,7,0,carav001,00,,NP
sub,simsl001,"Lucas Sims",1,0,1
play,7,0,carav001,21,.BBC>B,SB2
play,7,0,carav001,31,.BBC>B.X,S8/L8S.3-H;2-3
play,7,0,monaa001,12,CBCT,K
play,7,0,turab002,22,SSBBFS,K
play,7,0,taylt002,00,,NP
sub,winkj002,"Jesse Winker",0,8,11
play,7,0,winkj002,31,.BFBBB,W.1-2
play,7,0,wiemj001,00,,NP
sub,perkb002,"Blake Perkins",0,8,12
play,7,0,wiemj001,00,.X,3/P34
play,7,1,vottj001,00,,NP
sub,perkb002,"Blake Perkins",0,8,9
play,7,1,vottj001,00,.,NP
sub,pegue001,"Elvis Peguero",0,0,1
play,7,1,vottj001,12,..SBC.FX,43/G34D
play,7,1,stees001,21,BBCX,63/G6D
play,7,1,stept001,12,CFBS,K
play,8,0,yelic001,00,,NP
