id,NYA202305140
version,2
info,visteam,TBA
info,hometeam,NYA
info,site,NYC21
info,date,2023/05/14
info,number,0
info,gametype,regular
info,starttime,1:35PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,muchm901
info,ump1b,porta901
info,ump2b,tomln901
info,ump3b,barbs901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:23
info,howscored,unknown
info,pitches,pitches
info,oscorer,sprej701
info,temp,68
info,winddir,torf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,171
info,attendance,42116
info,wp,efliz001
info,lp,schmc002
info,save,adamj002
start,diazy001,"Yandy Diaz",0,1,3
start,franw002,"Wander Franco",0,2,6
start,loweb001,"Brandon Lowe",0,3,4
start,arozr001,"Randy Arozarena",0,4,7
start,lowej002,"Josh Lowe",0,5,9
start,wallt003,"Taylor Walls",0,6,5
start,ralel001,"Luke Raley",0,7,10
start,bethc001,"Christian Bethancourt",0,8,2
play,7,1,torrg001,00,.,NP
sub,kellk004,"Kevin Kelly",0,0,1
play,7,1,torrg001,12,..CCFBX,S8/G6M.1-2
play,7,1,judga001,21,CBBX,S8/G6M.2-H;1-2
play,7,1,rizza001,12,BCT.S,K
play,8,0,bethc001,00,,NP
sub,torrg001,"Gleyber Torres",1,1,4
play,8,0,bethc001,00,.,NP
sub,cabro002,"Oswaldo Cabrera",1,9,7
play,8,0,bethc001,00,..,NP
sub,weber001,"Ryan Weber",1,0,1
play,8,0,bethc001,00,...X,S5/BG56S-
play,8,0,sirij001,00,X,7/L7S
play,8,0,parei001,10,BH,HP.1-2
play,8,0,franw002,01,CX,46(1)3/GDP/G4
play,8,1,lemad001,00,,NP
sub,kellt002,"Trevor Kelley",0,0,1
play,8,1,lemad001,12,.VCFX,S9/L3D
play,8,1,badeh001,02,CFX,54(1)/FO/G5.B-1
play,8,1,calhw001,01,SX,9/L89
play,8,1,volpa001,11,BCX,HR/F7D.1-H
play,8,1,trevj001,22,BCBFX,43/G4
play,9,0,loweb001,00,,NP
sub,marir001,"Ron Marinaccio",1,0,1
play,9,0,loweb001,12,.CF.B*S,K
play,9,0,arozr001,22,BBSFC,K
play,9,0,lowej002,21,BSBX,43/G4
play,9,1,cabro002,00,,NP
sub,adamj002,"Jason Adam",0,0,1
play,9,1,cabro002,10,.BX,43/G34
play,9,1,torrg001,10,BX,7/F78
play,9,1,judga001,00,X,8/F78XD+
data,er,adamj002,0
data,er,kellt002,2
data,er,efliz001,4
data,er,kellk004,0
data,er,pochc001,1
data,er,abrea001,1
data,er,schmc002,7
data,er,weber001,0
data,er,marir001,0
id,NYA202308010
version,2
info,visteam,TBA
info,hometeam,NYA
info,site,NYC21
info,date,2023/08/01
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,wegnm901
info,ump1b,moorm901
info,ump2b,drecb901
info,ump3b,sches901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/06 09:13:06
info,howscored,unknown
info,pitches,pitches
info,oscorer,altmb701
info,temp,78
info,winddir,ltor
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,158
info,attendance,38047
info,wp,efliz001
info,lp,rodoc001
info,save,fairp001
start,diazy001,"Yandy Diaz",0,1,3
start,franw002,"Wander Franco",0,2,6
start,ramih004,"Harold Ramirez",0,3,10
start,arozr001,"Randy Arozarena",0,4,7
start,parei001,"Isaac Paredes",0,5,5
start,loweb001,"Brandon Lowe",0,6,4
start,sirij001,"Jose Siri",0,7,8
start,margm001,"Manuel Margot",0,8,9
start,bethc001,"Christian Bethancourt",0,9,2
start,efliz001,"Zach Eflin",0,0,1
start,bauej001,"Jake Bauers",1,1,9
start,judga001,"Aaron Judge",1,2,10
start,torrg001,"Gleyber Torres",1,3,4
start,rizza001,"Anthony Rizzo",1,4,3
start,lemad001,"DJ LeMahieu",1,5,5
start,kinei001,"Isiah Kiner-Falefa",1,6,7
start,mckib001,"Billy McKinney",1,7,8
start,volpa001,"Anthony Volpe",1,8,6
start,higak001,"Kyle Higashioka",1,9,2
start,rodoc001,"Carlos Rodon",1,0,1
play,1,0,diazy001,22,BBFFFX,7/F78S
play,1,0,franw002,32,BFFBBFFB,W
play,1,0,ramih004,12,1*SC*BF1>FX,54(1)3/GDP/G5S
play,1,1,bauej001,12,FFBFS,K
play,1,1,judga001,11,SBX,S8/L78
play,1,1,torrg001,00,X,64(1)3/GDP/G6
play,2,0,arozr001,22,FFBBFFS,K
play,2,0,parei001,32,BBFCFBB,W
play,2,0,loweb001,32,BBSBSB,W.1-2
play,2,0,sirij001,12,FFBS,K
play,2,0,margm001,11,BCX,DGR/L7LD.2-H;1-3
play,2,0,bethc001,12,BFCFX,7/L7D
play,2,1,rizza001,01,SX,7/F78D
play,2,1,lemad001,01,CX,13/G2
play,2,1,kinei001,32,BCFBFBF.X,S9/G34
play,2,1,mckib001,10,BX,43/G34
play,3,0,diazy001,22,BCSBX,HR/F9D
play,3,0,franw002,12,FCBFC,K
play,3,0,ramih004,01,SX,S7/G56
play,3,0,arozr001,22,BCFBX,HR/F7D.1-H
play,3,0,parei001,02,CFX,7/F78S
play,3,0,loweb001,02,FF.S,K
play,3,1,volpa001,12,CSBC,K
play,3,1,higak001,12,BCFFS,K
play,3,1,bauej001,00,X,3/G1S
play,4,0,sirij001,01,SX,53/G5S
play,4,0,margm001,32,BBCS.FFBFX,8/F89XD
play,4,0,bethc001,31,S.BBBB,W
play,4,0,diazy001,02,FFB,WP.1-2
play,4,0,diazy001,22,FFB.BFS,K
play,4,1,judga001,01,CX,53/G5S
play,4,1,torrg001,02,CSS,K
play,4,1,rizza001,12,BCS.FFX,53/G6S
play,5,0,franw002,00,,NP
sub,hamii001,"Ian Hamilton",1,0,1
play,5,0,franw002,00,.X,S7/G6
play,5,0,ramih004,21,BSBX,13/G1S-.1-2
play,5,0,arozr001,32,CBSB*BB,W
play,5,0,parei001,21,BBFX,7/F7LD
play,5,0,loweb001,21,BSBX,S9/G3.2-H;1-3
play,5,0,sirij001,01,SX,1/G4S-
play,5,1,lemad001,11,BCX,63/G6MS
play,5,1,kinei001,22,BBCFC,K
play,5,1,mckib001,32,CFBFBFBFX,8/L8
play,6,0,margm001,22,BBSSS,K
play,6,0,bethc001,11,BSX,53/G5S
play,6,0,diazy001,32,BSBFBFFB,W
play,6,0,franw002,21,CB*BX,3/G3S
play,6,1,volpa001,12,FFBX,43/G4
play,6,1,higak001,00,X,53/G56
play,6,1,bauej001,10,BX,D8/F78D+
play,6,1,judga001,30,BB*BX,8/F8XD+
play,7,0,ramih004,00,,NP
sub,abrea001,"Albert Abreu",1,0,1
play,7,0,ramih004,32,.SBBBFB,W
play,7,0,arozr001,11,BS1X,8/F8D
play,7,0,parei001,00,1,PO1(13)
play,7,0,parei001,01,1.CX,31/G34
play,7,1,torrg001,00,,NP
sub,armss001,"Shawn Armstrong",0,0,1
play,7,1,torrg001,20,.BBX,9/F9LD
play,7,1,rizza001,20,BBX,3/L34
play,7,1,lemad001,22,SFFBBFC,K
play,8,0,loweb001,00,,NP
sub,ramin003,"Nick Ramirez",1,0,1
play,8,0,loweb001,32,.BBBCSX,43/G34
play,8,0,sirij001,01,FX,9/F89
play,8,0,margm001,02,CS.X,9/F89D
play,8,1,kinei001,32,CBBBCX,3/G34S-
play,8,1,mckib001,01,FX,7/F7D
play,8,1,volpa001,21,BFBX,63/G6
play,9,0,bethc001,21,BSBX,9/F9
play,9,0,diazy001,11,CBX,9/F89D
play,9,0,franw002,00,X,63/G6
play,9,1,higak001,00,,NP
sub,pochc001,"Colin Poche",0,0,1
play,9,1,higak001,12,.CFBFX,63/G6
play,9,1,bauej001,00,,NP
sub,badeh001,"Harrison Bader",1,1,11
play,9,1,badeh001,10,.BX,D78/F78
play,9,1,judga001,00,X,7/F7D+
play,9,1,torrg001,10,BX,D7/L7LD.2-H
play,9,1,rizza001,00,X,S9/L9.2-3
play,9,1,lemad001,12,CBFFX,S5/G56S.3-H;1-3(E5/TH);B-2
play,9,1,kinei001,00,,NP
sub,fairp001,"Pete Fairbanks",0,0,1
play,9,1,kinei001,00,.,NP
sub,stanm004,"Giancarlo Stanton",1,6,11
play,9,1,stanm004,12,..BSSS,K
data,er,armss001,0
data,er,fairp001,0
data,er,efliz001,0
data,er,pochc001,2
data,er,abrea001,0
data,er,rodoc001,4
data,er,hamii001,1
data,er,ramin003,0
