id,MIN202304110
version,2
info,visteam,CHA
info,hometeam,MIN
info,site,MIN04
info,date,2023/04/11
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barbs901
info,ump1b,porta901
info,ump2b,wolfj901
info,ump3b,muchm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/05 09:04:32
info,howscored,unknown
info,pitches,pitches
info,oscorer,johns701
info,temp,78
info,winddir,rtol
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,143
info,attendance,16153
info,wp,jax-g001
info,lp,schoj002
info,save,
start,benia002,"Andrew Benintendi",0,1,7
start,robel002,"Luis Robert Jr.",0,2,8
start,sheeg001,"Gavin Sheets",0,3,10
start,vauga001,"Andrew Vaughn",0,4,3
start,grany001,"Yasmani Grandal",0,5,2
start,burgj001,"Jake Burger",0,6,5
start,colao001,"Oscar Colas",0,7,9
start,gonzr003,"Romy Gonzalez",0,8,4
start,kiria001,"Alex Kirilloff",1,3,3
start,keplm001,"Max Kepler",1,4,9
start,wallm001,"Matt Wallner",1,5,7
start,buxtb001,"Byron Buxton",1,6,10
start,solad001,"Donovan Solano",1,7,5
start,jeffr002,"Ryan Jeffers",1,8,2
start,taylm002,"Michael A. Taylor",1,9,8
start,ryanj002,"Joe Ryan",1,0,1
play,1,0,benia002,00,X,HR/F89XD
play,1,0,andet001,22,FBBFS,K
play,1,0,robel002,12,BSTFFS,K
play,1,0,jimee001,12,CS.BFX,4/P34
play,1,1,corrc001,00,X,8/F78D+
play,1,1,julie001,00,X,S7/L7D+.BX2(7E4)
play,1,1,kiria001,10,BX,HR/F89XD.2-H(UR)
play,1,1,keplm001,01,FX,S4/G4
play,1,1,wallm001,31,BBBC1B,W.1-2
play,1,1,buxtb001,00,X,HR/L78XD.2-H;1-H
play,1,1,solad001,12,CFBC,K
play,1,1,jeffr002,22,BBC.SX,5/P5SF/FL
play,2,0,burgj001,22,BFS.BFS,K
play,2,0,grany001,22,BBCFS,K
play,2,0,sheeg001,11,BCX,8/F89D
play,2,1,taylm002,10,BX,S9/L9
play,2,1,corrc001,01,CX,54(1)3/GDP/G6
play,2,1,julie001,21,BBFX,7/F7LD
play,3,0,remiz001,12,SBCS,K
play,3,0,andre001,00,X,S7/G56+
play,3,0,benia002,00,X,8/F78D
play,3,0,andet001,12,CFBX,53/G6S
play,3,1,kiria001,02,CF*S,K
play,3,1,keplm001,10,BX,8/L8
play,3,1,wallm001,22,SC.BBX,4/P4
play,4,0,robel002,00,X,7/F78D+
play,4,0,jimee001,22,BFFBX,D78/F7D
play,4,0,burgj001,32,BCBBS.S,K
play,4,0,grany001,30,B*BBB,W
play,4,0,sheeg001,22,CBFBX,9/L9D
play,4,1,buxtb001,22,FF.BBX,HR/F7LD
play,4,1,solad001,22,CSBBS,K
play,4,1,jeffr002,11,BSX,HR/F78XD
play,4,1,taylm002,02,FSX,63/G6S
play,4,1,corrc001,11,BFX,8/L8D+
play,5,0,remiz001,32,CSBBBC,K
play,5,0,andre001,31,BBFBX,D7/L78XD+
play,5,0,benia002,00,X,8/F78D
play,5,0,andet001,32,BBBCFX,S9/G34.2-H
play,5,0,robel002,12,S*BFS,K
play,5,1,julie001,32,CFBBB.FB,W
play,5,1,kiria001,11,F1BX,64(1)/FO/G6.B-1
play,5,1,keplm001,01,SX,56(1)3/GDP/G56
play,6,0,jimee001,22,BFC.BX,S8/G6M
play,6,0,burgj001,32,SBFBBC,K
play,6,0,grany001,11,BCX,HR/F9D.1-H
play,6,0,sheeg001,00,X,6/P6M
