id,CHA202304060
version,2
info,visteam,SFN
info,hometeam,CHA
info,site,CHI12
info,date,2023/04/06
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,libkj901
info,ump1b,tomln901
info,ump2b,hoyej901
info,ump3b,reybd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/27 09:05:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,lissr701
info,temp,46
info,winddir,tolf
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,170
info,attendance,18261
info,wp,junij001
info,lp,lynnl001
info,save,
start,wadel001,"LaMonte Wade Jr.",0,1,7
start,florw001,"Wilmer Flores",0,2,3
start,pedej001,"Joc Pederson",0,3,10
start,villd001,"David Villar",0,4,4
start,confm001,"Michael Conforto",0,5,9
start,davij006,"J.D. Davis",0,6,5
start,yastm001,"Mike Yastrzemski",0,7,8
start,estrt001,"Thairo Estrada",0,8,6
play,3,0,zunim001,12,SBSFC,K
play,3,0,stram002,02,CFT,K
play,3,1,albeh001,00,X,S9/L9S
play,3,1,andet001,00,X,8/F8XD
play,3,1,benia002,01,CX,S3/G34.1-2
play,3,1,robel002,02,CFX,9/L9D+.2-3
play,3,1,moncy001,02,CFS,K
play,4,0,kwans001,21,CBBX,8/F78
play,4,0,rosaa003,31,BBBCX,53/G56
play,4,0,naylj001,10,BX,S9/G34
play,4,0,bellj005,12,BCS.X,46(1)/FO/G4.B-1
play,4,1,vauga001,32,SBS.BFBX,8/F89D
play,4,1,sheeg001,12,BCSX,7/F78D
play,4,1,grany001,01,CX,S9/L9LD+
play,4,1,burgj001,01,SX,S8/L8+.1-2
play,4,1,albeh001,01,FX,7/F78
play,5,0,gimea001,00,X,43/G34D
play,5,0,ariag002,01,CX,43/G4
play,5,0,brenw002,01,CX,S9/L89
play,5,0,zunim001,32,C1BSBB>S,K
play,5,1,andet001,31,BBFBX,S7/L78D
play,5,1,benia002,12,FF1*B1X,46(1)3/GDP/G4
play,5,1,robel002,32,BBSBSX,C/E2.B-1
play,5,1,moncy001,00,>X,S9/L89.1-H(UR)
play,5,1,vauga001,11,BCX,S7/L7.1-2
play,5,1,sheeg001,11,BCX,HR/F89XD.2-H;1-H
play,5,1,grany001,11,SBX,S7/G6
play,5,1,burgj001,02,FF.X,HR/F9LD.1-H
play,5,1,albeh001,00,,NP
sub,currx001,"Xzavion Curry",0,0,1
play,5,1,albeh001,11,.BFX,S8/L78D+
play,5,1,andet001,01,FX,64(1)/FO/G6.B-1
play,6,0,stram002,01,CX,T8/L78XD+
play,6,0,kwans001,11,BCX,7/SF/F7.3-H
play,6,0,rosaa003,22,FFFBBF*S,K
play,6,0,naylj001,00,,NP
sub,roccb001,"Brayan Rocchio",0,3,11
play,6,0,roccb001,00,.X,S2/G2-.B-2(E2/TH)
