id,WAS202306020
version,2
info,visteam,PHI
info,hometeam,WAS
info,site,WAS11
info,date,2023/06/02
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,segac901
info,ump1b,may-b901
info,ump2b,walsb901
info,ump3b,buckc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,tritb701
info,temp,90
info,winddir,fromrf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,198
info,attendance,29827
info,wp,finnk001
info,lp,brogc001
info,save,
start,schwk001,"Kyle Schwarber",0,1,7
start,stotb001,"Bryson Stott",0,2,4
start,harpb003,"Bryce Harper",0,3,10
start,castn001,"Nick Castellanos",0,4,9
start,turnt001,"Trea Turner",0,5,6
start,realj001,"J.T. Realmuto",0,6,2
start,marsb002,"Brandon Marsh",0,7,8
start,clemk001,"Kody Clemens",0,8,3
play,7,0,cavej001,31,CBBBX,5/P5F/FL
play,7,1,vargi001,10,BX,13/G1S
play,7,1,ruthb001,32,CBFBFBX,8/F89
play,7,1,abrac001,02,SF*S,K
play,8,0,stubg001,00,,NP
sub,thoml002,"Lane Thomas",1,2,9
play,8,0,stubg001,00,.,NP
sub,garrs003,"Stone Garrett",1,6,7
play,8,0,stubg001,00,..,NP
sub,calla002,"Alex Call",1,9,8
play,8,0,stubg001,00,...,NP
sub,harvh001,"Hunter Harvey",1,0,1
play,8,0,stubg001,01,....CX,S3/BG34S
play,8,0,schwk001,12,C.CBFC,K
play,8,0,turnt001,00,X,54(1)/FO/G6+.B-1
play,8,0,harpb003,00,X,43/G34
play,8,1,thoml002,00,,NP
sub,ortil002,"Luis F. Ortiz",0,0,1
play,8,1,thoml002,32,.BCBBS.X,S5/G56
play,8,1,menej001,10,*BX,S5/G1S.1-2
play,8,1,ruizk001,22,BCBF.X,9/F9.2-3
play,8,1,smitd008,01,FX,54(1)3/GDP/G56
play,9,0,castn001,00,,NP
sub,thomm005,"Mason Thompson",1,0,1
play,9,0,castn001,01,.CX,53/G56S
play,9,0,stotb001,31,BBCBX,S8/G4
play,9,0,bohma001,00,X,9/F9
play,9,0,marsb002,00,>C,DI.1-2
play,9,0,marsb002,32,>C.TBBBFFX,S8/G4.2-H
play,9,0,cavej001,00,,NP
sub,finnk001,"Kyle Finnegan",1,0,1
play,9,0,cavej001,22,.BTFBX,HR/L9D.1-H
play,9,0,stubg001,00,,NP
sub,realj001,"J.T. Realmuto",0,9,11
play,9,0,realj001,12,.BCF*S,K
data,er,wheez001,4
data,er,ortil002,0
data,er,willt002,0
data,er,thomm005,2
data,er,harvh001,0
data,er,weemj001,0
data,er,finnk001,1
