id,MIA202307070
version,2
info,visteam,PHI
info,hometeam,MIA
info,site,MIA02
info,date,2023/07/07
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,guccc901
info,ump1b,tomln901
info,ump2b,mosce901
info,ump3b,addir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/10 07:14:28
info,howscored,unknown
info,pitches,pitches
info,oscorer,jernr701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,141
info,attendance,13850
info,wp,hoffj003
info,lp,puk-a001
info,save,kimbc001
start,schwk001,"Kyle Schwarber",0,1,7
start,turnt001,"Trea Turner",0,2,6
start,castn001,"Nick Castellanos",0,3,9
start,harpb003,"Bryce Harper",0,4,10
start,realj001,"J.T. Realmuto",0,5,2
start,stotb001,"Bryson Stott",0,6,4
start,bohma001,"Alec Bohm",0,7,5
start,halld003,"Darick Hall",0,8,3
play,4,0,castn001,01,SX,S8/G6M.3-H;2-3
play,4,0,stotb001,22,BC*BFX,S7/G5.3-H;1-2
play,4,0,turnt001,00,X,8/F89XD.2-3
play,4,0,sosae001,02,CSFC,K
play,4,0,stubg001,01,C>X,63/G4M
play,4,1,bellj005,30,BBBB,W
play,4,1,chisj001,02,CF*S,K
play,4,1,garca003,12,BSS.C,K
play,4,1,burgj001,31,BBB1SX,8/F8
play,5,0,rojaj003,32,BCBC.BS,K
play,5,0,schwk001,32,CCBFBBB,W
play,5,0,bohma001,22,FCFBBX,S8/G6M.1-2
play,5,0,harpb003,02,SSS,K
play,5,0,castn001,11,SBX,53/G6
play,5,1,sancj003,12,CBFX,8/L8D+
play,5,1,wendj002,12,BSFFX,13/G23
play,5,1,fortn001,22,CBBFH,HP
play,5,1,arral001,00,X,43/G34S
play,6,0,stotb001,32,CCBBFBB,W
play,6,0,turnt001,00,,NP
sub,brazh001,"Huascar Brazoban",1,0,1
play,6,0,turnt001,32,.BS1FB*B>F1>FFB,W.1-2
play,6,0,sosae001,22,BLO+2VH,HP.2-3;1-2
play,6,0,stubg001,32,*SSFBBBFB,W.3-H;2-3;1-2
play,6,0,rojaj003,00,,NP
sub,okers001,"Steven Okert",1,0,1
play,6,0,rojaj003,22,.SS*B*BC,K
play,6,0,schwk001,30,BB*BX,4/P3
play,6,0,bohma001,22,BFSBX,D7/L7LS.3-H;2-H;1-3
play,6,0,harpb003,31,BBFBB,W
play,6,0,castn001,22,BSC*BS,K
play,6,1,solej001,12,CSBC,K
play,6,1,bellj005,21,BBSX,HR/F9D
play,6,1,chisj001,00,X,HR/F9D
play,6,1,garca003,12,CBSS,K
play,6,1,burgj001,20,BBX,S6/G56
play,6,1,sancj003,12,BCSX,7/F7LD
play,7,0,stotb001,00,,NP
sub,charj001,"JT Chargois",1,0,1
play,7,0,stotb001,12,.BCFX,S7/F78
play,7,0,turnt001,12,CSBX,64(1)3/GDP/G6
play,7,0,sosae001,22,FBFBS,K
play,7,1,wendj002,00,,NP
sub,stram001,"Matt Strahm",0,0,1
play,7,1,wendj002,00,.,NP
sub,bertj001,"Jon Berti",1,8,11
play,7,1,bertj001,12,..CFF.BX,D9/G3
play,7,1,fortn001,01,FX,6/P6D
play,7,1,arral001,01,FX,9/F9LD
play,7,1,solej001,02,FFS,K
play,8,0,stubg001,00,,NP
sub,bertj001,"Jon Berti",1,8,6
play,8,0,stubg001,30,.BBBB,W
play,8,0,rojaj003,12,CBCX,14(1)/FO/G1S.B-1
play,8,0,schwk001,02,C>FS,K
play,8,0,bohma001,00,>C,SB2
play,8,0,bohma001,01,>C.X,43/G6MS
play,8,1,bellj005,01,FX,S8/G4
play,8,1,chisj001,22,.BBFCS,K
play,8,1,garca003,31,FBBBB,W.1-2
play,8,1,burgj001,00,,NP
sub,hoffj003,"Jeff Hoffman",0,0,1
play,8,1,burgj001,31,.BFBBB,W.2-3;1-2
play,8,1,sancj003,30,BBBB,W.3-H;2-3;1-2
play,8,1,bertj001,12,CBFX,63/G6.3-H;2-3;1-2
play,8,1,fortn001,00,,NP
sub,gurry001,"Yuli Gurriel",1,9,11
play,8,1,gurry001,00,.X,8/F89
play,9,0,harpb003,00,,NP
sub,stalj001,"Jacob Stallings",1,9,2
play,9,0,harpb003,00,.,NP
sub,narda001,"Andrew Nardi",1,0,1
play,9,0,harpb003,32,..BCSBBS,K
play,9,0,castn001,12,SBFX,S4/G4
play,9,0,stotb001,22,BCSBX,56(1)/FO/G6S.B-1
play,9,0,turnt001,02,CC>B,SB2
play,9,0,turnt001,12,CC>B.S,K
play,9,1,arral001,00,,NP
sub,sotog003,"Gregory Soto",0,0,1
play,9,1,arral001,10,.BX,8/F8XD
play,9,1,solej001,00,X,HR/F89XD
play,9,1,bellj005,12,FFFBFX,S57/G6
play,9,1,chisj001,01,CX,43(B)6(1)/GDP/G4
play,10,0,sosae001,00,,NP
sub,robed002,"David Robertson",1,0,1
radj,turnt001,2
com,"Trea Turner starts inning at 2nd base."
play,10,0,sosae001,00,..,NP
sub,marsb002,"Brandon Marsh",0,7,11
play,10,0,marsb002,21,...BBCX,HR/F8XD.2-H(UR)
