id,SFN202206110
version,2
info,visteam,LAN
info,hometeam,SFN
info,site,SFO03
info,date,2022/06/11
info,number,0
info,starttime,4:15PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,torrc901
info,ump1b,blakr901
info,ump2b,ramoc901
info,ump3b,conrc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/27 09:03:18
info,howscored,unknown
info,pitches,pitches
info,oscorer,younj701
info,temp,70
info,winddir,tocf
info,windspeed,14
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,212
info,attendance,41236
info,wp,dovac001
info,lp,kersc001
info,save,alvaj003
start,bettm001,"Mookie Betts",0,1,9
start,freef001,"Freddie Freeman",0,2,3
start,turnt001,"Trea Turner",0,3,6
start,muncm001,"Max Muncy",0,4,10
start,smitw003,"Will Smith",0,5,2
start,turnj001,"Justin Turner",0,6,5
start,bellc002,"Cody Bellinger",0,7,8
start,taylc001,"Chris Taylor",0,8,7
play,8,1,machd001,00,,NP
sub,vesia001,"Alex Vesia",0,0,1
play,8,1,machd001,22,.BCBFX,9/F89
com,"$Dodgers pitcher Clayton Kershaw left the game due to an injured back."
play,8,1,slata001,02,.SCFS,K
play,8,1,florw001,02,CFFS,K
play,9,0,bellc002,00,,NP
sub,dovac001,"Camilo Doval",1,0,1
play,9,0,bellc002,30,.BBBX,3/G3D+
play,9,0,outmj002,22,FCBBFFFS,K
play,9,0,bettm001,32,BSFBBC,K
play,9,1,yastm001,00,,NP
sub,kimbc001,"Craig Kimbrel",0,0,1
play,9,1,yastm001,11,.CBX,63/G4
play,9,1,mercy001,00,,NP
sub,beltb001,"Brandon Belt",1,4,11
play,9,1,beltb001,01,.FX,D9/L9LD+
play,9,1,davij006,10,BX,8/F89XD+.2-3
play,9,1,villd001,00,,NP
sub,lastt001,"Tommy La Stella",1,6,11
play,9,1,lastt001,00,.B,WP.3-H(NR)
play,9,1,lastt001,32,.B.BBCFS,K
data,er,bickp001,0
data,er,vesia001,0
data,er,fergc001,0
data,er,kersc001,1
data,er,kimbc001,1
data,er,martc007,0
data,er,marty001,1
data,er,brebj001,1
data,er,garcj006,0
data,er,roget002,0
data,er,dovac001,0
data,er,junij001,3
data,er,leond003,0
