id,CHN202305250
version,2
info,visteam,NYN
info,hometeam,CHN
info,site,CHI11
info,date,2023/05/25
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,ortir901
info,ump1b,whitc901
info,ump2b,drakr901
info,ump3b,millb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,52
info,winddir,fromcf
info,windspeed,16
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,163
info,attendance,35446
info,wp,carrc003
info,lp,hendk001
info,save,
start,nimmb001,"Brandon Nimmo",0,1,8
start,lindf001,"Francisco Lindor",0,2,6
start,mcnej002,"Jeff McNeil",0,3,4
start,alonp001,"Pete Alonso",0,4,3
start,batyb001,"Brett Baty",0,5,5
start,marts002,"Starling Marte",0,6,9
start,voged001,"Daniel Vogelbach",0,7,10
start,canhm001,"Mark Canha",0,8,7
play,6,1,happi001,00,X,D9/F34D-
play,6,1,suzus001,32,BBBCFFFFC,K
play,6,1,manct001,21,*BFBX,43/G4.2-3
play,6,1,taucm001,00,X,S7/L7LS.3-H
play,6,1,wisdp001,00,,NP
sub,faucc001,"Calvin Faucher",0,0,1
play,6,1,wisdp001,11,.CB>X,63/G6
play,7,0,mejif001,00,,NP
sub,leitm002,"Mark Leiter Jr.",1,0,1
play,7,0,mejif001,12,.CBCFFX,43/G34
play,7,0,lowej002,21,BFBX,63/G4
play,7,0,franw002,11,CBX,43/G34
play,7,1,gomey001,22,CBBSFS,K
play,7,1,morec001,12,CBSS,K
play,7,1,hoern001,11,BFX,43/G4
play,8,0,arozr001,00,,NP
sub,alzoa001,"Adbert Alzolay",1,0,1
play,8,0,arozr001,02,.CFS,K
play,8,0,loweb001,22,BCFB.S,K
play,8,0,ramih004,00,X,63/G6
play,8,1,swand001,00,,NP
sub,kellt002,"Trevor Kelley",0,0,1
play,8,1,swand001,11,.BCX,S9/G34
play,8,1,happi001,00,X,S8/L8.1-3
play,8,1,suzus001,31,BCBBB,W.1-2
play,8,1,manct001,10,BX,62(3)3/GDP/G6.2-3;1-2
play,8,1,taucm001,00,,NP
sub,diekj001,"Jake Diekman",0,0,1
play,8,1,taucm001,32,.BBCC.FBB,W
play,8,1,wisdp001,31,BBBTX,9/F9
play,9,0,parei001,12,BFS.FS,K
play,9,0,ralel001,02,FCS,K
play,9,0,margm001,11,BCX,63/G6
data,er,diekj001,0
data,er,mccls003,2
data,er,faucc001,0
data,er,kellt002,0
data,er,alzoa001,0
data,er,leitm002,0
data,er,merrj001,0
data,er,hendk001,1
id,CHN202306160
version,2
info,visteam,BAL
info,hometeam,CHN
info,site,CHI11
info,date,2023/06/16
info,number,0
info,gametype,regular
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hanat901
info,ump1b,buckc901
info,ump2b,may-b901
info,ump3b,nelsj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/18 09:05:16
info,howscored,unknown
info,pitches,pitches
info,oscorer,seipb701
info,temp,57
info,winddir,fromlf
info,windspeed,12
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,166
info,attendance,37515
info,wp,hendk001
info,lp,irvic001
info,save,
start,hendg002,"Gunnar Henderson",0,1,5
start,rutsa001,"Adley Rutschman",0,2,2
start,santa003,"Anthony Santander",0,3,9
start,ohear001,"Ryan O'Hearn",0,4,3
start,haysa001,"Austin Hays",0,5,7
start,hicka001,"Aaron Hicks",0,6,8
start,fraza001,"Adam Frazier",0,7,4
start,uriar001,"Ramon Urias",0,8,10
start,matej003,"Jorge Mateo",0,9,6
start,irvic001,"Cole Irvin",0,0,1
start,hoern001,"Nico Hoerner",1,1,4
start,swand001,"Dansby Swanson",1,2,6
start,morec001,"Christopher Morel",1,3,8
start,suzus001,"Seiya Suzuki",1,4,9
start,gomey001,"Yan Gomes",1,5,10
start,manct001,"Trey Mancini",1,6,3
start,wisdp001,"Patrick Wisdom",1,7,7
start,amaym001,"Miguel Amaya",1,8,2
start,madrn001,"Nick Madrigal",1,9,5
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,hendg002,02,CCX,43/G34
play,1,0,rutsa001,12,CBC.FX,43/G4
play,1,0,santa003,12,BCCF.X,9/F89XD
play,1,1,hoern001,00,X,53/G56S
play,1,1,swand001,32,CCBBFBFX,53/G5
play,1,1,morec001,01,CX,53/G56S
play,2,0,ohear001,12,CBCFFX,S3/G34
play,2,0,haysa001,11,BCX,8/F8S
play,2,0,hicka001,22,BCBCX,3/G3.1-2
play,2,0,fraza001,22,C*BFBX,7/F78
play,2,1,suzus001,22,FCFBBX,9/L9LD+
play,2,1,gomey001,01,CX,3/P3F/FL
play,2,1,manct001,31,BBBFB,W
play,2,1,wisdp001,12,CCBS,K
play,3,0,uriar001,12,SCBC,K
play,3,0,matej003,22,CBFFBFX,43/G34
play,3,0,hendg002,32,CBFBFFBX,3/G3
play,3,1,amaym001,10,BX,HR/F7D
play,3,1,madrn001,12,CBFX,9/F9
play,3,1,hoern001,12,CFBX,3/G3
play,3,1,swand001,00,X,HR/F78XD
play,3,1,morec001,32,CBBSBX,HR/F78XD
play,3,1,suzus001,22,FCB.BS,K
play,4,0,rutsa001,02,CC.X,63/G4M
play,4,0,santa003,22,BFC.FBX,9/F9LD
play,4,0,ohear001,10,BX,D7/L7LD+
play,4,0,haysa001,00,X,S7/G6.2-H
play,4,0,hicka001,32,FS1BFBFB>F>F>X,43/G3
play,4,1,gomey001,12,BSCS,K
play,4,1,manct001,20,BBX,D7/L7LD+
play,4,1,wisdp001,12,FBSS,K
play,4,1,amaym001,00,X,9/F9LS
play,5,0,fraza001,11,BCX,8/L8D
play,5,0,uriar001,01,CX,S7/L78
play,5,0,matej003,00,X,D7/L7LD+.1-H
