id,MIL202307040
version,2
info,visteam,CHN
info,hometeam,MIL
info,site,MIL06
info,date,2023/07/04
info,number,0
info,gametype,regular
info,starttime,3:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,bacce901
info,ump1b,fleta901
info,ump2b,estam901
info,ump3b,riggj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/21 08:43:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,odrit701
info,temp,86
info,winddir,ltor
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,195
info,attendance,41133
info,wp,paled001
info,lp,andrc002
info,save,
start,hoern001,"Nico Hoerner",0,1,4
start,swand001,"Dansby Swanson",0,2,6
start,happi001,"Ian Happ",0,3,7
start,morec001,"Christopher Morel",0,4,5
start,suzus001,"Seiya Suzuki",0,5,9
start,manct001,"Trey Mancini",0,6,3
start,bellc002,"Cody Bellinger",0,7,8
start,gomey001,"Yan Gomes",0,8,10
play,8,0,morec001,22,BSBSX,T7/L7LD+
play,8,0,gomey001,32,BBBCFX,63/G6.3-H
play,8,0,taucm001,32,SBBBCS,K
play,8,0,mastm001,00,,NP
sub,wisdp001,"Patrick Wisdom",0,2,11
play,8,0,wisdp001,00,.,NP
sub,bousc001,"Caleb Boushley",1,0,1
play,8,0,wisdp001,22,..BCF.BS,K
play,8,1,adamw002,00,,NP
sub,wisdp001,"Patrick Wisdom",0,2,4
play,8,1,adamw002,00,.,NP
sub,alzoa001,"Adbert Alzolay",0,0,1
play,8,1,adamw002,01,..CX,7/L7D+
play,8,1,donaj001,32,FBBSBC,K
play,8,1,mitcg001,32,CBSBFB*B,W
play,8,1,carav001,10,1B>C,CS2(26)
play,9,0,happi001,00,X,HR/F89XD+
play,9,0,bellc002,00,X,43/G34
play,9,0,suzus001,32,BCBFBC,K
play,9,0,swand001,12,FBF.S,K
play,9,1,carav001,00,,NP
sub,leitm002,"Mark Leiter Jr.",0,0,1
play,9,1,carav001,21,.S.BBX,S7/L7L
play,9,1,turab002,21,M*BBX,6(1)3/GDP/G6M
play,9,1,yelic001,32,FBBBCB,W
play,9,1,contw002,00,,NP
sub,cuasj001,"Jose Cuas",0,0,1
play,9,1,contw002,21,.BBC.X,163/G1
radj,swand001,2
com,"Dansby Swanson starts inning at 2nd base."
play,10,0,candj002,21,.BFBX,7/L7D
play,10,0,morec001,32,BSBS.FBB,W+WP.2-3
play,10,0,gomey001,12,CFFBS,K
play,10,0,taucm001,00,>B,SB2
play,10,0,taucm001,30,>B.VVV,IW
play,10,0,wisdp001,12,SBFS,K
radj,contw002,2
com,"William Contreras starts inning at 2nd base."
play,10,1,santc002,00,.,NP
sub,perkb002,"Blake Perkins",1,2,12
play,10,1,santc002,11,..CBX,D7/L7L.2-H(UR);B-1
data,er,alzoa001,0
data,er,cuasj001,0
data,er,smyld001,0
data,er,leitm002,0
data,er,merrj001,0
data,er,hendk001,3
data,er,rea-c001,0
data,er,andrc002,2
data,er,bousc001,1
data,er,wilsb003,0
