id,PHI202204120
version,2
info,visteam,NYN
info,hometeam,PHI
info,site,PHI13
info,date,2022/04/12
info,number,0
info,starttime,6:45PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hudsm901
info,ump1b,johna901
info,ump2b,tumpj901
info,ump3b,blakr901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:07
info,howscored,unknown
info,pitches,pitches
info,oscorer,golam701
info,temp,72
info,winddir,ltor
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,192
info,attendance,26045
info,wp,megit002
info,lp,wheez001
info,save,diaze006
start,nimmb001,"Brandon Nimmo",0,1,8
start,marts002,"Starling Marte",0,2,9
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,escoe001,"Eduardo Escobar",0,5,5
start,canor001,"Robinson Cano",0,6,10
start,canhm001,"Mark Canha",0,7,7
start,mcnej002,"Jeff McNeil",0,8,4
play,9,0,petej002,00,.,NP
sub,brosm001,"Mike Brosseau",0,9,11
play,9,0,brosm001,12,..CC*BX,8/F89D
play,9,1,castn001,00,,NP
sub,brosm001,"Mike Brosseau",0,9,5
play,9,1,castn001,00,.,NP
sub,hadej001,"Josh Hader",0,0,1
play,9,1,castn001,11,..SBX,63/G56D
play,9,1,realj001,22,CCBFBS,K
play,9,1,schwk001,01,CX,6/P6MD
data,er,hadej001,0
data,er,willd004,0
data,er,housa001,3
data,er,gottt001,0
data,er,sancc002,1
data,er,wheez001,4
data,er,norwj001,0
data,er,bella001,0
data,er,handb001,0
id,PHI202204280
version,2
info,visteam,COL
info,hometeam,PHI
info,site,PHI13
info,date,2022/04/28
info,number,0
info,starttime,1:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gonzm901
info,ump1b,buckc901
info,ump2b,sches901
info,ump3b,nelsj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:26
info,howscored,unknown
info,pitches,pitches
info,oscorer,macom701
info,temp,52
info,winddir,fromlf
info,windspeed,20
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,188
info,attendance,20098
info,wp,wheez001
info,lp,gomba001
info,save,
start,joe-c001,"Connor Joe",0,1,3
start,blacc001,"Charlie Blackmon",0,2,9
start,gricr001,"Randal Grichuk",0,3,8
start,cronc002,"C.J. Cron",0,4,10
start,mcmar001,"Ryan McMahon",0,5,5
start,iglej001,"Jose Iglesias",0,6,6
start,hills005,"Sam Hilliard",0,7,7
start,treja001,"Alan Trejo",0,8,4
start,nuned001,"Dom Nunez",0,9,2
start,gomba001,"Austin Gomber",0,0,1
start,seguj002,"Jean Segura",1,1,4
start,hoskr001,"Rhys Hoskins",1,2,3
start,harpb003,"Bryce Harper",1,3,10
start,castn001,"Nick Castellanos",1,4,9
start,realj001,"J.T. Realmuto",1,5,2
start,bohma001,"Alec Bohm",1,6,5
start,vierm001,"Matt Vierling",1,7,7
start,gregd001,"Didi Gregorius",1,8,6
start,quinr003,"Roman Quinn",1,9,8
start,wheez001,"Zack Wheeler",1,0,1
play,1,0,joe-c001,02,CFFX,63/G6
