,IDfg,Name,Age,ERA,K/9,K/BB,AVG,WHIP,FIP,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
170,15689,Luis Castillo,28,3.77,9.82,2.84,0.246,1.33,3.45,0.24100000000000002,97.3,0.175,86.5,,,,,0.303,88.3,,,,,-0.36,1.01,,,0.34,,,0.337,0.726,0.494,0.586,0.816,0.722,0.40299999999999997,0.6,0.13699999999999998
31,19374,Walker Buehler,26,2.62,9.36,4.03,0.194,0.97,3.34,0.364,95.7,0.136,85.2,0.155,91.9,0.133,80.5,0.040999999999999995,91.5,,,,,1.62,0.68,1.08,0.27,3.01,,,0.327,0.6829999999999999,0.484,0.602,0.8540000000000001,0.758,0.44,0.643,0.11699999999999999
134,15474,Lucas Giolito,26,3.51,10.69,3.73,0.208,1.08,3.62,0.41100000000000003,93.9,0.195,85.5,,,0.023,80.3,0.32299999999999995,81.4,,,,,0.63,1.0,,-1.74,1.23,,,0.32299999999999995,0.733,0.504,0.53,0.772,0.6859999999999999,0.441,0.597,0.158
137,13074,Yu Darvish,34,3.53,10.84,5.03,0.216,1.05,3.38,0.409,94.8,0.20199999999999999,81.7,0.35600000000000004,86.7,0.09699999999999999,76.1,0.013999999999999999,89.0,0.044000000000000004,89.6,,,0.35,2.22,0.17,0.95,4.41,-1.16,,0.311,0.672,0.479,0.555,0.828,0.733,0.466,0.613,0.128
229,15038,German Marquez,26,4.2,8.56,2.8,0.241,1.27,3.68,0.262,95.0,0.22899999999999998,86.8,,,0.212,85.2,0.032,86.5,,,,,0.08,0.43,,1.55,-4.13,,,0.293,0.695,0.475,0.516,0.861,0.745,0.452,0.605,0.121
22,19427,Shane Bieber,26,2.48,13.24,4.74,0.202,1.06,2.6,0.313,93.4,0.195,85.4,0.087,89.2,0.29100000000000004,83.4,0.064,88.2,,,,,0.34,2.08,2.49,0.73,1.94,,,0.363,0.648,0.473,0.43799999999999994,0.838,0.649,0.385,0.627,0.166
61,2520,Lance Lynn,34,2.91,9.9,3.79,0.206,1.07,3.62,0.42700000000000005,93.5,0.278,88.8,,,0.048,83.0,0.002,84.0,0.027999999999999997,87.0,,,1.0,0.69,,-1.05,-8.61,0.25,,0.318,0.738,0.499,0.652,0.83,0.765,0.43,0.594,0.11699999999999999
145,4676,Charlie Morton,37,3.58,10.38,3.79,0.214,1.1,3.22,0.299,94.9,,,0.086,87.1,0.36,80.3,0.047,86.4,,,,,0.2,,0.44,1.79,0.32,,,0.318,0.6579999999999999,0.467,0.55,0.851,0.737,0.44,0.598,0.12300000000000001
54,13743,Max Fried,27,2.84,8.45,3.47,0.221,1.09,3.26,0.276,93.7,0.21600000000000003,84.6,,,0.248,74.5,0.028999999999999998,84.0,,,,,0.87,0.66,,1.02,0.82,,,0.321,0.6829999999999999,0.48100000000000004,0.591,0.8740000000000001,0.769,0.442,0.635,0.111
153,14168,Jose Berrios,27,3.64,9.6,3.83,0.224,1.13,3.62,0.345,94.1,,,,,0.303,83.1,0.147,84.8,,,,,0.18,,,0.63,0.88,,,0.341,0.643,0.465,0.6809999999999999,0.851,0.778,0.41100000000000003,0.642,0.10300000000000001
90,18684,Sandy Alcantara,25,3.16,8.72,3.69,0.221,1.09,3.47,0.28,97.6,0.239,89.9,,,0.034,83.1,0.21,91.7,,,,,0.97,0.68,,-2.49,0.27,,,0.358,0.721,0.521,0.598,0.8490000000000001,0.754,0.451,0.635,0.128
36,16137,Carlos Rodon,27,2.69,12.25,4.9,0.192,0.99,2.77,0.452,95.3,0.27399999999999997,85.7,,,0.016,76.8,0.128,85.2,,,,,1.69,1.75,,-5.84,-2.25,,,0.337,0.715,0.502,0.5489999999999999,0.804,0.7070000000000001,0.436,0.589,0.147
82,2233,Adam Wainwright,39,3.08,7.54,3.51,0.219,1.06,3.77,0.313,89.1,,,0.21899999999999997,85.0,0.35100000000000003,73.5,0.054000000000000006,82.6,,,,,0.8,,0.35,1.71,-0.14,,,0.308,0.613,0.439,0.66,0.894,0.8009999999999999,0.429,0.65,0.08800000000000001
165,16358,Tyler Mahle,25,3.72,10.67,3.18,0.223,1.22,3.82,0.39299999999999996,94.0,0.315,86.8,,,0.001,80.0,,,0.149,86.6,,,0.32,-0.11,,12.13,,1.03,,0.307,0.6709999999999999,0.452,0.619,0.8170000000000001,0.736,0.39799999999999996,0.636,0.11900000000000001
86,2036,Clayton Kershaw,33,3.1,10.3,7.1,0.213,0.96,3.1,0.32299999999999995,91.0,0.451,87.4,,,0.163,74.2,0.005,87.0,,,,,0.08,2.06,,0.33,-1.07,,,0.34700000000000003,0.691,0.502,0.486,0.821,0.693,0.449,0.647,0.154
74,18679,Freddy Peralta,25,3.01,12.54,3.56,0.17,1.0,3.0,0.465,93.3,0.26,80.4,,,0.107,76.6,0.078,88.1,,,,,1.44,0.72,,2.08,-0.9,,,0.29600000000000004,0.6729999999999999,0.449,0.505,0.78,0.672,0.40399999999999997,0.596,0.147
160,17995,Logan Webb,24,3.69,9.06,3.4,0.246,1.23,3.11,0.196,92.9,0.239,82.3,0.034,91.3,,,0.255,85.6,,,,,0.16,1.29,-0.95,,0.32,,,0.315,0.636,0.45,0.5670000000000001,0.873,0.7490000000000001,0.419,0.6459999999999999,0.113
59,12304,Chris Bassitt,32,2.9,8.74,3.82,0.221,1.08,3.41,0.381,93.0,0.066,75.3,0.213,88.2,0.073,71.2,0.102,84.9,,,,,1.25,0.41,0.34,1.21,0.26,,,0.293,0.674,0.473,0.6659999999999999,0.847,0.7879999999999999,0.47200000000000003,0.605,0.1
214,15488,Antonio Senzatela,26,4.11,5.71,2.92,0.274,1.3,3.92,0.276,94.6,0.294,86.2,,,0.069,78.5,0.076,86.2,,,,,0.27,-0.07,,-1.12,-0.72,,,0.27,0.718,0.47100000000000003,0.6629999999999999,0.893,0.821,0.449,0.636,0.084
98,22286,Trevor Rogers,23,3.24,10.96,3.32,0.226,1.23,2.86,0.349,94.4,0.161,81.6,,,,,0.257,84.8,,,,,0.46,-0.81,,,1.43,,,0.337,0.687,0.485,0.57,0.812,0.715,0.423,0.5820000000000001,0.138
191,14444,Hyun-Jin Ryu,34,3.89,8.2,3.98,0.25,1.2,3.73,0.318,89.9,0.048,85.6,0.20600000000000002,86.1,0.127,73.4,0.262,79.9,,,,,-0.27,1.55,0.61,0.12,0.72,,,0.348,0.665,0.47700000000000004,0.705,0.847,0.7859999999999999,0.40700000000000003,0.624,0.102
112,14120,Lance McCullers Jr.,27,3.35,9.98,2.51,0.208,1.21,3.57,0.259,93.9,0.182,85.9,0.028999999999999998,88.7,0.28,84.0,0.149,86.0,,,,,-0.25,1.59,-1.92,1.01,-0.25,,,0.285,0.596,0.41200000000000003,0.503,0.8690000000000001,0.72,0.41,0.562,0.115
187,14309,Frankie Montas,28,3.86,10.01,3.34,0.238,1.25,3.67,0.35700000000000004,96.2,0.20600000000000002,88.2,,,,,,,0.20199999999999999,87.4,,,0.1,-0.21,,,,1.0,,0.348,0.69,0.489,0.5870000000000001,0.831,0.7290000000000001,0.414,0.643,0.132
106,12970,Joe Musgrove,28,3.3,10.51,3.69,0.212,1.11,3.65,0.331,93.1,0.273,83.9,0.14800000000000002,90.3,0.22899999999999998,81.9,0.059000000000000004,86.8,,,,,-0.92,1.67,-0.47,2.08,-1.22,,,0.33799999999999997,0.632,0.46399999999999997,0.5429999999999999,0.847,0.7190000000000001,0.426,0.623,0.13
209,15873,Sean Manaea,29,4.05,9.22,4.88,0.257,1.22,3.67,0.342,91.8,0.138,82.1,0.006999999999999999,84.3,0.015,77.1,0.25,84.1,,,,,0.0,-0.53,2.15,-5.67,1.45,,,0.322,0.7140000000000001,0.508,0.639,0.8340000000000001,0.769,0.473,0.662,0.11699999999999999
13,12703,Trevor Bauer,30,2.24,11.81,4.39,0.172,0.92,3.57,0.475,93.8,0.17800000000000002,80.8,0.20800000000000002,85.3,0.13,79.7,0.017,87.8,,,,,2.0,2.45,-0.29,-0.93,-3.64,,,0.315,0.662,0.455,0.556,0.835,0.72,0.405,0.596,0.127
208,12768,Sonny Gray,31,4.05,10.68,2.99,0.217,1.22,3.71,0.29600000000000004,92.6,0.152,82.4,0.036000000000000004,83.9,0.25,79.9,0.03,88.8,,,,,0.58,-0.38,2.19,0.11,1.91,,,0.289,0.618,0.42,0.57,0.866,0.743,0.39799999999999996,0.578,0.10800000000000001
195,18525,Dylan Cease,25,3.94,10.85,2.65,0.223,1.3,4.18,0.426,96.9,0.305,85.7,,,0.136,79.8,0.08900000000000001,80.0,,,,,-0.42,0.96,,-0.08,0.1,,,0.308,0.6709999999999999,0.452,0.5660000000000001,0.8,0.7040000000000001,0.397,0.574,0.134
15,3548,Liam Hendriks,32,2.34,14.01,15.0,0.17,0.72,2.02,0.474,97.3,0.218,88.4,,,0.087,85.5,0.001,90.5,,,,,2.13,2.32,,1.79,-1.2,,,0.38299999999999995,0.799,0.5670000000000001,0.447,0.7909999999999999,0.6609999999999999,0.442,0.691,0.193
215,16511,Jordan Montgomery,28,4.11,9.34,3.48,0.251,1.28,3.73,0.35200000000000004,92.5,,,0.11900000000000001,87.6,0.233,80.1,0.24600000000000002,82.7,,,,,-0.79,,-0.81,0.8,1.43,,,0.358,0.7020000000000001,0.501,0.619,0.81,0.73,0.415,0.648,0.135
101,17085,Pablo Lopez,25,3.26,9.79,3.95,0.23,1.14,3.22,0.301,93.9,,,0.11,91.3,0.087,79.9,0.315,87.8,,,,,0.92,,0.73,-0.22,0.21,,,0.366,0.6920000000000001,0.504,0.6729999999999999,0.8290000000000001,0.764,0.425,0.614,0.11900000000000001
104,17295,Framber Valdez,26,3.29,8.81,2.72,0.225,1.2,3.61,0.16399999999999998,92.7,,,,,0.317,78.9,0.10800000000000001,87.9,,,,,0.26,,,1.61,0.03,,,0.278,0.625,0.429,0.5589999999999999,0.882,0.764,0.434,0.56,0.10099999999999999
308,13164,Eduardo Rodriguez,28,4.74,10.56,3.94,0.275,1.39,3.32,0.34299999999999997,92.6,0.08199999999999999,82.1,0.17300000000000001,88.4,,,0.22899999999999998,85.4,,,,,0.1,-0.17,-1.79,,0.21,,,0.337,0.7040000000000001,0.485,0.6509999999999999,0.836,0.76,0.405,0.636,0.11699999999999999
192,18498,Kenta Maeda,33,3.9,10.04,4.6,0.224,1.09,3.68,0.35,90.8,0.376,82.5,0.006999999999999999,87.7,0.038,76.7,0.28600000000000003,84.4,,,,,-0.19,0.9,0.81,0.05,1.06,,,0.37200000000000005,0.7140000000000001,0.504,0.54,0.841,0.705,0.386,0.613,0.149
94,14374,Tyler Glasnow,27,3.22,13.25,4.37,0.185,1.01,3.12,0.373,97.0,0.18600000000000003,87.6,,,0.226,82.9,0.034,91.3,,,,,1.38,0.94,,1.01,-3.7,,,0.315,0.6729999999999999,0.47700000000000004,0.418,0.809,0.6679999999999999,0.45299999999999996,0.614,0.158
211,13774,Zach Eflin,26,4.1,9.24,5.45,0.27,1.26,3.58,0.324,93.1,0.136,87.2,0.09300000000000001,89.1,0.11599999999999999,78.2,0.087,85.9,,,,,0.39,0.02,-2.56,1.02,-2.11,,,0.34700000000000003,0.6809999999999999,0.49,0.672,0.873,0.792,0.429,0.652,0.102
154,11486,Robbie Ray,28,3.64,11.61,3.26,0.22,1.22,4.28,0.45899999999999996,94.6,0.308,88.2,,,0.086,83.1,0.024,88.0,,,,,0.0,0.94,,-1.12,-5.05,,,0.32299999999999995,0.722,0.49,0.522,0.8079999999999999,0.698,0.419,0.593,0.14800000000000002
218,1943,Zack Greinke,37,4.12,7.07,4.16,0.251,1.16,4.18,0.326,88.4,0.155,83.9,,,0.163,70.9,0.223,86.2,,,,,-0.1,-0.33,,0.73,1.69,,,0.313,0.655,0.444,0.647,0.89,0.784,0.382,0.648,0.096
75,13431,Marcus Stroman,30,3.02,7.94,3.59,0.237,1.15,3.49,0.264,92.0,0.231,85.5,0.141,90.4,0.023,80.7,0.156,86.0,,,,,0.46,1.25,0.67,-0.28,0.39,,,0.344,0.6759999999999999,0.483,0.603,0.87,0.759,0.418,0.621,0.11599999999999999
222,10123,Kyle Gibson,33,4.15,7.69,2.27,0.244,1.3,4.28,0.271,92.4,0.185,83.3,0.109,89.5,0.086,79.2,0.147,84.7,,,,,-0.41,0.52,1.11,1.06,0.03,,,0.314,0.664,0.43700000000000006,0.633,0.894,0.772,0.35100000000000003,0.609,0.1
30,17130,Raisel Iglesias,31,2.61,12.97,7.88,0.2,0.92,2.58,0.38,96.4,0.315,85.1,,,,,0.235,89.3,,,,,1.3,1.25,,,2.16,,,0.389,0.716,0.531,0.5,0.706,0.621,0.435,0.684,0.201
125,23735,Luis Garcia,24,3.44,9.45,3.2,0.225,1.16,3.68,0.405,93.4,0.127,80.1,0.212,86.2,0.092,76.0,0.115,83.4,,,,,-0.28,2.07,1.57,-0.45,0.65,,,0.321,0.6679999999999999,0.466,0.556,0.8240000000000001,0.7170000000000001,0.418,0.5920000000000001,0.132
140,8779,Wade Miley,33,3.55,6.95,2.32,0.261,1.35,4.03,0.264,89.9,0.045,79.5,0.469,85.5,0.046,75.0,0.26899999999999996,82.0,,,,,-0.29,-0.27,0.03,-1.73,0.29,,,0.34299999999999997,0.684,0.46299999999999997,0.718,0.84,0.7809999999999999,0.35,0.5770000000000001,0.10099999999999999
198,6562,Alex Cobb,33,3.95,8.4,2.67,0.243,1.29,3.62,0.22899999999999998,92.7,0.008,86.1,,,0.156,82.4,0.364,87.4,,,,,-0.3,1.21,,1.17,0.86,,,0.33399999999999996,0.624,0.444,0.639,0.863,0.758,0.37799999999999995,0.62,0.107
290,25377,Brady Singer,24,4.62,8.97,2.53,0.261,1.42,4.05,0.284,93.6,0.379,84.7,,,,,0.042,88.0,,,,,-0.26,-0.14,,,-0.36,,,0.287,0.613,0.428,0.602,0.868,0.767,0.43200000000000005,0.5720000000000001,0.1
340,10021,Mike Minor,32,5.18,8.82,3.46,0.245,1.24,4.38,0.42200000000000004,90.9,0.21600000000000003,85.7,,,0.132,80.5,0.203,85.3,,,,,0.54,-1.23,,-0.51,0.13,,,0.32799999999999996,0.688,0.478,0.6659999999999999,0.843,0.772,0.41700000000000004,0.609,0.109
28,7005,Ryan Pressly,32,2.54,11.65,5.5,0.219,1.06,2.25,0.282,95.2,0.375,90.1,,,0.235,81.9,,,,,,,0.35,3.38,,-0.32,,,,0.379,0.664,0.499,0.483,0.86,0.6940000000000001,0.42,0.6890000000000001,0.153
77,17186,Dinelson Lamet,28,3.03,11.64,3.57,0.203,1.11,3.07,0.413,96.4,0.522,86.6,,,,,0.006999999999999999,92.0,,,,,-0.68,2.8,,,-7.49,,,0.332,0.675,0.48100000000000004,0.48,0.8290000000000001,0.6920000000000001,0.433,0.6409999999999999,0.14800000000000002
227,12049,Kyle Hendricks,31,4.19,6.69,3.75,0.264,1.24,4.48,0.332,87.4,,,,,0.131,72.9,0.281,80.0,,,,,-0.09,,,0.13,-0.36,,,0.354,0.6679999999999999,0.488,0.7120000000000001,0.865,0.8009999999999999,0.42700000000000005,0.674,0.09699999999999999
149,13896,Chris Flexen,26,3.61,6.26,3.13,0.265,1.25,3.89,0.366,92.8,,,0.294,89.1,0.153,77.3,0.153,82.8,,,,,0.32,,0.06,-0.38,1.24,,,0.32899999999999996,0.7170000000000001,0.496,0.721,0.892,0.8270000000000001,0.43,0.634,0.086
180,13050,Anthony DeSclafani,30,3.84,7.91,3.05,0.236,1.19,4.03,0.361,94.3,0.34700000000000003,87.7,,,0.087,82.8,0.09699999999999999,88.3,,,,,0.18,1.16,,-0.91,0.33,,,0.307,0.695,0.47700000000000004,0.609,0.868,0.775,0.439,0.655,0.10800000000000001
100,19951,Ian Anderson,23,3.25,9.24,2.46,0.209,1.2,3.8,0.303,94.5,,,,,0.21100000000000002,80.6,0.312,88.0,,,,,0.92,,,-0.82,1.21,,,0.287,0.682,0.449,0.588,0.8240000000000001,0.735,0.409,0.591,0.11900000000000001
264,12880,Tyler Anderson,31,4.49,6.95,2.78,0.255,1.28,4.37,0.433,90.2,,,0.247,85.1,0.01,72.8,0.26899999999999996,80.9,,,,,-0.12,,0.1,-7.58,-0.07,,,0.354,0.725,0.515,0.7120000000000001,0.8290000000000001,0.784,0.434,0.682,0.111
220,11156,Merrill Kelly,32,4.14,7.56,3.46,0.255,1.24,4.09,0.348,91.8,0.001,83.7,0.156,90.8,0.18600000000000003,81.3,0.16699999999999998,87.3,,,,,0.06,10.99,0.46,0.46,-0.62,,,0.31,0.693,0.48200000000000004,0.6659999999999999,0.895,0.8140000000000001,0.447,0.615,0.09
151,19755,Shohei Ohtani,26,3.61,10.84,3.06,0.207,1.16,3.65,0.354,95.6,0.22,82.1,0.121,87.1,0.037000000000000005,74.5,,,0.179,88.1,,,-0.87,2.42,0.14,-2.78,,3.34,,0.299,0.6859999999999999,0.473,0.5479999999999999,0.8320000000000001,0.733,0.45,0.5770000000000001,0.126
10,17277,Ranger Suarez,25,2.05,8.84,2.92,0.207,1.09,2.97,0.265,93.1,0.085,84.4,,,,,0.23800000000000002,85.0,,,,,1.75,-0.03,,,0.99,,,0.32,0.6859999999999999,0.462,0.631,0.853,0.759,0.39,0.561,0.111
66,14710,Edwin Diaz,27,2.95,14.16,3.76,0.191,1.11,2.4,0.409,98.5,0.379,90.3,,,,,0.002,93.7,,,,,-0.19,2.83,,,-4.7,,,0.34700000000000003,0.698,0.491,0.467,0.752,0.633,0.409,0.594,0.18
5,14212,Josh Hader,27,1.85,15.41,3.91,0.125,0.86,2.26,0.496,95.9,0.29,82.6,,,,,0.049,87.7,,,,,1.93,2.28,,,1.79,,,0.34299999999999997,0.72,0.494,0.433,0.721,0.601,0.39899999999999997,0.583,0.19699999999999998
4,15816,Devin Williams,26,1.78,15.56,3.78,0.154,1.0,2.16,0.34700000000000003,95.8,0.02,84.6,,,,,0.605,83.9,,,,,-1.07,-1.6,,,2.95,,,0.35200000000000004,0.638,0.456,0.444,0.69,0.569,0.36200000000000004,0.589,0.19699999999999998
194,13543,Blake Snell,28,3.93,11.74,2.68,0.216,1.29,3.97,0.348,95.2,0.218,86.8,,,0.136,79.7,0.127,88.2,,,,,0.15,1.75,,-0.17,-1.66,,,0.306,0.68,0.45,0.515,0.833,0.7,0.386,0.5920000000000001,0.135
328,14916,Jon Gray,29,5.03,8.57,2.59,0.25,1.35,4.4,0.34700000000000003,94.7,0.361,86.7,,,0.067,76.5,0.092,87.3,,,,,-0.74,0.97,,-0.44,-3.04,,,0.262,0.687,0.45299999999999996,0.552,0.861,0.762,0.449,0.636,0.10800000000000001
88,14986,Giovanny Gallegos,29,3.12,10.95,4.83,0.178,0.88,2.64,0.45799999999999996,94.3,0.43799999999999994,85.6,,,,,0.04,87.2,,,,,1.21,2.37,,,-0.2,,,0.38799999999999996,0.721,0.523,0.466,0.85,0.68,0.40399999999999997,0.632,0.16699999999999998
130,16207,Spencer Turnbull,28,3.46,8.02,2.32,0.213,1.17,3.24,0.27899999999999997,94.2,0.22399999999999998,85.4,,,0.057,79.7,0.083,87.2,,,,,1.11,1.66,,-2.38,-0.48,,,0.29,0.695,0.45899999999999996,0.631,0.836,0.7609999999999999,0.418,0.607,0.11
176,16269,John Means,28,3.83,8.32,5.33,0.222,1.02,4.84,0.46799999999999997,93.1,0.08900000000000001,86.4,,,0.155,78.3,0.267,83.8,,,,,0.08,-0.37,,1.09,0.86,,,0.327,0.736,0.504,0.701,0.7959999999999999,0.7609999999999999,0.43200000000000005,0.68,0.12
166,19291,Zac Gallen,25,3.72,10.29,2.99,0.222,1.23,4.03,0.354,93.4,0.073,85.6,0.11699999999999999,89.0,0.14,80.4,0.175,85.7,,,,,0.92,-5.09,0.76,1.05,-0.06,,,0.305,0.635,0.435,0.622,0.873,0.767,0.39399999999999996,0.628,0.102
64,19879,Tanner Houck,25,2.93,11.3,3.6,0.203,1.08,2.71,0.325,93.7,0.368,84.0,,,,,,,0.064,85.9,,,1.05,1.73,,,,1.32,,0.319,0.685,0.46299999999999997,0.544,0.845,0.7190000000000001,0.39299999999999996,0.595,0.13
202,19979,Zach Plesac,26,4.0,7.14,3.93,0.231,1.09,4.35,0.38799999999999996,92.9,0.242,86.7,,,0.105,80.0,0.245,85.9,,,,,-1.66,2.67,,0.9,1.15,,,0.336,0.743,0.514,0.634,0.8420000000000001,0.7659999999999999,0.43700000000000006,0.655,0.12
158,15467,Marco Gonzales,29,3.68,7.27,3.51,0.229,1.09,4.64,0.457,88.4,,,0.172,85.3,0.156,75.3,0.182,79.7,,,,,0.85,,-0.44,0.23,0.2,,,0.32899999999999996,0.684,0.479,0.722,0.875,0.8140000000000001,0.42100000000000004,0.632,0.08900000000000001
251,9434,Dallas Keuchel,33,4.35,5.47,1.8,0.27,1.41,4.62,0.244,87.7,0.07,77.4,0.26,85.1,,,0.284,79.4,,,,,-0.58,-2.07,0.4,,0.26,,,0.32,0.6759999999999999,0.442,0.7120000000000001,0.873,0.7959999999999999,0.344,0.5820000000000001,0.09
24,19753,Jonathan Loaisiga,25,2.5,8.74,3.96,0.218,1.07,3.03,0.24100000000000002,97.9,,,,,0.214,86.4,0.17600000000000002,89.7,,,,,0.85,,,0.71,1.3,,,0.395,0.6659999999999999,0.511,0.644,0.8340000000000001,0.75,0.429,0.619,0.128
354,15423,Andrew Heaney,30,5.36,10.08,3.67,0.251,1.29,4.49,0.428,91.9,0.233,79.4,,,,,0.17800000000000002,83.6,,,,,-0.25,-0.04,,,-0.13,,,0.35100000000000003,0.685,0.49,0.648,0.8170000000000001,0.746,0.41600000000000004,0.67,0.124
122,21483,Shane McClanahan,24,3.43,10.29,3.81,0.251,1.27,3.31,0.295,96.5,0.348,89.2,,,0.163,82.6,,,0.081,89.3,,,-0.37,1.08,,2.27,,-3.13,,0.34700000000000003,0.687,0.499,0.48700000000000004,0.8390000000000001,0.7040000000000001,0.44799999999999995,0.642,0.14800000000000002
207,13781,Alex Wood,29,4.04,9.93,3.71,0.242,1.24,3.61,0.284,91.7,0.27899999999999997,84.0,,,0.033,84.6,0.222,85.3,,,,,0.74,0.92,,-1.99,-1.6,,,0.322,0.653,0.46799999999999997,0.5870000000000001,0.823,0.733,0.441,0.64,0.125
246,16256,Kyle Freeland,28,4.33,7.1,2.48,0.28,1.42,4.64,0.304,91.5,0.23199999999999998,86.1,,,0.195,80.3,0.188,85.8,,,,,-0.82,-1.11,,1.24,-0.28,,,0.314,0.6709999999999999,0.45399999999999996,0.6890000000000001,0.894,0.8079999999999999,0.39299999999999996,0.589,0.087
65,14993,Scott Barlow,28,2.93,11.21,3.51,0.226,1.2,2.86,0.36700000000000005,95.2,0.44799999999999995,84.6,,,0.207,79.0,,,,,,,0.04,0.94,,1.46,,,,0.35700000000000004,0.631,0.461,0.462,0.83,0.652,0.377,0.613,0.16
256,19409,Dane Dunning,26,4.39,8.84,2.66,0.257,1.36,3.95,0.278,90.8,0.215,80.2,0.062,85.9,0.052000000000000005,78.4,0.12300000000000001,84.8,,,,,0.77,-0.76,-1.9,-0.6,-1.34,,,0.304,0.6709999999999999,0.45399999999999996,0.625,0.868,0.772,0.409,0.619,0.10400000000000001
274,15734,Brad Keller,25,4.54,7.41,1.91,0.267,1.48,4.34,0.27699999999999997,93.6,0.35700000000000004,85.7,,,,,0.047,89.9,,,,,-0.62,0.65,,,-2.01,,,0.27699999999999997,0.684,0.449,0.642,0.89,0.8009999999999999,0.42200000000000004,0.588,0.08900000000000001
142,5372,Michael Pineda,32,3.57,7.48,4.04,0.258,1.23,3.82,0.385,91.0,0.309,81.6,,,,,0.158,85.6,,,,,0.01,0.55,,,-0.88,,,0.373,0.7120000000000001,0.516,0.639,0.883,0.7809999999999999,0.42100000000000004,0.684,0.113
46,19312,Cal Quantrill,25,2.77,7.53,2.76,0.234,1.18,4.04,0.349,94.5,0.314,87.8,,,0.037000000000000005,81.5,0.132,85.1,,,,,0.3,0.97,,1.25,0.48,,,0.31,0.6859999999999999,0.461,0.7020000000000001,0.8590000000000001,0.7959999999999999,0.402,0.6559999999999999,0.094
