,IDfg,Name,Age,ERA,K/9,K/BB,AVG,WHIP,FIP,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
67,17295,Framber Valdez,28,2.82,8.67,2.9,0.222,1.16,3.06,0.16,94.0,,,0.105,83.0,0.278,79.1,0.08800000000000001,88.6,,,,,0.4,,2.95,1.03,1.33,,,0.306,0.6559999999999999,0.466,0.526,0.8859999999999999,0.758,0.45799999999999996,0.593,0.113
26,18525,Dylan Cease,26,2.2,11.1,2.91,0.189,1.11,3.1,0.43799999999999994,96.8,0.429,87.4,,,0.139,81.2,0.024,77.8,,,,,0.15,2.51,,-1.24,-5.11,,,0.355,0.679,0.47200000000000003,0.5589999999999999,0.797,0.682,0.36200000000000004,0.5820000000000001,0.15
31,3137,Max Scherzer,37,2.29,10.71,7.21,0.204,0.91,2.62,0.496,94.1,0.23399999999999999,85.0,0.094,89.3,0.092,75.0,0.126,84.2,,,,,1.33,3.31,-0.16,0.95,-1.31,,,0.37799999999999995,0.7090000000000001,0.52,0.573,0.818,0.716,0.428,0.664,0.14800000000000002
48,19291,Zac Gallen,26,2.54,9.39,4.09,0.185,0.91,3.05,0.361,94.2,0.066,89.2,0.09,90.3,0.22,81.6,0.14300000000000002,86.3,,,,,1.26,-0.66,1.35,1.45,1.25,,,0.348,0.657,0.47100000000000003,0.6779999999999999,0.871,0.785,0.39799999999999996,0.6459999999999999,0.10099999999999999
102,13074,Yu Darvish,35,3.1,9.11,5.32,0.205,0.95,3.31,0.43799999999999994,95.0,0.158,82.7,0.353,86.7,0.075,76.3,0.01,87.4,0.065,89.5,,,0.97,2.11,0.2,2.01,-2.43,2.07,,0.336,0.667,0.495,0.645,0.8370000000000001,0.77,0.48100000000000004,0.642,0.114
76,17995,Logan Webb,25,2.9,7.63,3.33,0.238,1.16,3.03,0.23800000000000002,91.9,0.327,82.5,,,,,0.31,86.4,,,,,0.17,0.31,,,1.25,,,0.345,0.644,0.47,0.645,0.872,0.775,0.41600000000000004,0.653,0.106
28,26410,Alek Manoah,24,2.24,8.24,3.53,0.2,0.99,3.35,0.419,93.6,0.271,81.5,,,,,0.109,86.5,,,,,1.19,0.58,,,0.71,,,0.34700000000000003,0.6920000000000001,0.494,0.6409999999999999,0.8640000000000001,0.774,0.42700000000000005,0.617,0.11199999999999999
68,10310,Zack Wheeler,32,2.82,9.59,4.79,0.221,1.04,2.89,0.32899999999999996,95.8,0.141,89.9,0.127,91.5,0.11900000000000001,81.3,,,0.017,89.5,,,1.62,-0.16,0.06,-0.62,,-6.38,,0.36,0.6990000000000001,0.503,0.677,0.841,0.773,0.423,0.672,0.114
50,12880,Tyler Anderson,32,2.57,6.95,4.06,0.218,1.0,3.31,0.42,90.5,,,0.22,85.7,0.012,73.3,0.316,79.1,,,,,0.48,,1.09,-0.17,1.81,,,0.391,0.6970000000000001,0.524,0.653,0.863,0.774,0.434,0.6609999999999999,0.11800000000000001
79,11423,Jose Quintana,33,2.93,7.44,2.91,0.245,1.21,2.99,0.311,91.3,0.057999999999999996,78.7,,,0.22399999999999998,78.4,0.195,86.4,,,,,1.24,1.33,,1.25,-2.12,,,0.36,0.69,0.47700000000000004,0.664,0.885,0.777,0.355,0.614,0.106
29,2036,Clayton Kershaw,34,2.28,9.76,5.96,0.205,0.94,2.57,0.33399999999999996,90.8,0.426,86.7,,,0.163,73.2,0.006,83.9,,,,,1.34,1.25,,1.89,-15.75,,,0.35600000000000004,0.6940000000000001,0.501,0.528,0.855,0.723,0.431,0.6859999999999999,0.139
75,6902,Martin Perez,31,2.89,7.75,2.45,0.239,1.26,3.27,0.298,92.7,0.013000000000000001,84.5,0.24100000000000002,89.9,0.035,78.8,0.27699999999999997,84.5,,,,,0.5,4.2,1.4,-3.95,0.31,,,0.312,0.675,0.442,0.74,0.868,0.81,0.359,0.626,0.084
77,19447,Patrick Sandoval,25,2.91,9.14,2.52,0.243,1.34,3.09,0.308,93.2,0.28800000000000003,86.4,,,0.096,78.7,0.24600000000000002,83.8,,,,,-0.28,1.91,,0.58,-0.58,,,0.355,0.665,0.48,0.595,0.825,0.723,0.402,0.58,0.133
87,15689,Luis Castillo,29,2.99,10.0,3.71,0.21,1.08,3.07,0.335,97.1,0.21100000000000002,86.6,,,,,0.222,88.5,,,,,1.21,1.16,,,-1.14,,,0.331,0.6990000000000001,0.493,0.611,0.826,0.745,0.44,0.61,0.126
138,13543,Blake Snell,29,3.38,12.02,3.35,0.214,1.2,2.8,0.42700000000000005,95.9,0.243,88.9,,,0.151,81.5,0.05,87.1,,,,,0.12,1.96,,-0.16,-1.5,,,0.33899999999999997,0.708,0.478,0.525,0.8240000000000001,0.6920000000000001,0.376,0.647,0.147
184,6562,Alex Cobb,34,3.73,9.08,3.51,0.26,1.3,2.8,0.207,94.8,,,,,0.153,83.9,0.423,89.7,,,,,0.2,,,0.21,0.4,,,0.32299999999999995,0.627,0.449,0.619,0.877,0.768,0.413,0.645,0.10400000000000001
37,17874,Nestor Cortes,27,2.44,9.27,4.29,0.188,0.92,3.13,0.473,91.8,0.187,77.2,0.297,86.9,0.002,72.5,0.044000000000000004,83.0,,,,,2.08,-0.04,1.26,-9.01,-1.08,,,0.34700000000000003,0.711,0.504,0.698,0.833,0.78,0.43200000000000005,0.6729999999999999,0.111
84,18000,Triston McKenzie,24,2.96,8.94,4.32,0.199,0.95,3.59,0.489,92.5,0.22,87.3,,,0.21899999999999997,79.5,,,,,,,1.26,-1.12,,2.17,,,,0.359,0.728,0.525,0.591,0.851,0.753,0.449,0.625,0.13
94,16162,Brandon Woodruff,29,3.05,11.15,4.52,0.213,1.07,3.08,0.434,96.2,0.11199999999999999,88.1,,,0.126,84.1,0.163,86.2,,,,,0.62,0.68,,-0.07,0.73,,,0.33899999999999997,0.698,0.49200000000000005,0.59,0.795,0.7140000000000001,0.426,0.6559999999999999,0.141
47,21483,Shane McClanahan,25,2.54,10.5,5.11,0.193,0.93,3.0,0.301,96.8,0.155,89.4,,,0.235,82.0,,,0.254,87.7,,,0.23,-0.09,,2.16,,2.95,,0.35,0.682,0.495,0.524,0.795,0.6859999999999999,0.435,0.627,0.155
80,12970,Joe Musgrove,29,2.93,9.15,4.38,0.225,1.08,3.59,0.36200000000000004,92.9,0.244,83.0,0.19,90.1,0.191,81.4,0.063,86.6,,,,,1.05,-0.33,0.95,-0.08,0.34,,,0.355,0.614,0.465,0.621,0.8759999999999999,0.763,0.42100000000000004,0.645,0.11
46,17606,Cristian Javier,25,2.54,11.74,3.73,0.169,0.95,3.16,0.569,93.9,0.27699999999999997,79.9,,,0.083,76.6,0.040999999999999995,85.3,,,,,1.4,1.54,,-0.63,-3.33,,,0.332,0.715,0.491,0.595,0.8,0.7190000000000001,0.415,0.5589999999999999,0.138
137,11156,Merrill Kelly,33,3.37,7.95,2.9,0.225,1.14,3.65,0.379,92.7,0.002,85.0,0.18899999999999997,91.0,0.135,82.2,0.213,88.7,,,,,0.77,3.5,0.62,-0.03,0.04,,,0.32899999999999996,0.6970000000000001,0.484,0.6920000000000001,0.8690000000000001,0.799,0.42,0.623,0.09699999999999999
159,13125,Gerrit Cole,31,3.5,11.53,5.14,0.208,1.02,3.47,0.406,97.8,0.228,88.8,0.061,92.2,0.10800000000000001,83.0,0.085,89.8,,,,,0.63,1.39,-0.74,-0.41,-0.5,,,0.349,0.6809999999999999,0.48,0.5479999999999999,0.8240000000000001,0.7020000000000001,0.39399999999999996,0.613,0.14300000000000002
23,14765,Julio Urias,25,2.16,8.54,4.05,0.198,0.96,3.71,0.452,93.1,,,,,0.33299999999999996,81.0,0.175,86.3,,,,,1.29,,,0.93,-0.33,,,0.361,0.7,0.514,0.659,0.862,0.784,0.452,0.6659999999999999,0.111
118,22250,Logan Gilbert,25,3.2,8.43,3.55,0.239,1.18,3.46,0.391,96.2,0.242,86.9,,,0.125,80.9,0.08,86.2,,,,,0.46,-0.31,,0.33,0.54,,,0.302,0.748,0.501,0.675,0.84,0.785,0.447,0.637,0.10800000000000001
90,13273,Ross Stripling,32,3.01,7.44,5.55,0.228,1.02,3.11,0.39,91.6,0.21899999999999997,87.1,,,0.096,76.1,0.271,82.6,,,,,0.49,1.57,,-0.69,0.72,,,0.379,0.698,0.514,0.6709999999999999,0.87,0.7859999999999999,0.424,0.703,0.11
243,2429,Corey Kluber,36,4.34,7.63,6.62,0.271,1.21,3.57,0.42,88.9,,,0.34700000000000003,86.3,0.268,80.8,0.102,82.9,,,,,-1.3,,0.68,-0.78,0.95,,,0.38799999999999996,0.675,0.51,0.6509999999999999,0.8740000000000001,0.7759999999999999,0.425,0.684,0.114
38,17677,Jeffrey Springs,29,2.46,9.58,4.65,0.221,1.07,3.04,0.396,91.5,0.248,85.4,,,,,0.34700000000000003,81.2,,,,,-0.04,0.75,,,1.37,,,0.389,0.662,0.501,0.64,0.807,0.731,0.41100000000000003,0.6409999999999999,0.135
143,25436,George Kirby,24,3.39,9.21,6.05,0.262,1.21,2.99,0.381,95.2,0.209,87.2,,,0.135,80.9,0.08,86.1,,,,,1.36,-1.88,,-1.27,-1.34,,,0.336,0.745,0.525,0.743,0.853,0.815,0.462,0.677,0.09699999999999999
3,14710,Edwin Diaz,28,1.31,17.13,6.56,0.158,0.84,0.9,0.33299999999999996,99.1,0.581,90.8,,,,,,,,,,,0.26,3.6,,,,,,0.419,0.6609999999999999,0.516,0.335,0.6990000000000001,0.522,0.401,0.711,0.247
116,19665,Kyle Wright,26,3.19,8.68,3.28,0.231,1.16,3.58,0.265,94.7,0.071,90.1,,,0.341,84.8,0.154,88.2,,,,,-0.14,0.96,,1.03,1.57,,,0.332,0.672,0.486,0.598,0.848,0.754,0.45299999999999996,0.6459999999999999,0.11900000000000001
71,25385,Drew Rasmussen,26,2.84,7.71,4.03,0.22,1.04,3.26,0.342,95.5,0.23600000000000002,84.6,0.326,90.3,0.044000000000000004,79.6,,,,,,,1.04,-1.02,1.47,-0.15,,,,0.37200000000000005,0.738,0.527,0.627,0.8690000000000001,0.77,0.424,0.627,0.121
123,25377,Brady Singer,25,3.23,8.8,4.29,0.243,1.14,3.58,0.309,93.8,0.38,85.5,,,,,0.077,86.9,,,,,0.57,0.47,,,-0.02,,,0.295,0.619,0.442,0.63,0.8809999999999999,0.79,0.45299999999999996,0.601,0.09300000000000001
162,22267,Tarik Skubal,25,3.52,8.95,3.66,0.234,1.16,2.96,0.35200000000000004,94.4,0.307,89.4,,,0.064,76.9,0.15,83.6,,,,,0.15,1.02,,-2.68,1.25,,,0.342,0.708,0.505,0.606,0.866,0.768,0.445,0.65,0.11699999999999999
128,9803,Miles Mikolas,33,3.29,6.81,3.92,0.224,1.03,3.87,0.348,93.3,0.253,87.7,,,0.21100000000000002,76.0,0.039,82.7,,,0.0,75.0,1.19,0.28,,0.0,-2.68,,-54.91,0.316,0.6920000000000001,0.486,0.727,0.888,0.831,0.452,0.634,0.08199999999999999
178,2233,Adam Wainwright,40,3.71,6.71,2.65,0.259,1.28,3.66,0.32899999999999996,88.5,,,0.252,84.4,0.319,72.8,0.06,82.2,,,,,-0.42,,0.36,0.54,-0.03,,,0.29,0.632,0.434,0.742,0.91,0.845,0.42100000000000004,0.626,0.067
187,17085,Pablo Lopez,26,3.75,8.7,3.28,0.233,1.17,3.71,0.33299999999999996,93.6,,,0.1,88.9,0.081,81.0,0.353,87.6,,,,,0.35,,-1.81,1.03,0.38,,,0.35200000000000004,0.7,0.493,0.633,0.8240000000000001,0.743,0.40399999999999997,0.629,0.127
21,19388,Tony Gonsolin,28,2.14,8.22,3.4,0.172,0.87,3.28,0.392,93.2,0.214,87.5,,,0.11900000000000001,80.7,,,0.275,83.5,,,0.0,2.0,,1.9,,3.01,,0.336,0.703,0.494,0.588,0.8540000000000001,0.7509999999999999,0.43,0.633,0.12300000000000001
147,12304,Chris Bassitt,33,3.42,8.27,3.41,0.233,1.14,3.66,0.34,92.9,0.155,78.7,0.18100000000000002,88.9,0.14,71.6,0.059000000000000004,85.3,,,,,0.94,-1.1,1.16,1.48,-3.15,,,0.304,0.65,0.46299999999999997,0.7070000000000001,0.825,0.7829999999999999,0.45899999999999996,0.609,0.1
154,16511,Jordan Montgomery,29,3.48,7.97,4.39,0.234,1.09,3.61,0.316,93.1,,,0.038,88.1,0.222,80.3,0.222,82.4,,,,,0.62,,-1.46,0.11,0.5,,,0.363,0.7090000000000001,0.505,0.64,0.82,0.7440000000000001,0.41,0.657,0.129
265,16256,Kyle Freeland,29,4.53,6.75,2.47,0.277,1.41,4.21,0.355,90.0,0.226,85.5,,,0.182,81.0,0.138,84.8,,,,,-0.39,-0.24,,-1.01,-2.93,,,0.313,0.716,0.474,0.6779999999999999,0.887,0.805,0.402,0.619,0.09300000000000001
112,17312,Justin Steele,26,3.18,9.53,2.52,0.242,1.35,3.2,0.27899999999999997,92.1,0.287,82.3,,,0.05,79.0,0.019,87.8,,,,,-0.52,1.44,,0.5,1.63,,,0.28800000000000003,0.6920000000000001,0.47200000000000003,0.614,0.872,0.7859999999999999,0.455,0.598,0.10099999999999999
157,11836,Taijuan Walker,29,3.49,7.55,2.93,0.239,1.19,3.65,0.33799999999999997,93.5,0.17800000000000002,85.1,0.053,89.0,0.087,75.1,,,0.273,88.8,,,-0.14,-0.8,-0.28,0.41,,2.03,,0.33,0.6859999999999999,0.47200000000000003,0.667,0.8740000000000001,0.787,0.39799999999999996,0.627,0.1
212,6632,Carlos Carrasco,35,3.97,9.0,3.71,0.27,1.33,3.53,0.32,92.9,0.23199999999999998,85.1,,,0.057,81.5,0.243,87.4,,,,,-1.1,0.42,,-0.09,1.01,,,0.385,0.728,0.518,0.608,0.868,0.7490000000000001,0.387,0.684,0.13
100,12768,Sonny Gray,32,3.08,8.8,3.25,0.222,1.13,3.4,0.35700000000000004,92.1,0.10400000000000001,81.7,0.095,83.4,0.249,78.7,0.011000000000000001,87.3,,,,,0.57,0.69,-1.36,1.39,-0.51,,,0.302,0.63,0.43200000000000005,0.659,0.88,0.7859999999999999,0.39399999999999996,0.605,0.092
135,6893,Johnny Cueto,36,3.35,5.8,3.09,0.263,1.23,3.79,0.384,91.4,0.158,83.6,0.198,87.0,0.011000000000000001,74.0,0.201,82.6,,,,,0.88,0.36,-1.41,1.36,-0.19,,,0.34700000000000003,0.731,0.498,0.772,0.899,0.845,0.39299999999999996,0.667,0.077
4,21032,Emmanuel Clase,24,1.36,9.54,7.7,0.165,0.73,1.98,0.2,99.6,0.38,91.9,,,,,,,,,,,2.28,3.41,,,,,,0.498,0.748,0.611,0.618,0.8140000000000001,0.726,0.45299999999999996,0.6459999999999999,0.16699999999999998
205,11674,Jameson Taillon,30,3.91,7.66,4.72,0.243,1.13,3.94,0.39299999999999996,94.2,0.188,86.2,0.11199999999999999,90.7,0.14800000000000002,81.2,0.084,87.8,,,,,-0.37,0.17,-0.02,1.2,-1.81,,,0.34,0.7120000000000001,0.488,0.664,0.893,0.797,0.39799999999999996,0.636,0.099
173,17277,Ranger Suarez,26,3.65,7.47,2.22,0.248,1.33,3.87,0.271,92.8,0.043,82.8,0.08900000000000001,89.9,0.077,76.6,0.214,85.0,,,,,0.16,-1.62,0.9,-1.13,-0.6,,,0.306,0.687,0.45299999999999996,0.6890000000000001,0.89,0.8059999999999999,0.386,0.5760000000000001,0.08800000000000001
192,27468,Reid Detmers,22,3.77,8.51,2.65,0.227,1.21,3.79,0.41600000000000004,93.2,0.255,86.0,,,0.182,73.2,0.113,84.3,,,,,0.31,0.38,,0.08,-0.8,,,0.324,0.687,0.48100000000000004,0.662,0.8340000000000001,0.768,0.431,0.601,0.111
142,19312,Cal Quantrill,27,3.38,6.18,2.72,0.25,1.21,4.12,0.37799999999999995,93.6,0.361,88.5,,,0.042,82.8,0.11900000000000001,85.4,,,,,-0.1,0.41,,0.03,0.55,,,0.349,0.696,0.485,0.757,0.887,0.831,0.39299999999999996,0.639,0.08199999999999999
206,11762,Noah Syndergaard,29,3.94,6.35,3.06,0.26,1.25,3.83,0.381,93.8,0.223,84.8,,,0.109,76.5,0.193,88.5,,,,,0.77,-0.24,,-0.31,-1.89,,,0.33399999999999996,0.7020000000000001,0.498,0.723,0.872,0.816,0.445,0.653,0.091
0,17734,Evan Phillips,27,1.14,11.0,5.13,0.153,0.76,1.94,0.375,96.1,0.44299999999999995,85.4,0.275,93.4,,,,,,,,,3.05,0.88,3.75,,,,,0.3,0.642,0.449,0.564,0.826,0.727,0.436,0.674,0.122
13,15816,Devin Williams,27,1.93,14.24,3.2,0.15,1.01,2.01,0.28800000000000003,94.0,,,0.042,87.0,,,0.581,83.5,,,,,2.03,,-2.08,,1.51,,,0.36,0.67,0.47,0.47200000000000003,0.7440000000000001,0.61,0.355,0.579,0.184
99,10954,Jacob deGrom,34,3.08,14.27,12.75,0.173,0.75,2.13,0.41700000000000004,98.9,0.39299999999999996,92.7,,,0.051,83.5,0.08199999999999999,92.0,,,,,1.35,2.08,,4.38,-0.45,,,0.41200000000000003,0.765,0.545,0.479,0.733,0.613,0.376,0.6990000000000001,0.21100000000000002
130,19959,Jesus Luzardo,24,3.32,10.76,3.43,0.19,1.04,3.12,0.36,96.1,0.301,83.8,,,,,0.225,87.3,,,,,0.81,-0.07,,,2.19,,,0.311,0.674,0.456,0.537,0.8079999999999999,0.6970000000000001,0.39899999999999997,0.653,0.138
181,23735,Luis Garcia,25,3.72,8.98,3.34,0.22,1.13,3.93,0.436,94.0,0.086,79.6,0.295,85.3,0.10300000000000001,77.2,0.094,84.9,,,,,-0.64,-0.24,1.12,0.79,1.11,,,0.33399999999999996,0.716,0.48700000000000004,0.579,0.838,0.732,0.402,0.5820000000000001,0.13
164,21390,Joe Ryan,26,3.55,9.24,3.21,0.21,1.1,3.99,0.541,92.1,0.207,82.0,,,0.071,75.0,0.121,84.7,,,,,1.68,-1.6,,-0.82,-1.52,,,0.32,0.735,0.507,0.644,0.8440000000000001,0.775,0.452,0.644,0.114
249,16358,Tyler Mahle,27,4.4,9.4,2.93,0.227,1.22,3.87,0.46799999999999997,93.3,0.124,83.8,0.11900000000000001,85.8,,,,,0.239,85.5,,,0.7,-2.59,0.42,,,-0.12,,0.317,0.6629999999999999,0.452,0.6409999999999999,0.843,0.757,0.389,0.616,0.11
18,18655,A.J. Minter,28,2.06,12.09,6.27,0.194,0.91,2.13,0.449,96.7,0.321,90.4,,,,,0.18100000000000002,87.6,,,,,1.82,-0.57,,,3.09,,,0.38299999999999995,0.6990000000000001,0.514,0.5760000000000001,0.7879999999999999,0.695,0.413,0.6609999999999999,0.157
204,17594,Mitch Keller,26,3.91,7.81,2.3,0.263,1.4,3.88,0.285,95.1,0.225,84.3,,,0.154,78.7,0.065,91.2,,,,,0.23,0.66,,-1.41,-2.4,,,0.301,0.6629999999999999,0.455,0.684,0.884,0.809,0.42700000000000005,0.568,0.087
2,18138,Ryan Helsley,27,1.25,13.08,4.7,0.128,0.74,2.34,0.516,99.7,,,0.32,89.2,0.10400000000000001,80.8,0.006,89.7,,,,,2.47,,1.85,3.12,-0.16,,,0.386,0.708,0.529,0.47100000000000003,0.7759999999999999,0.652,0.445,0.632,0.184
61,16400,Reynaldo Lopez,28,2.76,8.68,5.73,0.211,0.95,1.93,0.39299999999999996,97.1,0.324,87.5,,,0.078,80.4,0.048,86.0,,,,,2.09,-0.39,,0.18,2.4,,,0.364,0.7070000000000001,0.499,0.599,0.818,0.722,0.395,0.614,0.139
160,13431,Marcus Stroman,31,3.5,7.72,3.31,0.233,1.15,3.76,0.28300000000000003,92.1,0.255,85.3,0.113,90.2,0.033,82.4,0.11800000000000001,87.1,,,,,0.35,1.38,-0.86,-3.33,-1.23,,,0.319,0.65,0.457,0.6409999999999999,0.907,0.7979999999999999,0.415,0.6679999999999999,0.092
222,14309,Frankie Montas,29,4.05,8.85,3.3,0.245,1.25,3.78,0.344,95.9,0.239,88.1,,,,,,,0.255,86.4,,,-0.45,0.15,,,,0.52,,0.358,0.752,0.511,0.625,0.85,0.753,0.38799999999999996,0.607,0.126
167,18679,Freddy Peralta,26,3.58,9.92,3.19,0.188,1.04,3.06,0.42,92.7,0.183,80.4,,,0.163,75.8,0.10400000000000001,85.9,,,,,0.67,0.19,,1.99,1.24,,,0.313,0.639,0.44,0.61,0.81,0.723,0.389,0.58,0.122
216,2520,Lance Lynn,35,3.99,9.17,6.53,0.246,1.13,3.82,0.381,92.7,,,0.278,88.6,0.09,82.3,0.039,85.8,,,,,0.3,,0.35,-1.25,-7.13,,,0.359,0.755,0.523,0.649,0.813,0.746,0.41200000000000003,0.654,0.133
175,1943,Zack Greinke,38,3.68,4.8,2.7,0.283,1.34,4.03,0.354,89.2,0.11800000000000001,83.2,0.099,85.8,0.203,72.0,0.165,86.5,,,,,-0.01,-1.73,0.1,0.63,-1.64,,,0.32899999999999996,0.659,0.46,0.769,0.898,0.8420000000000001,0.39799999999999996,0.648,0.073
272,17578,JT Brubaker,28,4.69,9.19,2.72,0.269,1.47,3.92,0.33299999999999996,93.1,0.31,86.7,,,0.16,80.1,0.051,87.3,,,,,-0.91,-1.22,,0.99,-3.01,,,0.324,0.667,0.462,0.5489999999999999,0.884,0.7440000000000001,0.402,0.639,0.11800000000000001
42,20373,Andres Munoz,23,2.49,13.29,6.4,0.188,0.89,2.04,0.331,100.2,0.6459999999999999,88.6,,,,,,,,,,,-1.52,3.35,,,,,,0.42100000000000004,0.73,0.541,0.47,0.721,0.601,0.38799999999999996,0.6809999999999999,0.21600000000000003
180,11486,Robbie Ray,30,3.71,10.1,3.42,0.231,1.19,4.17,0.419,93.4,0.37200000000000005,87.2,,,0.019,79.8,0.006999999999999999,87.0,,,,,0.12,0.57,,-9.59,-5.3,,,0.35200000000000004,0.755,0.513,0.586,0.843,0.738,0.4,0.6409999999999999,0.135
290,15474,Lucas Giolito,27,4.9,9.85,2.9,0.27,1.44,4.06,0.368,92.6,0.23600000000000002,84.4,,,0.032,79.3,0.255,81.0,,,,,-0.42,-0.94,,-1.5,-0.18,,,0.321,0.6920000000000001,0.473,0.5660000000000001,0.861,0.743,0.409,0.613,0.122
299,10123,Kyle Gibson,34,5.05,7.73,3.0,0.266,1.34,4.28,0.33799999999999997,91.8,0.20800000000000002,83.3,0.213,89.4,0.068,79.2,0.107,84.7,,,,,-0.1,-0.4,0.74,-5.18,-0.69,,,0.33899999999999997,0.7040000000000001,0.483,0.621,0.8859999999999999,0.773,0.39399999999999996,0.589,0.11
124,19350,Dean Kremer,26,3.23,6.25,2.56,0.26,1.25,3.8,0.39399999999999996,93.2,,,0.309,88.0,0.12300000000000001,76.6,0.154,83.7,,,,,0.49,,1.32,-1.62,-1.76,,,0.35600000000000004,0.7070000000000001,0.504,0.688,0.878,0.8,0.42200000000000004,0.652,0.10099999999999999
237,4806,Rich Hill,42,4.27,7.89,2.95,0.258,1.3,3.92,0.402,88.3,0.107,69.3,0.128,84.2,0.365,71.8,,,0.024,82.1,,,-1.14,-0.59,0.87,0.03,,1.31,,0.313,0.6579999999999999,0.473,0.682,0.872,0.804,0.465,0.633,0.092
209,14916,Jon Gray,30,3.96,9.47,3.44,0.221,1.13,3.8,0.353,96.0,0.361,85.0,,,0.040999999999999995,77.8,0.09300000000000001,88.7,,,,,0.22,0.6,,-1.51,1.3,,,0.348,0.6659999999999999,0.484,0.634,0.847,0.76,0.429,0.674,0.11599999999999999
10,7115,Daniel Bard,37,1.79,10.29,2.76,0.161,0.99,2.86,0.299,98.0,0.426,88.4,,,,,0.024,90.2,,,,,0.8,1.88,,,3.78,,,0.284,0.644,0.447,0.595,0.8270000000000001,0.746,0.45299999999999996,0.5920000000000001,0.113
174,26378,Nick Lodolo,24,3.66,11.41,3.36,0.235,1.25,3.9,0.341,94.2,0.306,81.5,0.001,92.0,,,0.106,88.3,,,,,0.15,-0.04,-4.74,,-2.46,,,0.319,0.63,0.449,0.5760000000000001,0.8320000000000001,0.726,0.418,0.6729999999999999,0.12300000000000001
302,13781,Alex Wood,31,5.1,9.02,4.37,0.257,1.24,3.76,0.311,92.4,0.36,84.5,,,,,0.185,85.7,,,,,-0.05,-0.2,,,0.36,,,0.335,0.665,0.479,0.648,0.8490000000000001,0.77,0.436,0.634,0.11
