,IDfg,Name,Age,ERA,K/9,K/BB,AVG,WHIP,FIP,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
115,10310,Zack Wheeler,30,3.68,8.38,3.76,0.253,1.24,3.41,0.309,96.7,0.19,90.9,,,0.1,80.5,0.077,89.0,0.026000000000000002,89.7,,,0.82,0.5,,0.0,0.13,-1.24,,0.34600000000000003,0.711,0.511,0.6990000000000001,0.8490000000000001,0.794,0.452,0.639,0.105
21,8700,Justin Verlander,37,2.59,12.07,7.14,0.171,0.8,3.33,0.45,94.7,0.28600000000000003,87.6,,,0.171,79.5,0.042,87.0,,,,,0.71,3.46,,0.95,1.86,,,0.371,0.693,0.517,0.551,0.779,0.6890000000000001,0.452,0.643,0.16
55,12768,Sonny Gray,30,3.07,10.78,2.95,0.195,1.12,3.33,0.292,93.3,0.2,84.4,0.003,88.9,0.256,81.6,0.052000000000000005,89.9,,,,,0.38,1.33,-1.33,1.98,2.77,,,0.29600000000000004,0.601,0.413,0.542,0.872,0.726,0.38299999999999995,0.555,0.113
72,12049,Kyle Hendricks,30,3.27,7.46,5.35,0.242,1.09,3.59,0.33899999999999997,87.0,,,,,0.11800000000000001,71.8,0.28300000000000003,79.0,,,,,0.84,,,1.39,0.24,,,0.35,0.664,0.49200000000000005,0.6759999999999999,0.851,0.7829999999999999,0.452,0.664,0.107
108,9323,Patrick Corbin,30,3.6,10.02,3.39,0.244,1.28,3.65,0.32,91.5,0.37799999999999995,81.1,,,0.032,67.6,0.057,80.8,,,,,-0.43,1.48,,-0.64,-0.74,,,0.363,0.67,0.47700000000000004,0.5529999999999999,0.871,0.7190000000000001,0.37200000000000005,0.628,0.134
130,12703,Trevor Bauer,28,3.78,11.11,3.57,0.211,1.13,3.96,0.42,94.3,0.145,80.0,0.17300000000000001,84.8,0.188,79.3,0.057999999999999996,86.1,,,,,0.45,0.94,0.49,0.67,-1.66,,,0.313,0.662,0.45299999999999996,0.563,0.8440000000000001,0.727,0.401,0.595,0.12300000000000001
231,15038,German Marquez,25,4.44,8.73,4.13,0.252,1.22,3.81,0.281,95.5,0.19399999999999998,87.6,,,0.243,85.2,0.04,87.5,,,,,0.1,-0.45,,2.39,-5.53,,,0.321,0.684,0.49,0.526,0.862,0.7440000000000001,0.465,0.6459999999999999,0.125
74,19374,Walker Buehler,25,3.29,10.56,5.35,0.214,1.03,3.23,0.36,96.7,0.131,86.8,0.135,92.8,0.12300000000000001,81.0,0.004,92.0,,,,,1.63,0.26,0.52,-0.89,-8.62,,,0.33299999999999996,0.682,0.494,0.608,0.838,0.754,0.461,0.645,0.121
128,15467,Marco Gonzales,28,3.76,6.96,3.35,0.251,1.22,3.94,0.387,88.7,,,0.21600000000000003,85.1,0.16,76.1,0.215,81.2,,,,,1.04,,0.13,-0.45,0.14,,,0.335,0.654,0.475,0.7609999999999999,0.877,0.831,0.44,0.654,0.08
99,10131,Stephen Strasburg,31,3.49,10.64,4.44,0.212,1.06,3.31,0.289,93.8,0.003,87.9,,,0.307,81.2,0.20800000000000002,87.8,,,,,0.43,-29.27,,2.34,1.38,,,0.37,0.63,0.47200000000000003,0.575,0.846,0.7170000000000001,0.392,0.638,0.134
87,13074,Yu Darvish,33,3.39,11.38,4.6,0.211,1.06,3.6,0.32799999999999996,94.5,0.146,82.4,0.363,86.9,0.086,77.4,0.015,88.6,0.07,90.0,,,-0.83,0.56,2.05,1.99,3.58,1.83,,0.33799999999999997,0.6509999999999999,0.48,0.5539999999999999,0.816,0.715,0.455,0.625,0.13699999999999998
127,14168,Jose Berrios,26,3.76,8.99,3.42,0.245,1.25,3.9,0.37,93.1,,,,,0.29100000000000004,81.8,0.166,83.2,,,,,0.33,,,0.38,0.17,,,0.359,0.647,0.48100000000000004,0.669,0.848,0.7709999999999999,0.424,0.647,0.11
118,16149,Aaron Nola,27,3.72,10.69,3.16,0.224,1.22,3.81,0.29,92.8,,,,,0.33,79.0,0.20800000000000002,85.6,,,,,-0.19,,,1.32,1.08,,,0.34700000000000003,0.609,0.45,0.616,0.853,0.741,0.391,0.628,0.11599999999999999
90,16162,Brandon Woodruff,27,3.41,10.78,4.88,0.225,1.09,3.08,0.335,96.4,0.162,88.4,,,0.039,83.0,0.155,86.9,,,,,1.84,0.79,,-1.86,-0.85,,,0.32899999999999996,0.716,0.499,0.634,0.8290000000000001,0.757,0.44,0.631,0.121
1,3548,Liam Hendriks,30,1.79,13.13,6.71,0.188,0.9,1.7,0.47,96.4,0.218,88.2,,,0.077,84.4,0.002,89.7,,,,,1.75,3.22,,2.84,-18.04,,,0.35100000000000003,0.737,0.523,0.491,0.765,0.6629999999999999,0.445,0.653,0.17600000000000002
34,12808,Mike Clevinger,29,2.79,11.22,4.1,0.214,1.08,2.9,0.365,95.4,0.271,81.1,0.017,88.0,0.121,77.9,0.106,87.1,,,,,1.65,1.61,-0.89,-1.32,-0.47,,,0.306,0.665,0.456,0.529,0.775,0.679,0.418,0.638,0.146
60,17479,Jack Flaherty,24,3.12,10.65,3.94,0.195,1.01,3.57,0.361,93.8,0.27699999999999997,84.8,,,0.124,78.0,0.022000000000000002,86.3,,,,,1.59,1.69,,-0.65,-3.39,,,0.318,0.684,0.473,0.5429999999999999,0.8109999999999999,0.7070000000000001,0.424,0.606,0.139
38,2036,Clayton Kershaw,31,2.81,9.55,5.12,0.213,0.99,3.72,0.325,90.7,0.39399999999999996,87.2,,,0.168,73.7,0.005,85.3,,,,,0.79,1.83,,0.5,-2.11,,,0.34299999999999997,0.708,0.504,0.5539999999999999,0.863,0.745,0.44,0.68,0.128
160,10021,Mike Minor,32,4.01,8.9,2.98,0.239,1.24,4.33,0.41100000000000003,92.1,0.19699999999999998,86.3,,,0.102,80.7,0.24,86.1,,,0.0,64.0,0.91,-1.79,,-0.28,2.42,,-3.89,0.315,0.6809999999999999,0.47200000000000003,0.6679999999999999,0.812,0.757,0.429,0.609,0.115
112,18498,Kenta Maeda,31,3.64,10.17,4.08,0.191,0.98,3.66,0.361,92.0,0.33399999999999996,83.4,0.011000000000000001,86.8,0.062,77.4,0.252,84.8,,,,,0.65,2.17,1.49,-0.72,1.4,,,0.366,0.69,0.495,0.534,0.813,0.6890000000000001,0.39799999999999996,0.647,0.154
214,12917,Dylan Bundy,27,4.35,9.26,3.12,0.24,1.26,4.21,0.37200000000000005,91.0,0.23399999999999999,80.8,,,0.10400000000000001,74.5,0.184,83.1,,,,,-0.98,1.56,,0.72,0.62,,,0.348,0.653,0.47700000000000004,0.565,0.85,0.73,0.42200000000000004,0.604,0.129
105,13743,Max Fried,25,3.57,9.05,3.38,0.254,1.27,3.56,0.235,93.7,0.171,83.9,,,0.242,74.6,0.031,84.1,,,,,0.17,1.38,,0.4,-2.58,,,0.32,0.679,0.469,0.59,0.868,0.757,0.415,0.631,0.114
32,18383,Mike Soroka,22,2.77,7.17,3.13,0.234,1.13,3.48,0.245,92.5,0.245,83.1,,,,,0.12300000000000001,81.2,,,,,1.14,1.42,,,1.93,,,0.33399999999999996,0.68,0.48100000000000004,0.653,0.873,0.785,0.424,0.636,0.10300000000000001
207,12970,Joe Musgrove,26,4.33,9.09,3.85,0.246,1.22,3.74,0.34700000000000003,92.4,0.22899999999999998,83.1,0.079,88.7,0.11199999999999999,81.6,0.106,85.6,,,,,-0.95,1.47,-0.25,1.3,-0.25,,,0.35100000000000003,0.6940000000000001,0.505,0.5710000000000001,0.866,0.753,0.44799999999999995,0.6609999999999999,0.125
197,11762,Noah Syndergaard,26,4.28,9.2,4.04,0.252,1.23,3.6,0.321,97.7,0.152,89.1,,,0.095,80.4,0.161,91.1,,,,,0.09,0.38,,0.86,1.42,,,0.335,0.7190000000000001,0.504,0.636,0.82,0.7509999999999999,0.439,0.6579999999999999,0.125
125,6397,Jake Odorizzi,30,3.75,9.9,3.39,0.236,1.22,3.58,0.439,92.9,0.14400000000000002,84.8,0.053,87.8,0.064,75.4,0.172,85.2,0.004,85.3,,,1.25,0.45,0.18,-2.51,-0.46,-7.46,,0.32,0.726,0.488,0.6709999999999999,0.794,0.747,0.414,0.5720000000000001,0.12300000000000001
230,16207,Spencer Turnbull,27,4.43,8.65,2.24,0.254,1.41,3.85,0.312,93.9,0.203,86.2,,,0.1,80.3,0.046,87.0,,,,,0.33,0.44,,-2.3,-0.96,,,0.298,0.7,0.45899999999999996,0.615,0.86,0.765,0.4,0.589,0.10800000000000001
195,15764,Masahiro Tanaka,30,4.27,7.55,4.02,0.259,1.23,4.3,0.34,91.6,0.365,83.4,0.013000000000000001,87.8,0.038,75.7,0.023,84.8,0.253,87.2,,,-1.43,1.82,-2.55,0.26,0.28,-0.76,,0.36700000000000005,0.708,0.506,0.649,0.868,0.774,0.40700000000000003,0.677,0.114
179,11828,James Paxton,31,4.16,11.16,3.42,0.245,1.3,3.92,0.435,95.1,,,0.195,87.9,0.184,81.0,0.026000000000000002,83.9,,,,,0.04,,-1.04,1.39,1.47,,,0.341,0.7190000000000001,0.5,0.5760000000000001,0.815,0.721,0.42100000000000004,0.66,0.14
69,13431,Marcus Stroman,28,3.22,7.76,2.74,0.256,1.31,3.72,0.261,92.5,0.02,86.9,0.24,91.0,0.297,85.3,0.048,86.9,,,,,-0.36,0.89,-0.14,2.03,-1.05,,,0.311,0.657,0.447,0.615,0.89,0.774,0.392,0.568,0.10099999999999999
135,13164,Eduardo Rodriguez,26,3.81,9.43,2.84,0.251,1.33,3.86,0.325,93.1,0.043,82.4,0.17600000000000002,88.6,,,0.235,87.7,,,,,0.56,-2.31,0.17,,0.73,,,0.33899999999999997,0.6779999999999999,0.46399999999999997,0.652,0.8290000000000001,0.747,0.368,0.634,0.11699999999999999
145,5372,Michael Pineda,31,3.91,8.6,4.71,0.248,1.16,3.74,0.406,92.5,0.311,83.6,,,,,0.145,87.0,,,,,0.49,0.07,,,1.62,,,0.36200000000000004,0.72,0.521,0.596,0.853,0.754,0.444,0.6409999999999999,0.128
269,11423,Jose Quintana,31,4.67,8.15,3.35,0.273,1.38,3.75,0.306,91.4,0.059000000000000004,77.4,,,0.215,77.0,0.109,86.6,,,,,0.43,0.42,,-0.8,-3.0,,,0.293,0.6579999999999999,0.439,0.667,0.9,0.807,0.4,0.622,0.085
58,17186,Dinelson Lamet,27,3.11,12.55,3.96,0.194,1.06,3.22,0.391,96.5,0.483,86.2,,,,,0.009000000000000001,92.4,,,,,-0.67,2.94,,,0.37,,,0.319,0.654,0.466,0.46299999999999997,0.841,0.696,0.439,0.626,0.142
158,16502,Ryan Yarbrough,28,3.97,7.34,5.03,0.234,1.05,3.62,0.34,87.9,0.127,72.4,0.366,83.8,,,0.26899999999999996,79.2,,,,,-0.27,1.8,0.8,,1.61,,,0.368,0.6809999999999999,0.5,0.6890000000000001,0.8440000000000001,0.778,0.42200000000000004,0.6609999999999999,0.111
221,10603,Chris Sale,30,4.4,13.32,5.89,0.219,1.09,3.39,0.361,93.2,0.384,79.0,,,,,0.152,85.2,,,,,0.2,0.59,,,0.53,,,0.35100000000000003,0.621,0.47200000000000003,0.565,0.792,0.698,0.44799999999999995,0.66,0.142
134,16269,John Means,26,3.81,7.38,3.62,0.229,1.1,4.67,0.489,92.3,0.135,84.2,,,0.075,77.7,0.28,81.7,,,,,0.37,0.31,,-2.1,1.29,,,0.32799999999999996,0.723,0.484,0.7240000000000001,0.826,0.784,0.396,0.633,0.10400000000000001
129,15734,Brad Keller,24,3.76,6.42,1.8,0.234,1.27,4.12,0.28,93.3,0.33,84.9,,,,,0.01,89.1,0.011000000000000001,88.4,,,0.36,1.72,,,0.66,-1.21,,0.3,0.675,0.457,0.6779999999999999,0.905,0.818,0.41700000000000004,0.573,0.083
83,12304,Chris Bassitt,30,3.35,8.52,3.06,0.228,1.18,4.15,0.377,93.4,0.10800000000000001,87.4,0.065,87.9,0.12,70.4,0.08900000000000001,84.6,,,,,1.14,-1.94,0.96,-1.27,0.29,,,0.292,0.664,0.465,0.708,0.8490000000000001,0.802,0.465,0.609,0.092
353,2717,Rick Porcello,31,5.55,7.6,3.28,0.283,1.42,4.4,0.39899999999999997,90.4,0.212,85.0,,,0.107,74.9,0.124,81.3,,,,,0.12,-0.92,,-0.8,-2.13,,,0.32,0.6920000000000001,0.488,0.7709999999999999,0.885,0.8440000000000001,0.45,0.674,0.076
116,14309,Frankie Montas,27,3.68,9.85,3.54,0.243,1.26,3.62,0.318,96.2,0.25,87.6,,,,,,,0.163,86.7,,,-0.26,2.11,,,,-0.3,,0.335,0.664,0.475,0.63,0.8420000000000001,0.7559999999999999,0.425,0.61,0.11599999999999999
44,14374,Tyler Glasnow,26,2.9,12.74,4.64,0.192,1.01,2.94,0.35700000000000004,97.0,,,,,0.321,82.9,0.040999999999999995,91.8,,,,,1.55,,,0.67,1.49,,,0.299,0.631,0.449,0.518,0.82,0.71,0.45299999999999996,0.59,0.13
4,9073,Kirby Yates,33,1.94,15.09,6.41,0.197,1.0,1.57,0.34299999999999997,93.5,0.008,86.0,,,0.001,80.0,,,0.414,86.3,,,0.93,-8.12,,-3.89,,2.07,,0.33899999999999997,0.7070000000000001,0.489,0.578,0.741,0.674,0.408,0.619,0.16
228,14916,Jon Gray,27,4.43,8.19,2.57,0.26,1.37,4.27,0.294,95.6,0.326,88.0,,,0.105,78.5,0.051,86.6,,,,,-0.68,1.35,,0.1,-5.88,,,0.298,0.685,0.47,0.552,0.87,0.758,0.445,0.636,0.114
156,13543,Blake Snell,27,3.96,12.04,3.62,0.236,1.25,3.65,0.337,95.4,0.09300000000000001,87.4,,,0.214,80.8,0.20199999999999999,86.9,,,,,0.21,0.26,,0.42,0.26,,,0.365,0.6729999999999999,0.484,0.47,0.8079999999999999,0.6509999999999999,0.385,0.665,0.16899999999999998
257,17085,Pablo Lopez,24,4.59,8.22,3.42,0.247,1.22,3.88,0.303,93.6,,,0.027000000000000003,90.5,0.152,79.7,0.24600000000000002,86.3,,,,,0.71,,-0.46,-1.1,0.49,,,0.32799999999999996,0.7020000000000001,0.489,0.6729999999999999,0.8420000000000001,0.777,0.431,0.57,0.109
119,18684,Sandy Alcantara,24,3.72,7.14,1.98,0.236,1.3,4.41,0.348,95.8,0.23,86.2,,,0.071,81.5,0.124,89.4,,,,,0.81,-0.32,,-0.17,-0.35,,,0.33299999999999996,0.6990000000000001,0.48700000000000004,0.634,0.873,0.779,0.42200000000000004,0.605,0.10800000000000001
298,14107,Kevin Gausman,28,4.94,10.72,4.02,0.253,1.3,3.65,0.35600000000000004,94.4,0.038,82.2,,,0.001,75.0,0.085,83.8,0.327,83.8,,,-0.34,-5.32,,-3.89,-1.01,1.6,,0.35700000000000004,0.741,0.519,0.581,0.797,0.711,0.423,0.631,0.15
144,2233,Adam Wainwright,38,3.91,7.85,2.62,0.256,1.32,4.29,0.302,89.8,,,0.226,84.9,0.371,74.6,0.016,82.8,0.006,85.4,,,-0.6,,-0.45,1.41,-2.52,-5.12,,0.27699999999999997,0.627,0.428,0.659,0.8909999999999999,0.805,0.43,0.61,0.083
320,15440,Matthew Boyd,29,5.09,10.92,4.14,0.252,1.29,4.68,0.439,91.9,0.327,79.6,,,0.049,73.0,0.09,79.2,,,,,-0.62,0.42,,-1.82,-0.36,,,0.348,0.703,0.494,0.5710000000000001,0.831,0.723,0.41100000000000003,0.631,0.13699999999999998
265,4930,Jon Lester,36,4.64,8.01,3.0,0.283,1.45,4.49,0.341,90.0,,,0.33899999999999997,87.8,0.147,74.3,0.12,84.1,,,,,-1.03,,0.13,-0.65,-1.22,,,0.297,0.7,0.451,0.7120000000000001,0.8759999999999999,0.809,0.382,0.589,0.086
168,13774,Zach Eflin,26,4.09,8.06,3.16,0.264,1.33,4.47,0.33799999999999997,93.7,0.243,87.0,0.040999999999999995,90.2,0.07400000000000001,78.5,0.07200000000000001,86.9,,,,,-0.11,0.83,-4.24,1.17,-2.32,,,0.331,0.669,0.47700000000000004,0.693,0.877,0.804,0.431,0.6709999999999999,0.09300000000000001
244,8362,Homer Bailey,33,4.52,8.19,2.79,0.251,1.31,4.13,0.337,92.9,0.134,87.1,0.011000000000000001,88.5,0.08900000000000001,78.2,,,0.261,84.1,,,0.46,0.15,-6.03,-1.24,,0.62,,0.32,0.705,0.484,0.639,0.8640000000000001,0.779,0.426,0.634,0.107
31,18337,Nick Anderson,28,2.77,15.05,6.48,0.191,0.96,2.15,0.47200000000000003,95.9,,,,,0.392,83.3,,,,,,,0.94,,,2.45,,,,0.38299999999999995,0.7340000000000001,0.55,0.48100000000000004,0.7290000000000001,0.639,0.47700000000000004,0.677,0.19899999999999998
33,19291,Zac Gallen,23,2.78,10.54,2.92,0.21,1.17,3.64,0.35200000000000004,93.1,0.02,83.4,0.174,87.6,0.182,80.1,0.17300000000000001,85.0,,,,,1.09,-6.64,-0.12,1.39,1.77,,,0.341,0.61,0.446,0.5720000000000001,0.848,0.72,0.392,0.662,0.125
76,13183,Zach Davies,27,3.3,6.48,2.36,0.24,1.22,4.36,0.365,88.5,0.006,80.4,0.134,87.1,0.033,75.3,0.341,79.8,,,,,-0.65,-3.04,-0.23,-2.51,2.29,,,0.297,0.6709999999999999,0.428,0.727,0.884,0.813,0.349,0.5429999999999999,0.08
122,20099,Chris Paddack,24,3.74,9.51,4.91,0.219,1.05,4.27,0.39399999999999996,94.0,,,0.01,88.0,0.095,76.3,0.293,84.3,,,,,0.19,,-6.73,-0.67,1.58,,,0.337,0.7120000000000001,0.508,0.674,0.835,0.7759999999999999,0.45399999999999996,0.7,0.113
280,15423,Andrew Heaney,29,4.72,10.44,3.84,0.248,1.27,4.28,0.41600000000000004,92.1,0.261,79.4,,,,,0.159,84.0,,,,,0.49,-0.52,,,-0.34,,,0.33299999999999996,0.6859999999999999,0.491,0.5660000000000001,0.8220000000000001,0.726,0.446,0.647,0.134
35,14765,Julio Urias,23,2.81,8.69,2.89,0.208,1.11,3.55,0.42,94.8,0.126,84.9,,,0.135,79.6,0.151,83.2,,,,,1.95,0.03,,0.28,-0.04,,,0.35,0.715,0.505,0.626,0.8220000000000001,0.7440000000000001,0.425,0.605,0.129
307,10123,Kyle Gibson,31,4.99,8.63,2.53,0.273,1.47,4.6,0.23199999999999998,93.0,0.22,83.7,0.001,87.6,0.111,79.8,0.16699999999999998,85.1,,,,,-1.1,1.02,1.35,-1.22,-0.45,,,0.341,0.645,0.44799999999999995,0.575,0.89,0.7340000000000001,0.35,0.642,0.11900000000000001
210,5524,Madison Bumgarner,30,4.33,8.41,4.16,0.247,1.18,4.45,0.41600000000000004,90.9,0.33899999999999997,86.5,,,0.191,78.4,0.045,84.1,,,,,-0.03,-0.17,,1.06,1.05,,,0.344,0.7170000000000001,0.503,0.657,0.865,0.7829999999999999,0.424,0.691,0.109
47,9111,Brad Hand,30,2.95,12.82,5.14,0.22,1.11,2.4,0.462,92.4,0.534,80.8,,,0.002,76.5,,,,,,,0.84,1.22,,0.35,,,,0.337,0.626,0.461,0.5820000000000001,0.83,0.727,0.431,0.637,0.126
245,3284,Anibal Sanchez,36,4.52,7.27,2.33,0.255,1.37,4.69,0.392,90.2,0.024,83.5,0.27,87.9,0.06,76.7,0.3,81.4,,,,,-0.78,-2.38,0.04,-1.13,0.73,,,0.336,0.695,0.478,0.691,0.855,0.785,0.395,0.6409999999999999,0.10300000000000001
61,9434,Dallas Keuchel,32,3.12,6.8,2.38,0.246,1.27,4.13,0.205,88.1,0.098,77.9,0.23800000000000002,85.6,,,0.191,79.2,,,,,0.07,-0.75,1.41,,1.25,,,0.33,0.6709999999999999,0.447,0.7120000000000001,0.877,0.797,0.344,0.555,0.091
97,12447,Seth Lugo,30,3.47,11.65,5.81,0.218,1.05,3.25,0.349,94.1,0.136,88.0,,,0.223,79.4,0.077,87.7,,,,,1.26,-0.75,,0.57,0.83,,,0.301,0.664,0.46399999999999997,0.607,0.815,0.741,0.449,0.589,0.12
117,19479,Aaron Civale,25,3.69,7.86,3.59,0.25,1.2,3.76,0.33899999999999997,92.2,0.11900000000000001,83.1,0.28800000000000003,87.7,0.16899999999999998,75.7,0.08,84.9,,,,,0.29,-1.43,0.88,-0.07,0.83,,,0.316,0.667,0.45299999999999996,0.6829999999999999,0.862,0.7859999999999999,0.391,0.625,0.09699999999999999
146,4972,Cole Hamels,36,3.91,9.0,2.54,0.254,1.39,4.06,0.331,91.4,,,0.191,87.6,0.126,78.0,0.213,83.2,,,,,-0.85,,1.55,-1.35,2.06,,,0.305,0.6970000000000001,0.46799999999999997,0.622,0.825,0.748,0.41600000000000004,0.5770000000000001,0.11800000000000001
279,16358,Tyler Mahle,25,4.72,9.59,3.44,0.246,1.27,4.45,0.35700000000000004,93.5,0.092,86.9,0.049,90.1,0.168,80.5,,,0.127,87.3,,,0.15,0.52,-4.56,-0.13,,1.12,,0.308,0.6579999999999999,0.457,0.644,0.846,0.768,0.428,0.6679999999999999,0.106
46,13449,Taylor Rogers,29,2.93,11.53,7.6,0.242,1.11,2.85,0.307,94.8,0.455,82.0,,,0.031,78.6,,,,,,,0.45,1.26,,-1.38,,,,0.309,0.626,0.46399999999999997,0.585,0.856,0.764,0.49,0.68,0.11
155,8223,Brett Anderson,32,3.96,4.92,2.07,0.263,1.3,4.53,0.256,90.6,0.171,82.0,0.132,88.5,0.066,75.9,0.157,82.7,,,,,-0.4,-0.03,0.38,0.19,0.93,,,0.304,0.672,0.465,0.711,0.9,0.831,0.43799999999999994,0.605,0.079
177,11156,Merrill Kelly,31,4.15,7.84,3.02,0.251,1.27,4.44,0.358,91.9,,,0.188,90.1,0.215,80.7,0.136,86.3,,,,,0.52,,0.6,0.18,-1.2,,,0.308,0.6890000000000001,0.467,0.6759999999999999,0.861,0.79,0.418,0.584,0.098
234,13050,Anthony DeSclafani,30,4.45,8.63,2.95,0.246,1.28,4.71,0.375,94.7,0.265,88.6,,,0.132,82.9,0.055,88.5,,,,,-0.43,1.33,,-1.46,0.49,,,0.307,0.698,0.47100000000000003,0.616,0.8909999999999999,0.787,0.42,0.608,0.1
22,19388,Tony Gonsolin,26,2.6,8.62,3.77,0.184,0.92,3.02,0.425,94.4,0.168,87.8,,,0.08,81.1,,,0.273,85.8,,,1.85,2.93,,-0.2,,0.3,,0.331,0.7240000000000001,0.489,0.627,0.8059999999999999,0.7340000000000001,0.402,0.628,0.13
41,14212,Josh Hader,26,2.85,16.07,5.63,0.148,0.83,3.28,0.5589999999999999,95.4,0.19399999999999998,81.3,,,,,0.003,88.0,,,,,1.11,3.42,,,-2.24,,,0.369,0.7809999999999999,0.5539999999999999,0.511,0.6779999999999999,0.617,0.45,0.608,0.212
78,19979,Zach Plesac,25,3.32,7.63,3.15,0.222,1.09,4.44,0.392,93.7,0.214,85.5,,,0.098,79.4,0.22,86.0,,,,,-0.25,2.55,,-1.29,1.36,,,0.299,0.7290000000000001,0.489,0.631,0.852,0.777,0.44299999999999995,0.621,0.109
178,9803,Miles Mikolas,30,4.16,7.04,4.5,0.268,1.22,4.27,0.29600000000000004,93.6,0.23600000000000002,87.1,,,0.214,78.4,0.013000000000000001,86.2,0.022000000000000002,88.8,,,0.3,-0.17,,0.22,-2.85,0.11,,0.354,0.659,0.489,0.685,0.883,0.8029999999999999,0.442,0.657,0.096
183,6632,Carlos Carrasco,32,4.2,10.82,4.14,0.256,1.28,4.03,0.35100000000000003,93.5,0.27399999999999997,85.5,0.001,90.0,0.07200000000000001,83.4,0.223,87.8,,,,,-0.36,1.18,-26.47,-2.15,0.15,,,0.349,0.718,0.502,0.504,0.8370000000000001,0.701,0.414,0.647,0.15
200,13475,Daniel Norris,27,4.29,8.01,3.4,0.264,1.3,4.33,0.349,91.1,0.225,84.6,,,0.055,75.8,0.21100000000000002,86.3,,,,,-0.8,0.99,,-1.28,0.62,,,0.315,0.6659999999999999,0.47100000000000003,0.5820000000000001,0.889,0.775,0.446,0.629,0.106
11,10233,Aroldis Chapman,32,2.36,14.02,3.69,0.177,1.06,2.39,0.331,98.3,0.295,85.3,,,,,0.001,88.0,0.003,90.3,,,0.97,2.09,,,0.0,18.51,,0.32899999999999996,0.665,0.47700000000000004,0.562,0.7609999999999999,0.684,0.44,0.596,0.151
